SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn
BIMS-101-501,,,121,,,3,,,1,,0,,,0,,125,,,3.96,,0,,,0,,False,,0,,,False,,125,,,TIAN Y,,,
,,,0.968,,,0.024,,,0.008,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,,,124,,,0,,,0,,0,,,0,,124,,,4.0,,0,,,0,,False,,1,,,False,,125,,,TIAN Y,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-503,,,108,,,11,,,4,,0,,,2,,125,,,3.784,,0,,,0,,False,,0,,,False,,125,,,IVANOV I,,,
,,,0.864,,,0.088,,,0.032,,0.0,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,,,112,,,6,,,2,,0,,,3,,123,,,3.821,,0,,,0,,False,,1,,,False,,124,,,IVANOV I,,,
,,,0.9106,,,0.0488,,,0.0163,,0.0,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,465,,,20,,,7,,0,,,5,,497,,,3.891,,0,,,0,,False,,2,,,False,,499,,,,,,
,,,0.9356,,,0.0402,,,0.0141,,0.0,,,0.0101,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,,,72,,,19,,,5,,3,,,0,,99,,,3.616,,0,,,0,,False,,0,,,False,,99,,,YOUNG C,,,
,,,0.7273,,,0.1919,,,0.0505,,0.0303,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,,,74,,,19,,,3,,1,,,1,,98,,,3.673,,0,,,0,,False,,0,,,False,,98,,,YOUNG C,,,
,,,0.7551,,,0.1939,,,0.0306,,0.0102,,,0.0102,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,146,,,38,,,8,,4,,,1,,197,,,3.644,,0,,,0,,False,,0,,,False,,197,,,,,,
,,,0.7411,,,0.1929,,,0.0406,,0.0203,,,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-501,,,71,,,13,,,3,,1,,,1,,89,,,3.707,,0,,,0,,False,,0,,,False,,89,,,YOUNG C,,,
,,,0.7978,,,0.1461,,,0.0337,,0.0112,,,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-502,,,48,,,6,,,1,,0,,,0,,55,,,3.854,,0,,,0,,False,,1,,,False,,56,,,YOUNG C,,,
,,,0.8727,,,0.1091,,,0.0182,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,119,,,19,,,4,,1,,,1,,144,,,3.763,,0,,,0,,False,,1,,,False,,145,,,,,,
,,,0.8264,,,0.1319,,,0.0278,,0.0069,,,0.0069,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-201,,,14,,,1,,,0,,0,,,0,,15,,,3.933,,0,,,0,,False,,0,,,False,,15,,,RAUDSEPP T,,,
,,,0.9333,,,0.0667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-501,,,33,,,20,,,17,,5,,,0,,75,,,3.08,,1,,,0,,False,,2,,,False,,78,,,SAMOLLOW P,,,
,,,0.44,,,0.2667,,,0.2267,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-502,,62,,,18,,,1,,,1,,,0,,82,,3.719,,,0,,,0,,False,,0,,,True,,83,,DINDOT S,,,,
,,0.7561,,,0.2195,,,0.0122,,,0.0122,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-503,,27,,,26,,,12,,,7,,,4,,76,,2.855,,,1,,,0,,False,,1,,,False,,78,,KATJU V,,,,
,,0.3553,,,0.3421,,,0.1579,,,0.0921,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-550,,13,,,0,,,0,,,0,,,0,,13,,4.0,,,0,,,0,,False,,0,,,False,,13,,DERR J,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,149,,,65,,,30,,,13,,,4,,261,,3.31,,,2,,,0,,False,,3,,,True,,267,,,,,,
,,0.5709,,,0.249,,,0.1149,,,0.0498,,,0.0153,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-405-500,,30,,,8,,,2,,,0,,,0,,40,,3.7,,,1,,,0,,False,,0,,,False,,41,,DERR J,,,,
,,0.75,,,0.2,,,0.05,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,,8,,,2,,,0,,,0,,40,,3.7,,,1,,,0,,False,,0,,,False,,41,,,,,,
,,0.75,,,0.2,,,0.05,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-421-500,,32,,,0,,,0,,,0,,,0,,32,,4.0,,,0,,,0,,False,,0,,,False,,32,,VENKATRAJ,,V,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,,0,,,0,,,0,,,0,,32,,4.0,,,0,,,0,,False,,0,,,False,,32,,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-485-500,,8,,,1,,,0,,,0,,,0,,9,,3.88,,,0,,,3,,False,,0,,,False,,12,,CROUCH E,,,,
