AGCJ-305-700,7,c,d,3,f,2,h,0,j,0_2,l,m,12,o,3.416,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,12_2,ii,COSTELLO L,kk,ll,mm
,0.5833,,,0.25,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,3,,2,,0,,0,,,12,,3.416,,,False,,,False,,False,,,False,,,,False,,,12,,,,,
,0.5833,,,0.25,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-700,29,,,9,,0,,0,,0,,,38,,3.763,,,False,,,False,,False,,,False,,,,False,,,38,,WALTHER D,,,
,0.7632,,,0.2368,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,29,,,9,,0,,0,,0,,,38,,3.763,,,False,,,False,,False,,,False,,,,False,,,38,,,,,
,0.7632,,,0.2368,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-700,2,,,4,,4,,0,,1,,,11,,2.545,,,False,,,False,,False,,,False,,,,False,,,11,,WAGNER S,,,
,0.1818,,,0.3636,,0.3636,,0.0,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,2,,,4,,4,,0,,1,,,11,,2.545,,,False,,,False,,False,,,False,,,,False,,,11,,,,,
,0.1818,,,0.3636,,0.3636,,0.0,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-308-150,9,,,1,,0,,1,,0,,,11,,3.636,,,False,,,False,,False,,,False,,,,False,,,11,,RUTHERFORD,True,,
,0.8182,,,0.0909,,0.0,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-308-300,6,,,0,,0,,0,,0,,,6,,4.0,,,False,,,False,,False,,,False,,,,False,,,6,,ROBERTS L,,,
