SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn,oo,pp
AGCJ-105-501,,,28,,,16,,,6,,0,,,1,,51,,,3.372,,0,,,False,,False,,0,,,False,,51,,,,DUNSFORD D,,,,
,,,0.549,,,0.3137,,,0.1176,,0.0,,,0.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-105-502,,,19,,,14,,,2,,0,,,1,,36,,,3.388,,0,,,False,,False,,0,,,False,,36,,,,DUNSFORD D,,,,
,,,0.5278,,,0.3889,,,0.0556,,0.0,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,47,,,30,,,8,,0,,,2,,87,,,3.379,,0,,,False,,False,,0,,,False,,87,,,,,,,,
,,,0.5402,,,0.3448,,,0.092,,0.0,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-281-500,,,17,,,20,,,1,,0,,,0,,38,,,3.421,,1,,,False,,False,,0,,,False,,39,,,,WAGNER S,,,,
,,,0.4474,,,0.5263,,,0.0263,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,17,,,20,,,1,,0,,,0,,38,,,3.421,,1,,,False,,False,,0,,,False,,39,,,,,,,,
,,,0.4474,,,0.5263,,,0.0263,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-305-599,,,18,,,23,,,14,,0,,,2,,57,,,2.964,,0,,,False,,False,,0,,,False,,57,,,,DUNSFORD D,,,,
,,,0.3158,,,0.4035,,,0.2456,,0.0,,,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,18,,,23,,,14,,0,,,2,,57,,,2.964,,0,,,False,,False,,0,,,False,,57,,,,,,,,
,,,0.3158,,,0.4035,,,0.2456,,0.0,,,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-501,,,14,,,5,,,8,,0,,,2,,29,,,3.0,,1,,,False,,False,,1,,,False,,31,,,,RUTHERFORD T,,,,
,,,0.4828,,,0.1724,,,0.2759,,0.0,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-700,,,15,,,6,,,5,,1,,,0,,27,,,3.296,,0,,,False,,False,,2,,,False,,29,,,,RUTHERFORD T,,,,
,,,0.5556,,,0.2222,,,0.1852,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,29,,,11,,,13,,1,,,2,,56,,,3.142,,1,,,False,,False,,3,,,False,,60,,,,,,,,
,,,0.5179,,,0.1964,,,0.2321,,0.0179,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-308-501,,,12,,,7,,,1,,0,,,0,,20,,,3.55,,1,,,False,,False,,0,,,False,,21,,,,REDWINE T,,,,
,,,0.6,,,0.35,,,0.05,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,12,,,7,,,1,,0,,,0,,20,,,3.55,,1,,,False,,False,,0,,,False,,21,,,,,,,,
,,,0.6,,,0.35,,,0.05,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALTHER D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-501,,28,,,6,,,0,,0,,,1,,,35,,3.714,,,0,,,False,,False,,0,,,False,,,35,,,,,,,
,,0.8,,,0.1714,,,0.0,,0.0,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-700,,6,,,10,,,11,,0,,,4,,,31,,2.451,,,0,,,False,,False,,1,,,False,,,32,,,,,,,
,,0.1935,,,0.3226,,,0.3548,,0.0,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,34,,,16,,,11,,0,,,5,,,66,,3.121,,,0,,,False,,False,,1,,,False,,,67,,,,,,,
,,0.5152,,,0.2424,,,0.1667,,0.0,,,0.0758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-901,,9,,,10,,,1,,0,,,2,,,22,,3.09,,,0,,,False,,False,,0,,,False,,,22,,,,,,,
,,0.4091,,,0.4545,,,0.0455,,0.0,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-902,,6,,,7,,,4,,0,,,0,,,17,,3.117,,,0,,,False,,False,,3,,,False,,,20,,,,,,,
