SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
AGCJ-305-700,,23,,4,,0,,0,,,0,,27,,,,3.851,,0,,,0,,,0,,,False,,,0,,27,,,WALTHER D,,
,,0.8519,,0.1481,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,4,,0,,0,,,0,,27,,,,3.851,,0,,,0,,,0,,,False,,,0,,27,,,,,
,,0.8519,,0.1481,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-313-900,,1,,9,,0,,0,,,1,,11,,,,2.818,,0,,,0,,,0,,,False,,,0,,11,,,WAGNER S,,
,,0.0909,,0.8182,,0.0,,0.0,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,9,,0,,0,,,1,,11,,,,2.818,,0,,,0,,,0,,,False,,,0,,11,,,,,
,,0.0909,,0.8182,,0.0,,0.0,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-314-900,,7,,2,,3,,0,,,0,,12,,,,3.333,,0,,,0,,,0,,,False,,,0,,12,,,NORRIS S,,
,,0.5833,,0.1667,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,2,,3,,0,,,0,,12,,,,3.333,,0,,,0,,,0,,,False,,,0,,12,,,,,
,,0.5833,,0.1667,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-409-100,,10,,1,,0,,0,,,0,,11,,,,3.909,,0,,,0,,,0,,,False,,,0,,11,,,ZENT R,,
,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,1,,0,,0,,,0,,11,,,,3.909,,0,,,0,,,0,,,False,,,0,,11,,,,,
,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-494-356,,20,,0,,0,,0,,,0,,20,,,,4.0,,0,,,0,,,0,,,False,,,0,,20,,,WALTHER D,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,0,,0,,0,,,0,,20,,,,4.0,,0,,,0,,,0,,,False,,,0,,20,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGSC-489-100,,5,,0,,0,,0,,,0,,5,,,,4.0,,0,,,0,,,0,,,False,,,0,,5,,,HANCOCK J,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,0,,0,,0,,,0,,5,,,,4.0,,0,,,0,,,0,,,False,,,0,,5,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
ALEC-494-151,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,MAZURKIEWICZ,,J,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEC-606-700,,11,,1,,0,,0,,,0,,,12,,,3.916,,0,,,,False,,,False,,,0,,0,,12,,MOORE L,,,
,,0.9167,,0.0833,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,1,,0,,0,,,0,,,12,,,3.916,,0,,,,False,,,False,,,0,,0,,12,,,,,
,,0.9167,,0.0833,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEC-617-700,,11,,3,,0,,0,,,0,,,14,,,3.785,,0,,,,False,,,False,,,1,,0,,15,,STRONG J,,,
,,0.7857,,0.2143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,3,,0,,0,,,0,,,14,,,3.785,,0,,,,False,,,False,,,1,,0,,15,,,,,
,,0.7857,,0.2143,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-202-199,,15,,12,,1,,1,,,0,,,29,,,3.413,,0,,,,False,,,False,,,0,,0,,29,,MOORE L,,,
,,0.5172,,0.4138,,0.0345,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-202-700,,15,,9,,5,,1,,,0,,,30,,,3.266,,0,,,,False,,,False,,,3,,0,,33,,DUNN A,,,
,,0.5,,0.3,,0.1667,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,21,,6,,2,,,0,,,59,,,3.338,,0,,,,False,,,False,,,3,,0,,62,,,,,
,,0.5085,,0.3559,,0.1017,,0.0339,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-301-700,,11,,12,,3,,1,,,0,,,27,,,3.222,,0,,,,False,,,False,,,3,,0,,30,,ODOM S,,,
,,0.4074,,0.4444,,0.1111,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,12,,3,,1,,,0,,,27,,,3.222,,0,,,,False,,,False,,,3,,0,,30,,,,,
,,0.4074,,0.4444,,0.1111,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-340-700,,7,,13,,9,,0,,,1,,,30,,,2.833,,0,,,,False,,,False,,,0,,0,,30,,DUNN A,,,
,,0.2333,,0.4333,,0.3,,0.0,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
ALED-340-931,,7,,8,,4,,0,,,0,,,19,,,3.157,,0,,,,False,,,False,,,0,,0,,19,,DIXON S,,,
,,0.3684,,0.4211,,0.2105,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,21,,13,,0,,,1,,,49,,,2.959,,0,,,,False,,,False,,,0,,0,,49,,,,,
,,0.2857,,0.4286,,0.2653,,0.0,,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-344-100,,10,,3,,0,,0,,,0,,,13,,,3.769,,0,,,,False,,,False,,,0,,0,,13,,WALTER G,,,
,,0.7692,,0.2308,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,3,,0,,0,,,0,,,13,,,3.769,,0,,,,False,,,False,,,0,,0,,13,,,,,
,,0.7692,,0.2308,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-422-700,,7,,2,,1,,0,,,0,,,10,,,3.6,,0,,,,False,,,False,,,0,,0,,10,,ELBERT C,,,
,,0.7,,0.2,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,2,,1,,0,,,0,,,10,,,3.6,,0,,,,False,,,False,,,0,,0,,10,,,,,
,,0.7,,0.2,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-424-700,,22,,6,,1,,1,,,1,,,31,,,3.516,,0,,,,False,,,False,,,0,,0,,31,,BOYD B,,,
,,0.7097,,0.1935,,0.0323,,0.0323,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,6,,1,,1,,,1,,,31,,,3.516,,0,,,,False,,,False,,,0,,0,,31,,,,,
,,0.7097,,0.1935,,0.0323,,0.0323,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-426-100,,4,,3,,0,,0,,,0,,,7,,,3.571,,0,,,,False,,,False,,,0,,0,,7,,BENSON J,,,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,3,,0,,0,,,0,,,7,,,3.571,,0,,,,False,,,False,,,0,,0,,7,,,,,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-440-150,,10,,4,,0,,0,,,0,,,14,,,3.714,,0,,,,False,,,False,,,0,,0,,14,,STRONG R,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALED-440-701,,11,,8,,6,,1,,,1,,,27,,,3.0,,0,,,,False,,,False,,,0,,0,,27,,HARLIN J,,,
,,0.4074,,0.2963,,0.2222,,0.037,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,
