AGCJ-105-500,8,c,d,1,f,1_2,h,0,j,0_2,l,m,10,o,3.7,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,10_2,ii,ROBERTS L,kk,ll,mm
,0.8,,,0.1,,0.1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-105-501,31,,,2,,3,,0,,1,,,37,,3.675,,,0,,,True,,False,,,0,,,,False,,,38,,ROBERTS L,,,
,0.8378,,,0.0541,,0.0811,,0.0,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,39,,,3,,4,,0,,1,,,47,,3.68,,,0,,,True,,False,,,0,,,,False,,,48,,,,,
,0.8298,,,0.0638,,0.0851,,0.0,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-281-500,22,,,1,,0,,0,,0,,,23,,3.956,,,0,,,False,,False,,,0,,,,False,,,23,,NORRIS S,,,
,0.9565,,,0.0435,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,22,,,1,,0,,0,,0,,,23,,3.956,,,0,,,False,,False,,,0,,,,False,,,23,,,,,
,0.9565,,,0.0435,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-599,54,,,16,,1,,0,,0,,,71,,3.746,,,0,,,False,,False,,,0,,,,False,,,71,,WALTHER D,,,
,0.7606,,,0.2254,,0.0141,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-306-700,12,,,2,,1,,0,,0,,,15,,3.733,,,0,,,False,,False,,,0,,,,False,,,15,,WALTHER D,,,
,0.8,,,0.1333,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,66,,,18,,2,,0,,0,,,86,,3.744,,,0,,,False,,False,,,0,,,,False,,,86,,,,,
,0.7674,,,0.2093,,0.0233,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-501,11,,,2,,3,,0,,0,,,16,,3.5,,,0,,,False,,False,,,0,,,,False,,,16,,WAGNER S,,,
,0.6875,,,0.125,,0.1875,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-307-700,19,,,10,,5,,3,,2,,,39,,3.051,,,0,,,False,,False,,,2,,,,False,,,41,,TOPP K,,,
,0.4872,,,0.2564,,0.1282,,0.0769,,0.0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,30,,,12,,8,,3,,2,,,55,,3.181,,,0,,,False,,False,,,2,,,,False,,,57,,,,,
,0.5455,,,0.2182,,0.1455,,0.0545,,0.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCJ-312-501,31,,,18,,4,,1,,2,,,56,,3.339,,,3,,,False,,False,,,1,,,,False,,,60,,DUNSFORD D,,,
,0.5536,,,0.3214,,0.0714,,0.0179,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,31,,,18,,4,,1,,2,,,56,,3.339,,,3,,,False,,False,,,1,,,,False,,,60,,,,,
