SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPR,q,I,s,S,u,v,U,x,Q,z,aa,bb,X,dd,TOTAL,INSTRUCTOR,gg,hh,ii
ARCH-206-500,,14,,2,,0,,0,,0,,,16,,3.875,,0,,,False,,,False,,,0,,0,,16,LU Z,,,
,,0.875,,0.125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-501,,16,,0,,0,,0,,0,,,16,,4.0,,0,,,False,,,False,,,0,,0,,16,ESQUIVEL J,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-502,,15,,0,,0,,0,,0,,,15,,4.0,,0,,,False,,,False,,,0,,0,,15,RODIEK S,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-503,,9,,4,,1,,0,,0,,,14,,3.571,,0,,,False,,,False,,,0,,0,,14,HOLLIDAY R,,,
,,0.6429,,0.2857,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-504,,15,,0,,0,,0,,0,,,15,,4.0,,0,,,False,,,False,,,0,,0,,15,HALIBURTON,,J,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-505,,2,,6,,2,,0,,0,,,10,,3.0,,0,,,False,,,False,,,2,,0,,12,LEE S,,,
,,0.2,,0.6,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,71,,12,,3,,0,,0,,,86,,3.791,,0,,,False,,,False,,,2,,0,,88,,,,
,,0.8256,,0.1395,,0.0349,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-500,,19,,54,,34,,2,,0,,,109,,2.826,,0,,,False,,,False,,,1,,0,,110,TABB P,,,
,,0.1743,,0.4954,,0.3119,,0.0183,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-501,,4,,26,,24,,0,,0,,,54,,2.63,,0,,,False,,,False,,,3,,0,,57,TABB P,,,
,,0.0741,,0.4815,,0.4444,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,80,,58,,2,,0,,,163,,2.761,,0,,,False,,,False,,,4,,0,,167,,,,
,,0.1411,,0.4908,,0.3558,,0.0123,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,,4,,1,,1,,0,,0,,,6,,3.5,,0,,,False,,,False,,,0,,0,,6,GLOWACKI K,,,
,,0.6667,,0.1667,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,,12,,1,,1,,0,,0,,,14,,3.786,,0,,,False,,,False,,,1,,0,,15,CAFFEY S,,,
,,0.8571,,0.0714,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,,61,,73,,35,,6,,5,,,180,,2.994,,0,,,False,,,False,,,6,,0,,186,GLOWACKI K,,,
,,0.3389,,0.4056,,0.1944,,0.0333,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPR,,I,,S,,,U,,Q,,,,X,,TOTAL,INSTRUCTOR,,,
ARCH-249-502,,3,,8,,6,,1,,0,,,18,,2.722,,0,,,False,,,False,,,1,,0,,19,GLOWACKI K,,,
,,0.1667,,0.4444,,0.3333,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,,76,,38,,15,,4,,0,,,133,,3.398,,0,,,False,,,False,,,0,,0,,133,CAFFEY S,,,
,,0.5714,,0.2857,,0.1128,,0.0301,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,,16,,19,,2,,0,,1,,,38,,3.29,,0,,,False,,,False,,,0,,0,,38,CAFFEY S,,,
,,0.4211,,0.5,,0.0526,,0.0,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-505,,2,,11,,2,,0,,1,,,16,,2.812,,0,,,False,,,False,,,3,,0,,19,GLOWACKI K,,,
,,0.125,,0.6875,,0.125,,0.0,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,,43,,10,,11,,4,,0,,,68,,3.353,,1,,,False,,,False,,,3,,0,,72,CAFFEY S,,,
,,0.6324,,0.1471,,0.1618,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,217,,161,,73,,15,,7,,,473,,3.197,,1,,,False,,,False,,,14,,0,,488,,,,
,,0.4588,,0.3404,,0.1543,,0.0317,,0.0148,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-501,,74,,83,,26,,3,,1,,,187,,3.209,,2,,,False,,,False,,,1,,0,,190,KLEIN N,,,
,,0.3957,,0.4439,,0.139,,0.016,,0.0053,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-502,,12,,18,,11,,2,,0,,,43,,2.93,,0,,,False,,,False,,,1,,0,,44,KLEIN N,,,
,,0.2791,,0.4186,,0.2558,,0.0465,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-503,,54,,43,,12,,0,,0,,,109,,3.385,,0,,,False,,,False,,,3,,0,,112,CAMPAGNOL,,G,
,,0.4954,,0.3945,,0.1101,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-504,,15,,13,,11,,0,,0,,,39,,3.103,,0,,,False,,,False,,,1,,0,,40,CAMPAGNOL,,G,
,,0.3846,,0.3333,,0.2821,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,155,,157,,60,,5,,1,,,378,,3.217,,2,,,False,,,False,,,6,,0,,386,,,,
,,0.4101,,0.4153,,0.1587,,0.0132,,0.0026,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-931,,14,,1,,0,,0,,0,,,15,,3.933,,0,,,False,,,False,,,0,,0,,15,BABE J,,,
,,0.9333,,0.0667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-932,,9,,6,,0,,0,,0,,,15,,3.6,,0,,,False,,,False,,,0,,0,,15,GIBBS B,,,
,,0.6,,0.4,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,,10,,4,,0,,0,,0,,14,,,3.714,,0,,0,,,0,,,0,,,0,,14,,CATAO CARTAXO,,
,,0.7143,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,33,,11,,0,,0,,0,,44,,,3.75,,0,,0,,,0,,,0,,,0,,44,,,,
,,0.75,,0.25,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-328-500,,9,,0,,0,,0,,0,,9,,,4.0,,0,,0,,,0,,,1,,,0,,10,,OBRIEN M,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,9,,0,,0,,0,,0,,9,,,4.0,,0,,0,,,0,,,1,,,0,,10,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-331-500,,10,,20,,12,,1,,2,,45,,,2.778,,0,,0,,,0,,,4,,,0,,49,,NICHOLS A,,
,,0.2222,,0.4444,,0.2667,,0.0222,,0.0444,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,10,,20,,12,,1,,2,,45,,,2.778,,0,,0,,,0,,,4,,,0,,49,,,,
,,0.2222,,0.4444,,0.2667,,0.0222,,0.0444,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-335-500,,5,,20,,19,,4,,1,,49,,,2.49,,0,,0,,,0,,,0,,,0,,49,,HABERL J,,
,,0.102,,0.4082,,0.3878,,0.0816,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,5,,20,,19,,4,,1,,49,,,2.49,,0,,0,,,0,,,0,,,0,,49,,,,
,,0.102,,0.4082,,0.3878,,0.0816,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-345-500,,26,,9,,2,,0,,0,,37,,,3.649,,0,,0,,,0,,,0,,,0,,37,,HOLLIDAY S,,
,,0.7027,,0.2432,,0.0541,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-345-501,,24,,12,,6,,0,,3,,45,,,3.2,,0,,0,,,0,,,1,,,0,,46,,HOLLIDAY S,,
,,0.5333,,0.2667,,0.1333,,0.0,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,50,,21,,8,,0,,3,,82,,,3.402,,0,,0,,,0,,,1,,,0,,83,,,,
,,0.6098,,0.2561,,0.0976,,0.0,,0.0366,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-350-200,,3,,0,,2,,0,,0,,5,,,3.2,,0,,0,,,0,,,0,,,0,,5,,DEYONG S,,
,,0.6,,0.0,,0.4,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
