ARCH-249-100,19,7,1,0,0_2,27,3.667,0_3,0_4,0_5,1_2,1_3,29,CAFFEY,S,q
,0.7037,0.2593,0.037,0.0,0.0,,,,,,,,,,,
ARCH-249-700,43,13,10,0,1,67,3.448,0,False,False,0,False,67,CAFFEY,S,
,0.6418,0.194,0.1493,0.0,0.0149,,,,,,,,,,,
COURSE TOTAL:,62,20,11,0,1,94,3.511,0,False,False,1,True,96,,,
,0.6596,0.2128,0.117,0.0,0.0106,,,,,,,,,,,
ARCH-250-200,37,12,1,0,2,52,3.577,2,False,False,0,False,54,CAFFEY,S,
,0.7115,0.2308,0.0192,0.0,0.0385,,,,,,,,,,,
COURSE TOTAL:      37,,12,1,0,2,52,3.577,2,False,False,0,False,54,,,
71.15%,,0.2308,0.0192,0.0,0.0385,,,,,,,,,,,
ARCH-331-100            2,,10,4,2,2,20,2.4,0,False,False,0,False,20,NICHOLS A,,
10.00%,,0.5,0.2,0.1,0.1,,,,,,,,,,,
COURSE TOTAL:       2,,10,4,2,2,20,2.4,0,False,False,0,False,20,,,
10.00%,,0.5,0.2,0.1,0.1,,,,,,,,,,,
ARCH-406-300           11,,0,0,0,0,11,4.0,0,False,False,0,False,11,AITANI K,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,
COURSE TOTAL:      11,,0,0,0,0,11,4.0,0,False,False,0,False,11,,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,
ARCH-647-300            5,,0,0,0,0,5,4.0,0,False,False,0,False,5,WARDEN R,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,
COURSE TOTAL:       5,,0,0,0,0,5,4.0,0,False,False,0,False,5,,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,
ENDS-101-200          111,,18,1,0,0,130,3.846,0,False,False,0,False,130,HILL R,,
85.38%,,0.1385,0.0077,0.0,0.0,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
111,,18,1,0,0,130,3.846,0,False,False,0,False,130,,,
85.38%,,0.1385,0.0077,0.0,0.0,,,,,,,,,,,
0,,8,6,0,0,14,2.571,0,False,False,1,False,15,ROGERS J,,
0.00%,,0.5714,0.4286,0.0,0.0,,,,,,,,,,,
0,,8,6,0,0,14,2.571,0,False,False,1,False,15,,,
0.00%,,0.5714,0.4286,0.0,0.0,,,,,,,,,,,
6,,3,4,0,0,13,3.154,0,False,False,0,False,13,CATAO CARTAXO,,
46.15%,,0.2308,0.3077,0.0,0.0,,,,,,,,,,,
4,,5,0,0,0,9,3.444,0,False,False,0,False,9,CATAO CARTAXO,,
44.44%,,0.5556,0.0,0.0,0.0,,,,,,,,,,,
10,,8,4,0,0,22,3.273,0,False,False,0,False,22,,,
45.45%,,0.3636,0.1818,0.0,0.0,,,,,,,,,,,
2,,12,0,0,0,14,3.143,0,False,False,0,False,14,LEE S,,
14.29%,,0.8571,0.0,0.0,0.0,,,,,,,,,,,
2,,12,0,0,0,14,3.143,0,False,False,0,False,14,,,
14.29%,,0.8571,0.0,0.0,0.0,,,,,,,,,,,
12,,0,0,0,0,12,4.0,0,False,False,0,False,12,YOUSIF S,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,,2,2,0,0,9,3.333,0,False,False,0,False,9,LABIB R,,
55.56%,,0.2222,0.2222,0.0,0.0,,,,,,,,,,,
17,,2,2,0,0,21,3.714,0,False,False,0,False,21,,,
80.95%,,0.0952,0.0952,0.0,0.0,,,,,,,,,,,
ENDS-105-100,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
ENDS-106-201,,,,,,,,,,,,,,,,
ENDS-106-202,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
ENDS-115-100,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
ENDS-116-201,,,,,,,,,,,,,,,,
ENDS-116-202,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,257,90,29,2,5,3833.546,,2,False,False,2,True,388,,,
,0.671,0.235,0.0757,0.0052,0.0131,,,,,,,,,,,
