ARCH-206-500,9,c,d,8,f,0,h,0_2,j,0_3,l,m,17,o,3.529,q,r,0_4,t,u,0_5,w,0_6,y,z,0_7,bb,cc,dd,0_8,ff,gg,17_2,KIM J,jj,kk
,0.5294,,,0.4706,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-501,6,,,7,,0,,0,,0,,,13,,3.461,,,False,,,False,,False,,,0,,,,False,,,13,KIM J,,
,0.4615,,,0.5385,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-502,5,,,11,,3,,0,,0,,,19,,3.105,,,False,,,False,,False,,,0,,,,False,,,19,HUNTER C,,
,0.2632,,,0.5789,,0.1579,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-503,4,,,8,,0,,0,,0,,,12,,3.333,,,False,,,False,,False,,,0,,,,False,,,12,RODIEK S,,
,0.3333,,,0.6667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-504,12,,,1,,0,,0,,0,,,13,,3.923,,,False,,,False,,False,,,0,,,,False,,,13,ESQUIVEL,J,
,0.9231,,,0.0769,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-505,15,,,2,,1,,0,,0,,,18,,3.777,,,False,,,False,,False,,,0,,,,False,,,18,LU Z,,
,0.8333,,,0.1111,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,51,,,37,,4,,0,,0,,,92,,3.51,,,False,,,False,,False,,,0,,,,False,,,92,,,
,0.5543,,,0.4022,,0.0435,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,29,,,70,,23,,3,,0,,,125,,3.0,,,False,,,False,,False,,,0,,,,False,,,125,ZHU X,,
,0.232,,,0.56,,0.184,,0.024,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,29,,,70,,23,,3,,0,,,125,,3.0,,,False,,,False,,False,,,0,,,,False,,,125,,,
,0.232,,,0.56,,0.184,,0.024,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-500,21,,,45,,22,,5,,0,,,93,,2.881,,,False,,,False,,False,,,0,,,,False,,,93,TABB P,,
,0.2258,,,0.4839,,0.2366,,0.0538,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-501,11,,,22,,19,,2,,0,,,54,,2.777,,,False,,,False,,False,,,1,,,,False,,,55,TABB P,,
,0.2037,,,0.4074,,0.3519,,0.037,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,32,,,67,,41,,7,,0,,,147,,2.843,,,False,,,False,,False,,,1,,,,False,,,148,,,
,0.2177,,,0.4558,,0.2789,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-500,15,,,8,,0,,0,,0,,,23,,3.652,,,False,,,False,,False,,,0,,,,False,,,23,KIM H,,
,0.6522,,,0.3478,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,8,,0,,0,,0,,,23,,3.652,,,False,,,False,,False,,,0,,,,False,,,23,,,
,0.6522,,,0.3478,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,7,,,0,,3,,1,,0,,,11,,3.181,,,False,,,False,,False,,,0,,,,False,,,11,GLOWACKI,K,
,0.6364,,,0.0,,0.2727,,0.0909,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,13,,,1,,0,,0,,0,,,14,,3.928,,,False,,,False,,False,,,0,,,,False,,,14,CAFFEY S,,
,0.9286,,,0.0714,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,62,,,81,,23,,12,,3,,,181,,3.033,,,True,,,False,,False,,,12,,,,False,,,194,GLOWACKI,K,
,0.3425,,,0.4475,,0.1271,,0.0663,,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-502,3,,,17,,5,,0,,2,,,27,,2.703,,,False,,,False,,False,,,3,,,,False,,,30,GLOWACKI,K,
,0.1111,,,0.6296,,0.1852,,0.0,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,93,,,27,,7,,1,,1,,,129,,3.627,,,False,,,False,,False,,,0,,,,False,,,129,CAFFEY S,,
,0.7209,,,0.2093,,0.0543,,0.0078,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,24,,,11,,3,,1,,0,,,39,,3.487,,,False,,,False,,False,,,0,,,,False,,,39,CAFFEY S,,
,0.6154,,,0.2821,,0.0769,,0.0256,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,39,,,15,,7,,4,,0,,,65,,3.369,,,False,,,False,,False,,,3,,,,False,,,68,CAFFEY S,,
,0.6,,,0.2308,,0.1077,,0.0615,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
