SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL,INSTRUCTOR,gg,hh
ARCH-249-100,,23,,,5,,0,,2,,0,,,30,,3.633,,False,,,False,,False,,,True,,False,,31,CAFFEY S,,
,,0.7667,,,0.1667,,0.0,,0.0667,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,,48,,,15,,1,,1,,1,,,66,,3.636,,False,,,False,,False,,,False,,False,,66,CAFFEY S,,
,,0.7273,,,0.2273,,0.0152,,0.0152,,0.0152,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,71,,,20,,1,,3,,1,,,96,,3.635,,False,,,False,,False,,,True,,False,,97,,,
,,0.7396,,,0.2083,,0.0104,,0.0313,,0.0104,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-200,,25,,,12,,2,,0,,0,,,39,,3.589,,False,,,False,,False,,,False,,False,,39,CAFFEY S,,
,,0.641,,,0.3077,,0.0513,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,,58,,,7,,3,,0,,1,,,69,,3.753,,False,,,False,,False,,,False,,False,,69,CAMPAGNOL G,,
,,0.8406,,,0.1014,,0.0435,,0.0,,0.0145,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,83,,,19,,5,,0,,1,,,108,,3.694,,False,,,False,,False,,,False,,False,,108,,,
,,0.7685,,,0.1759,,0.0463,,0.0,,0.0093,,,,,,,,,,,,,,,,,,,,,,
ARCH-331-100,,4,,,6,,6,,0,,1,,,17,,2.705,,False,,,False,,False,,,False,,False,,17,NICHOLS A,,
,,0.2353,,,0.3529,,0.3529,,0.0,,0.0588,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,6,,6,,0,,1,,,17,,2.705,,False,,,False,,False,,,False,,False,,17,,,
,,0.2353,,,0.3529,,0.3529,,0.0,,0.0588,,,,,,,,,,,,,,,,,,,,,,
ARCH-406-300,,8,,,1,,2,,0,,0,,,11,,3.545,,True,,,False,,False,,,False,,False,,12,AITANI K,,
,,0.7273,,,0.0909,,0.1818,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,1,,2,,0,,0,,,11,,3.545,,True,,,False,,False,,,False,,False,,12,,,
,,0.7273,,,0.0909,,0.1818,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ARCH-603-300,,9,,,4,,0,,0,,0,,,13,,3.692,,False,,,False,,False,,,False,,False,,13,BABE J,,
,,0.6923,,,0.3077,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,,4,,0,,0,,0,,,13,,3.692,,False,,,False,,False,,,False,,False,,13,,,
,,0.6923,,,0.3077,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
HILL R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDS-101-200,78,,,5,,,1,,1,,1,,,86,3.837,,,False,,,False,False,,,False,,,False,,86,,,
,0.907,,,0.0581,,,0.0116,,0.0116,,0.0116,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,78,,,5,,,1,,1,,1,,,86,3.837,,,False,,,False,False,,,False,,,False,,86,,,
,0.907,,,0.0581,,,0.0116,,0.0116,,0.0116,,,,,,,,,,,,,,,,,,,,,,
ENDS-105-100,3,,,3,,,0,,0,,0,,,6,3.5,,,False,,,False,False,,,False,,,False,,6,,,
,0.5,,,0.5,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,,,3,,,0,,0,,0,,,6,3.5,,,False,,,False,False,,,False,,,False,,6,,,
,0.5,,,0.5,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENDS-108-201,5,,,5,,,0,,0,,0,,,10,3.5,,,False,,,False,False,,,False,,,False,,10,,,
,0.5,,,0.5,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,,5,,,0,,0,,0,,,10,3.5,,,False,,,False,False,,,False,,,False,,10,,,
,0.5,,,0.5,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ENDS-115-100,7,,,0,,,0,,0,,0,,,7,4.0,,,False,,,False,False,,,False,,,False,,7,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,0,,,0,,0,,0,,,7,4.0,,,False,,,False,False,,,False,,,False,,7,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ROGERS J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABIB R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,268,,,63,,,15,,4,,4,,,3543.653,,,,True,,,False,False,,,True,,,False,,356,,,
,0.7571,,,0.178,,,0.0424,,0.0113,,0.0113,,,,,,,,,,,,,,,,,,,,,,
