ARCH-206-500,17,c,d,0,f,0_2,h,0_3,j,0_4,l,m,17_2,o,4.0,q,r,0_5,t,u,0_6,w,0_7,y,z,0_8,bb,cc,0_9,ee,ff,gg,17_3,KIM H,jj,kk
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-501,11,,,3,,2,,0,,0,,,16,,3.562,,,0,,,False,,False,,,0,,,0,,,,16,KIM H,,
,0.6875,,,0.1875,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-502,10,,,4,,0,,2,,0,,,16,,3.375,,,0,,,False,,False,,,0,,,0,,,,16,LUTZ S,,
,0.625,,,0.25,,0.0,,0.125,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-503,3,,,4,,3,,2,,0,,,12,,2.666,,,0,,,False,,False,,,1,,,0,,,,13,HAWKINS A,,
,0.25,,,0.3333,,0.25,,0.1667,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-504,15,,,0,,0,,0,,0,,,15,,4.0,,,0,,,False,,False,,,0,,,0,,,,15,ESQUIVEL J,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-505,14,,,0,,0,,0,,0,,,14,,4.0,,,2,,,False,,False,,,0,,,0,,,,16,DE LIMA VAZ XAVIER,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-506,11,,,6,,0,,0,,0,,,17,,3.647,,,0,,,False,,False,,,0,,,0,,,,17,VAHDAT ZAD V,,
,0.6471,,,0.3529,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,81,,,17,,5,,4,,0,,,107,,3.635,,,2,,,False,,False,,,1,,,0,,,,110,,,
,0.757,,,0.1589,,0.0467,,0.0374,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,29,,,25,,5,,4,,0,,,63,,3.253,,,0,,,False,,False,,,2,,,0,,,,65,LU Z,,
,0.4603,,,0.3968,,0.0794,,0.0635,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-501,8,,,12,,5,,1,,0,,,26,,3.038,,,0,,,False,,False,,,0,,,0,,,,26,LU Z,,
,0.3077,,,0.4615,,0.1923,,0.0385,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,37,,,37,,10,,5,,0,,,89,,3.191,,,0,,,False,,False,,,2,,,0,,,,91,,,
,0.4157,,,0.4157,,0.1124,,0.0562,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-500,54,,,52,,16,,6,,2,,,130,,3.153,,,0,,,False,,False,,,3,,,0,,,,133,BELTRAN L,,
,0.4154,,,0.4,,0.1231,,0.0462,,0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-501,13,,,18,,4,,0,,2,,,37,,3.081,,,0,,,False,,False,,,2,,,0,,,,39,BELTRAN L,,
,0.3514,,,0.4865,,0.1081,,0.0,,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,67,,,70,,20,,6,,4,,,167,,3.137,,,0,,,False,,False,,,5,,,0,,,,172,,,
,0.4012,,,0.4192,,0.1198,,0.0359,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-500,10,,,3,,0,,0,,0,,,13,,3.769,,,0,,,False,,False,,,0,,,0,,,,13,,,
,0.7692,,,0.2308,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-501,10,,,4,,0,,0,,0,,,14,,3.714,,,0,,,False,,False,,,0,,,0,,,,14,,,
,0.7143,,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,,7,,0,,0,,0,,,27,,3.74,,,0,,,False,,False,,,0,,,0,,,,27,,,
,0.7407,,,0.2593,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,13,,,0,,1,,0,,0,,,14,,3.857,,,0,,,False,,False,,,0,,,0,,,,14,,,
,0.9286,,,0.0,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,59,,,33,,16,,9,,4,,,121,,3.107,,,0,,,False,,False,,,2,,,40,,,,163,,,
,0.4876,,,0.2727,,0.1322,,0.0744,,0.0331,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,33,,,7,,5,,0,,0,,,45,,3.622,,,0,,,False,,False,,,0,,,1,,,,46,,,
,0.7333,,,0.1556,,0.1111,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,44,,,15,,5,,2,,0,,,66,,3.53,,,1,,,False,,False,,,12,,,21,,,,100,,,
,0.6667,,,0.2273,,0.0758,,0.0303,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,149,,,55,,27,,11,,4,,,246,,3.357,,,1,,,False,,False,,,14,,,62,,,,323,,,
