SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
ARCH-206-500,,,8,,,6,,,1,,0,,,1,,16,,,3.25,,False,,,0,,0,,False,,,False,,16,,STEWART K,,,
,,,0.5,,,0.375,,,0.0625,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-501,,,16,,,0,,,0,,0,,,0,,16,,,4.0,,False,,,0,,0,,False,,,False,,16,,TATE J,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-502,,,9,,,3,,,2,,1,,,0,,15,,,3.333,,False,,,0,,0,,False,,,False,,15,,CATAO CARTAXO,,,
,,,0.6,,,0.2,,,0.1333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-503,,,6,,,9,,,0,,0,,,0,,15,,,3.4,,False,,,0,,0,,False,,,False,,15,,MCINTOSH N,,,
,,,0.4,,,0.6,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-504,,,14,,,0,,,0,,0,,,0,,14,,,4.0,,False,,,0,,0,,False,,,False,,14,,LUTZ S,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-505,,,11,,,3,,,2,,0,,,0,,16,,,3.562,,False,,,0,,0,,False,,,False,,16,,DE LIMA VAZ XAVIER,,,
,,,0.6875,,,0.1875,,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,64,,,21,,,5,,1,,,1,,92,,,3.586,,False,,,0,,0,,False,,,False,,92,,,,,
,,,0.6957,,,0.2283,,,0.0543,,0.0109,,,0.0109,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,,,19,,,21,,,4,,3,,,1,,48,,,3.125,,False,,,0,,0,,False,,,False,,48,,LU Z,,,
,,,0.3958,,,0.4375,,,0.0833,,0.0625,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-501,,,5,,,9,,,2,,0,,,0,,16,,,3.187,,False,,,0,,0,,True,,,False,,17,,LU Z,,,
,,,0.3125,,,0.5625,,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,24,,,30,,,6,,3,,,1,,64,,,3.14,,False,,,0,,0,,True,,,False,,65,,,,,
,,,0.375,,,0.4688,,,0.0938,,0.0469,,,0.0156,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-500,,,96,,,13,,,5,,3,,,2,,119,,,3.663,,False,,,0,,0,,False,,,False,,119,,LIU D,,,
,,,0.8067,,,0.1092,,,0.042,,0.0252,,,0.0168,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-501,,,19,,,4,,,1,,1,,,1,,26,,,3.5,,False,,,0,,0,,False,,,False,,26,,SAMADI S,,,
,,,0.7308,,,0.1538,,,0.0385,,0.0385,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,115,,,17,,,6,,4,,,3,,145,,,3.634,,False,,,0,,0,,False,,,False,,145,,,,,
,,,0.7931,,,0.1172,,,0.0414,,0.0276,,,0.0207,,,,,,,,,,,,,,,,,,,,,,,,
TUZUN CANADINC S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-500,,13,,,2,,,0,,,0,,,1,,16,,3.625,,,False,,,0,,0,,True,,,False,,17,,,,,
,,0.8125,,,0.125,,,0.0,,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-501,,7,,,5,,,3,,,0,,,0,,15,,3.266,,,False,,,0,,0,,False,,,False,,15,,,,,
,,0.4667,,,0.3333,,,0.2,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,,7,,,3,,,0,,,1,,31,,3.451,,,False,,,0,,0,,True,,,False,,32,,,,,
,,0.6452,,,0.2258,,,0.0968,,,0.0,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,,2,,,3,,,0,,,0,,,0,,5,,3.4,,,False,,,0,,0,,True,,,False,,6,,,,,
,,0.4,,,0.6,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,,30,,,57,,,34,,,7,,,3,,131,,2.793,,,False,,,0,,0,,False,,,False,,131,,,,,
,,0.229,,,0.4351,,,0.2595,,,0.0534,,,0.0229,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,,17,,,14,,,9,,,3,,,0,,43,,3.046,,,False,,,0,,0,,False,,,False,,43,,,,,
,,0.3953,,,0.3256,,,0.2093,,,0.0698,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,,94,,,34,,,8,,,2,,,1,,139,,3.568,,,True,,,0,,0,,False,,,False,,140,,,,,
,,0.6763,,,0.2446,,,0.0576,,,0.0144,,,0.0072,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,143,,,108,,,51,,,12,,,4,,318,,3.176,,,True,,,0,,0,,True,,,False,,320,,,,,
,,0.4497,,,0.3396,,,0.1604,,,0.0377,,,0.0126,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-501,,45,,,29,,,12,,,3,,,2,,91,,3.23,,,True,,,0,,0,,False,,,False,,92,,,,,
,,0.4945,,,0.3187,,,0.1319,,,0.033,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-502,,23,,,6,,,0,,,1,,,2,,32,,3.468,,,False,,,0,,0,,False,,,False,,32,,,,,
,,0.7188,,,0.1875,,,0.0,,,0.0313,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-503,,12,,,13,,,6,,,3,,,0,,34,,3.0,,,False,,,0,,0,,False,,,False,,34,,,,,
,,0.3529,,,0.3824,,,0.1765,,,0.0882,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,,99,,,32,,,13,,,0,,,2,,146,,3.547,,,False,,,0,,0,,True,,,False,,147,,,,,
,,0.6781,,,0.2192,,,0.089,,,0.0,,,0.0137,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-701,,71,,,29,,,7,,,1,,,0,,108,,3.574,,,False,,,0,,0,,False,,,False,,108,,,,,
,,0.6574,,,0.2685,,,0.0648,,,0.0093,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LOUIE J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEWART Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAGNOL G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,250,,,109,,,38,,,8,,,6,,411,,3.433,,,True,,,0,,0,,True,,,False,,413,,,,,
,,0.6083,,,0.2652,,,0.0925,,,0.0195,,,0.0146,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-260-500,,6,,,1,,,0,,,0,,,0,,7,,3.857,,,False,,,0,,0,,False,,,False,,7,,IISAKA M,,,
,,0.8571,,,0.1429,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,1,,,0,,,0,,,0,,7,,3.857,,,False,,,0,,0,,False,,,False,,7,,,,,
,,0.8571,,,0.1429,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-931,,12,,,0,,,0,,,0,,,0,,12,,4.0,,,False,,,0,,0,,False,,,False,,12,,JAIN P,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-932,,10,,,0,,,0,,,0,,,0,,10,,4.0,,,False,,,5,,0,,False,,,False,,15,,AITANI K,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-933,,15,,,0,,,0,,,0,,,0,,15,,4.0,,,False,,,0,,0,,False,,,False,,15,,CALVESBERT,True,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-305-934,,4,,,3,,,2,,,0,,,0,,9,,3.222,,,True,,,0,,0,,False,,,False,,10,,HAWKINS A,,,
,,0.4444,,,0.3333,,,0.2222,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,41,,,3,,,2,,,0,,,0,,46,,3.847,,,True,,,5,,0,,False,,,False,,52,,,,,
,,0.8913,,,0.0652,,,0.0435,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-317-500,,4,,,6,,,0,,,0,,,0,,10,,2.833,,,False,,,0,,2,,False,,,False,,12,,GAYK M,,,
,,0.4,,,0.6,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-317-501,,11,,,0,,,0,,,0,,,0,,11,,4.0,,,False,,,0,,0,,False,,,False,,11,,ESQUIVEL J,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,,6,,,0,,,0,,,0,,21,,3.391,,,False,,,0,,2,,False,,,False,,23,,,,,
,,0.7143,,,0.2857,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-331-500,,10,,,28,,,37,,,7,,,4,,86,,2.383,,,False,,,0,,0,,False,,,False,,86,,WARDEN R,,,
,,0.1163,,,0.3256,,,0.4302,,,0.0814,,,0.0465,,,,,,,,,,,,,,,,,,,,,,,,
