ARCH-205-902,11,c,d,5,f,3,h,0,j,0_2,l,m,19,o,3.421,q,r,0_3,t,u,0_4,w,0_5,y,z,1,bb,cc,dd,0_6,ff,gg,20,ii,CATAO CARTAXO,kk
,0.5789,,,0.2632,,0.1579,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-903,19,,,0,,0,,0,,0,,,19,,4.0,,,False,,,False,,False,,,0,,,,False,,,19,,ESQUIVEL J,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-904,4,,,12,,2,,0,,0,,,18,,3.111,,,False,,,False,,False,,,0,,,,False,,,18,,HAWKINS A,
,0.2222,,,0.6667,,0.1111,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-905,13,,,3,,3,,0,,0,,,19,,3.526,,,False,,,False,,False,,,0,,,,False,,,19,,DE LIMA VAZ XAVIER,
,0.6842,,,0.1579,,0.1579,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-906,8,,,9,,2,,0,,0,,,19,,3.315,,,True,,,False,,False,,,0,,,,False,,,20,,LOUIE J,
,0.4211,,,0.4737,,0.1053,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-205-907,15,,,4,,0,,0,,0,,,19,,3.789,,,False,,,False,,False,,,1,,,,False,,,20,,LUTZ S,
,0.7895,,,0.2105,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,70,,,33,,10,,0,,0,,,113,,3.53,,,True,,,False,,False,,,2,,,,False,,,116,,,
,0.6195,,,0.292,,0.0885,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,79,,,58,,10,,0,,0,,,147,,3.469,,,False,,,False,,False,,,0,,,,False,,,147,,ZHU X,
,0.5374,,,0.3946,,0.068,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-700,30,,,8,,8,,0,,1,,,47,,3.404,,,False,,,False,,False,,,0,,,,False,,,47,,LU Z,
,0.6383,,,0.1702,,0.1702,,0.0,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,109,,,66,,18,,0,,1,,,194,,3.453,,,False,,,False,,False,,,0,,,,False,,,194,,,
,0.5619,,,0.3402,,0.0928,,0.0,,0.0052,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-501,11,,,9,,0,,0,,0,,,20,,3.55,,,False,,,False,,False,,,4,,,,False,,,24,,GAYK M,
,0.55,,,0.45,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,,9,,0,,0,,0,,,20,,3.55,,,False,,,False,,False,,,4,,,,False,,,24,,,
,0.55,,,0.45,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-221-500,6,,,4,,3,,0,,1,,,14,,3.0,,,False,,,False,,False,,,0,,,,False,,,14,,KLEIN N,
,0.4286,,,0.2857,,0.2143,,0.0,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,4,,3,,0,,1,,,14,,3.0,,,False,,,False,,False,,,0,,,,False,,,14,,,
,0.4286,,,0.2857,,0.2143,,0.0,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-246-500,10,,,3,,0,,0,,0,,,13,,3.769,,,False,,,False,,False,,,0,,,,False,,,13,,,
,0.7692,,,0.2308,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,3,,0,,0,,0,,,13,,3.769,,,False,,,False,,False,,,0,,,,False,,,13,,,
,0.7692,,,0.2308,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,4,,,0,,1,,0,,0,,,5,,3.6,,,False,,,False,,False,,,1,,,,False,,,6,,,
,0.8,,,0.0,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-201,9,,,1,,0,,0,,0,,,10,,3.9,,,False,,,False,,False,,,0,,,,False,,,10,,,
,0.9,,,0.1,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,6,,,6,,2,,1,,0,,,15,,3.133,,,False,,,False,,False,,,0,,,,False,,,15,,,
,0.4,,,0.4,,0.1333,,0.0667,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-502,76,,,56,,14,,1,,4,,,151,,3.317,,,False,,,False,,False,,,0,,,,False,,,151,,,
,0.5033,,,0.3709,,0.0927,,0.0066,,0.0265,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-503,11,,,2,,0,,0,,0,,,13,,3.846,,,False,,,False,,False,,,0,,,,False,,,13,,,
,0.8462,,,0.1538,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-504,78,,,3,,4,,0,,0,,,85,,3.87,,,False,,,False,,False,,,0,,,,False,,,85,,,
,0.9176,,,0.0353,,0.0471,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-700,80,,,9,,5,,0,,1,,,95,,3.757,,,False,,,False,,False,,,2,,,,False,,,97,,,
,0.8421,,,0.0947,,0.0526,,0.0,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,264,,,77,,26,,2,,5,,,374,,3.585,,,False,,,False,,False,,,3,,,,False,,,377,,,
,0.7059,,,0.2059,,0.0695,,0.0053,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-200,4,,,0,,1,,0,,0,,,5,,3.6,,,False,,,False,,False,,,0,,,,False,,,5,,,
,0.8,,,0.0,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-201,6,,,0,,1,,0,,1,,,8,,3.25,,,False,,,False,,False,,,0,,,,False,,,8,,,
,0.75,,,0.0,,0.125,,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
JAIN P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOWACKI K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFFEY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEIN N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEWART Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
ARCH-250-501,,12,,2,,1,,0,,0,,,15,,3.733,,0,,,,False,,,False,,,0,,0,,,15,,KLEIN N,,
,,0.8,,0.1333,,0.0667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-502,,69,,20,,7,,2,,0,,,98,,3.591,,0,,,,False,,,False,,,0,,0,,,98,,KLEIN N,,
,,0.7041,,0.2041,,0.0714,,0.0204,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-503,,3,,6,,4,,1,,0,,,14,,2.785,,0,,,,False,,,False,,,1,,0,,,15,,STEWART Z,,
,,0.2143,,0.4286,,0.2857,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-504,,35,,27,,9,,3,,4,,,78,,3.102,,0,,,,False,,,False,,,3,,0,,,81,,STEWART Z,,
,,0.4487,,0.3462,,0.1154,,0.0385,,0.0513,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,,68,,21,,6,,1,,1,,,97,,3.587,,0,,,,False,,,False,,,2,,0,,,99,,CAMPAGNOL G,,
