SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn
ARCH-206-500,,,10,,,2,,,0,,0,,,0,,12,,,3.833,,0,,,False,,False,,0,,,False,,12,,TATE J,,,,
,,,0.8333,,,0.1667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-501,,,3,,,14,,,0,,0,,,0,,17,,,3.176,,0,,,False,,False,,0,,,False,,17,,TRIPP A,,,,
,,,0.1765,,,0.8235,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-502,,,12,,,4,,,0,,0,,,0,,16,,,3.75,,0,,,False,,False,,0,,,False,,16,,WARDEN R,,,,
,,,0.75,,,0.25,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-503,,,17,,,0,,,0,,0,,,0,,17,,,4.0,,0,,,False,,False,,0,,,False,,17,,ESQUIVEL J,,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-504,,,12,,,2,,,2,,0,,,0,,16,,,3.625,,1,,,False,,False,,0,,,False,,17,,LUTZ S,,,,
,,,0.75,,,0.125,,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-505,,,13,,,4,,,0,,0,,,0,,17,,,3.764,,0,,,False,,False,,0,,,False,,17,,JAIN P,,,,
,,,0.7647,,,0.2353,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-206-506,,,11,,,4,,,0,,0,,,0,,15,,,3.733,,0,,,False,,False,,1,,,False,,16,,STEWART K,,,,
,,,0.7333,,,0.2667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,78,,,30,,,2,,0,,,0,,110,,,3.69,,1,,,False,,False,,1,,,False,,112,,,,,,
,,,0.7091,,,0.2727,,,0.0182,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-500,,,11,,,20,,,4,,0,,,2,,37,,,3.027,,0,,,False,,False,,1,,,False,,38,,ZHU X,,,,
,,,0.2973,,,0.5405,,,0.1081,,0.0,,,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-212-700,,,14,,,4,,,1,,0,,,0,,19,,,3.684,,0,,,False,,False,,0,,,False,,19,,LU Z,,,,
,,,0.7368,,,0.2105,,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,25,,,24,,,5,,0,,,2,,56,,,3.25,,0,,,False,,False,,1,,,False,,57,,,,,,
,,,0.4464,,,0.4286,,,0.0893,,0.0,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-213-500,,,140,,,20,,,7,,1,,,7,,175,,,3.628,,1,,,False,,False,,6,,,False,,182,,BELTRAN L,,,,
,,,0.8,,,0.1143,,,0.04,,0.0057,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,140,,,20,,,7,,1,,,7,,175,,,3.628,,1,,,False,,False,,6,,,False,,182,,,,,,
,,,0.8,,,0.1143,,,0.04,,0.0057,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
BAASKE B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-216-501,,18,,,0,,,1,,,0,,,0,,19,,3.894,,,0,,,False,,False,,1,,,False,,20,,,,,,
,,0.9474,,,0.0,,,0.0526,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,0,,,1,,,0,,,0,,19,,3.894,,,0,,,False,,False,,1,,,False,,20,,,,,,
,,0.9474,,,0.0,,,0.0526,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-200,,7,,,1,,,0,,,0,,,0,,8,,3.875,,,0,,,False,,False,,1,,,False,,9,,,,,,
,,0.875,,,0.125,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-249-501,,122,,,49,,,14,,,4,,,2,,191,,3.492,,,0,,,False,,False,,6,,,False,,197,,,,,,
