SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll
ACCT-209-100,,49,,116,,54,,0,,,0,,,219,,,2.977,,True,,,,False,,,False,,,4,,False,,224,,HEAD M,,
,,0.2237,,0.5297,,0.2466,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,49,,116,,54,,0,,,0,,,219,,,2.977,,True,,,,False,,,False,,,4,,False,,224,,,,
,,0.2237,,0.5297,,0.2466,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-200,,8,,21,,13,,4,,,0,,,46,,,2.717,,False,,,,False,,,False,,,2,,False,,48,,ALLEN N,,
,,0.1739,,0.4565,,0.2826,,0.087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,21,,13,,4,,,0,,,46,,,2.717,,False,,,,False,,,False,,,2,,False,,48,,,,
,,0.1739,,0.4565,,0.2826,,0.087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-100,,22,,17,,9,,6,,,2,,,56,,,2.91,,True,,,,False,,,False,,,1,,False,,58,,LARKIN R,,
,,0.3929,,0.3036,,0.1607,,0.1071,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,17,,9,,6,,,2,,,56,,,2.91,,True,,,,False,,,False,,,1,,False,,58,,,,
,,0.3929,,0.3036,,0.1607,,0.1071,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-200,,12,,23,,6,,5,,,0,,,46,,,2.913,,False,,,,False,,,False,,,2,,False,,48,,ALLEN N,,
,,0.2609,,0.5,,0.1304,,0.1087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,23,,6,,5,,,0,,,46,,,2.913,,False,,,,False,,,False,,,2,,False,,48,,,,
