SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,X,dd,ee,TOTAL,INSTRUCTOR,hh,ii,jj
ACCT-209-501,,89,,,142,,,148,,25,,2,,,406,,2.716,,0,,,False,,False,25,,,,False,,431,CLARKE M,,,
,,0.2192,,,0.3498,,,0.3645,,0.0616,,0.0049,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-502,,100,,,143,,,135,,20,,2,,,400,,2.797,,0,,,False,,False,24,,,,False,,424,CLARKE M,,,
,,0.25,,,0.3575,,,0.3375,,0.05,,0.005,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-503,,2,,,7,,,3,,1,,2,,,15,,2.4,,0,,,False,,False,1,,,,False,,16,CLARKE M,,,
,,0.1333,,,0.4667,,,0.2,,0.0667,,0.1333,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,191,,,292,,,286,,46,,6,,,821,,2.75,,0,,,False,,False,50,,,,False,,871,,,,
,,0.2326,,,0.3557,,,0.3484,,0.056,,0.0073,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,44,,,49,,,33,,13,,17,,,156,,2.576,,4,,,False,,False,15,,,,False,,175,STRAWSER R,,,
,,0.2821,,,0.3141,,,0.2115,,0.0833,,0.109,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,44,,,49,,,33,,13,,17,,,156,,2.576,,4,,,False,,False,15,,,,False,,175,,,,
,,0.2821,,,0.3141,,,0.2115,,0.0833,,0.109,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-200,,12,,,8,,,1,,0,,0,,,21,,3.523,,0,,,False,,False,0,,,,False,,21,KNOOP J,,,
,,0.5714,,,0.381,,,0.0476,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-201,,7,,,10,,,2,,0,,0,,,19,,3.263,,0,,,False,,False,0,,,,False,,19,KNOOP J,,,
,,0.3684,,,0.5263,,,0.1053,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-202,,14,,,9,,,1,,0,,0,,,24,,3.541,,0,,,False,,False,0,,,,False,,24,KNOOP J,,,
,,0.5833,,,0.375,,,0.0417,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,6,,,15,,,13,,2,,0,,,36,,2.694,,0,,,False,,False,3,,,,False,,39,BARRETT J,,,
,,0.1667,,,0.4167,,,0.3611,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,5,,,14,,,9,,2,,1,,,31,,2.645,,0,,,False,,False,6,,,,False,,37,BARRETT J,,,
,,0.1613,,,0.4516,,,0.2903,,0.0645,,0.0323,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-503,,4,,,14,,,8,,5,,2,,,33,,2.393,,0,,,False,,False,5,,,,False,,38,BARRETT J,,,
,,0.1212,,,0.4242,,,0.2424,,0.1515,,0.0606,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-504,,6,,,13,,,14,,7,,2,,,42,,2.333,,0,,,False,,False,12,,,,False,,54,HEAD M,,,
,,0.1429,,,0.3095,,,0.3333,,0.1667,,0.0476,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,10,,,9,,,11,,2,,,0,,,32,2.843,,,0,,,False,False,,,3,,,False,,35,KNOOP J,,,
,0.3125,,,0.2813,,,0.3438,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,9,,,9,,,11,,3,,,0,,,32,2.75,,,0,,,False,False,,,8,,,False,,40,ARNOSKY,C,,
,0.2813,,,0.2813,,,0.3438,,0.0938,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-507,5,,,8,,,12,,6,,,1,,,32,2.312,,,0,,,False,False,,,7,,,False,,39,ARNOSKY,C,,
,0.1563,,,0.25,,,0.375,,0.1875,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-508,8,,,9,,,17,,6,,,1,,,41,2.414,,,0,,,False,False,,,9,,,False,,50,ARNOSKY,C,,
,0.1951,,,0.2195,,,0.4146,,0.1463,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-509,3,,,13,,,22,,8,,,1,,,47,2.191,,,0,,,False,False,,,9,,,True,,57,ARNOSKY,C,,
,0.0638,,,0.2766,,,0.4681,,0.1702,,,0.0213,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-510,5,,,10,,,17,,5,,,3,,,40,2.225,,,0,,,False,False,,,14,,,False,,54,BARBIER,E,,
,0.125,,,0.25,,,0.425,,0.125,,,0.075,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,4,,,14,,,6,,6,,,0,,,30,2.533,,,0,,,False,False,,,11,,,False,,41,BARBIER,E,,
,0.1333,,,0.4667,,,0.2,,0.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-512,6,,,15,,,15,,9,,,1,,,46,2.347,,,0,,,False,False,,,6,,,False,,52,WEAVER A,,,
,0.1304,,,0.3261,,,0.3261,,0.1957,,,0.0217,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-513,9,,,7,,,7,,6,,,0,,,29,2.655,,,0,,,False,False,,,11,,,False,,40,FLAM R,,,
,0.3103,,,0.2414,,,0.2414,,0.2069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,113,,,177,,,166,,67,,,12,,,535,2.583,,,0,,,False,False,,,104,,,True,,640,,,,
,0.2112,,,0.3308,,,0.3103,,0.1252,,,0.0224,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,24,,,5,,,0,,0,,,0,,,29,3.827,,,0,,,False,False,,,1,,,False,,30,STRAWSER R,,,
,0.8276,,,0.1724,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,48,,,95,,,42,,14,,,1,,,200,2.875,,,0,,,False,False,,,13,,,False,,213,ALLEN N,,,
,0.24,,,0.475,,,0.21,,0.07,,,0.005,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,55,,,103,,,86,,34,,,3,,,281,2.615,,,0,,,False,False,,,20,,,False,,301,ALLEN N,,,
,0.1957,,,0.3665,,,0.306,,0.121,,,0.0107,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,127,,,203,,,128,,48,,,4,,,510,2.786,,,0,,,False,False,,,34,,,False,,544,,,,
,0.249,,,0.398,,,0.251,,0.0941,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-500,216,,,0,,,0,,0,,,0,,,216,4.0,,,0,,,False,False,,,0,,,False,,216,,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,216,,,0,,,0,,0,,,0,,,216,4.0,,,0,,,False,False,,,0,,,False,,216,,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-322-500,73,,,9,,,2,,0,,,0,,,84,3.845,,,0,,,False,False,,,1,,,False,,85,,,,
,0.869,,,0.1071,,,0.0238,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,73,,,9,,,2,,0,,,0,,,84,3.845,,,0,,,False,False,,,1,,,False,,85,,,,
,0.869,,,0.1071,,,0.0238,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-500,5,,,8,,,16,,1,,,2,,,32,2.406,,,0,,,False,False,,,4,,,False,,36,,,,
,0.1563,,,0.25,,,0.5,,0.0313,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-501,12,,,12,,,6,,0,,,0,,,30,3.2,,,0,,,False,False,,,5,,,False,,35,,,,
,0.4,,,0.4,,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-502,8,,,8,,,13,,0,,,0,,,29,2.827,,,0,,,False,False,,,5,,,False,,34,,,,
,0.2759,,,0.2759,,,0.4483,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-505,2,,,12,,,9,,1,,,1,,,25,2.52,,,0,,,False,False,,,12,,,False,,37,,,,
,0.08,,,0.48,,,0.36,,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-506,9,,,8,,,10,,2,,,1,,,30,2.733,,,0,,,False,False,,,8,,,False,,38,,,,
,0.3,,,0.2667,,,0.3333,,0.0667,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-507,9,,,15,,,4,,1,,,3,,,32,2.812,,,0,,,False,False,,,9,,,False,,41,,,,
,0.2813,,,0.4688,,,0.125,,0.0313,,,0.0938,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-508,10,,,12,,,7,,2,,,0,,,31,2.967,,,0,,,False,False,,,3,,,False,,34,,,,
,0.3226,,,0.3871,,,0.2258,,0.0645,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ROACH K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARKIN R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARKIN R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARKIN R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEL T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEL T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEL T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEL T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
