SECTION,A       B        C       D,c,d,e,f,g,h,i,j,F      A - F,l,m,n,o,GPA     I,q,r,s,S     U     Q,u,v,w,x,y,z,X    TOTAL,bb,cc,dd,ee,INSTRUCTOR,gg,hh,ii,jj
ACCT-209-200,,,62,,118,,107,,1,,,8,,296,,2.76,,0,,,False,,False,,14,,,False,,310,,HEAD M,,,
,,,0.2095,,0.3986,,0.3615,,0.0034,,,0.027,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,62,,118,,107,,1,,,8,,296,,2.76,,0,,,False,,False,,14,,,False,,310,,,,,
,,,0.2095,,0.3986,,0.3615,,0.0034,,,0.027,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-200,,,23,,35,,17,,10,,,1,,86,,2.802,,0,,,False,,False,,5,,,False,,91,,ALLEN N,,,
,,,0.2674,,0.407,,0.1977,,0.1163,,,0.0116,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,23,,35,,17,,10,,,1,,86,,2.802,,0,,,False,,False,,5,,,False,,91,,,,,
,,,0.2674,,0.407,,0.1977,,0.1163,,,0.0116,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-100,,,16,,17,,12,,10,,,5,,60,,2.483,,2,,,False,,False,,5,,,False,,67,,ARNOSKY C,,,
,,,0.2667,,0.2833,,0.2,,0.1667,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,16,,17,,12,,10,,,5,,60,,2.483,,2,,,False,,False,,5,,,False,,67,,,,,
,,,0.2667,,0.2833,,0.2,,0.1667,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-200,,,25,,28,,12,,4,,,0,,69,,3.072,,0,,,False,,False,,1,,,False,,70,,ALLEN N,,,
,,,0.3623,,0.4058,,0.1739,,0.058,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,25,,28,,12,,4,,,0,,69,,3.072,,0,,,False,,False,,1,,,False,,70,,,,,
,,,0.3623,,0.4058,,0.1739,,0.058,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-100,,,34,,0,,0,,0,,,0,,34,,4.0,,0,,,False,,False,,0,,,False,,34,,MCELROY T,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,34,,0,,0,,0,,,0,,34,,4.0,,0,,,False,,False,,0,,,False,,34,,,,,
,,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ACCT-327-101,,,18,,29,,24,,0,,,0,,71,,2.915,,0,,,False,,False,,2,,,False,,73,,LARKIN R,,,
,,,0.2535,,0.4085,,0.338,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,18,,29,,24,,0,,,0,,71,,2.915,,0,,,False,,False,,2,,,False,,73,,,,,
,,,0.2535,,0.4085,,0.338,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
