SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll
ACCT-209-501,,364,,358,,99,,9,,,9,,839,,,,3.262,,0,,,0,,,0,,,54,,,0,,,893,,CLARKE M,
,,0.4338,,0.4267,,0.118,,0.0107,,,0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-209-504,,0,,8,,1,,0,,,0,,9,,,,2.888,,0,,,0,,,0,,,1,,,0,,,10,,CLARKE M,
,,0.0,,0.8889,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,364,,366,,100,,9,,,9,,848,,,,3.258,,0,,,0,,,0,,,55,,,0,,,903,,,
,,0.4292,,0.4316,,0.1179,,0.0106,,,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-210-501,,122,,62,,32,,17,,,5,,238,,,,3.172,,4,,,0,,,0,,,6,,,0,,,248,,STRAWSER R,
,,0.5126,,0.2605,,0.1345,,0.0714,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,122,,62,,32,,17,,,5,,238,,,,3.172,,4,,,0,,,0,,,6,,,0,,,248,,,
,,0.5126,,0.2605,,0.1345,,0.0714,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-200,,7,,2,,2,,1,,,0,,12,,,,3.25,,0,,,0,,,0,,,1,,,0,,,13,,KNOOP J,
,,0.5833,,0.1667,,0.1667,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-201,,14,,8,,0,,0,,,0,,22,,,,3.636,,0,,,0,,,0,,,2,,,0,,,24,,KNOOP J,
,,0.6364,,0.3636,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-202,,10,,9,,0,,0,,,0,,19,,,,3.526,,0,,,0,,,0,,,3,,,0,,,22,,KNOOP J,
,,0.5263,,0.4737,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-501,,40,,29,,29,,15,,,1,,114,,,,2.807,,0,,,0,,,0,,,30,,,0,,,144,,BARRETT J,
,,0.3509,,0.2544,,0.2544,,0.1316,,,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-502,,34,,33,,27,,5,,,0,,99,,,,2.969,,0,,,0,,,0,,,49,,,0,,,148,,FOSTER C,
,,0.3434,,0.3333,,0.2727,,0.0505,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-504,,7,,6,,9,,3,,,2,,27,,,,2.481,,0,,,0,,,0,,,13,,,0,,,40,,HEAD M,
,,0.2593,,0.2222,,0.3333,,0.1111,,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-505,,12,,13,,3,,5,,,3,,36,,,,2.722,,0,,,0,,,0,,,5,,,0,,,41,,KNOOP J,
,,0.3333,,0.3611,,0.0833,,0.1389,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-506,,15,,28,,16,,3,,,1,,63,,,,2.841,,0,,,0,,,0,,,13,,,0,,,76,,ARNOSKY C,
,,0.2381,,0.4444,,0.254,,0.0476,,,0.0159,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,
ACCT-229-510,,9,,12,,11,,3,,,0,,35,,,,2.771,,0,,,0,,,0,,,5,,,0,,,40,,WEAVER A,
,,0.2571,,0.3429,,0.3143,,0.0857,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-511,,7,,13,,10,,3,,,1,,34,,,,2.647,,1,,,0,,,0,,,4,,,0,,,39,,WEAVER A,
,,0.2059,,0.3824,,0.2941,,0.0882,,,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-229-513,,10,,11,,12,,2,,,0,,35,,,,2.828,,0,,,0,,,0,,,5,,,0,,,40,,WEAVER A,
,,0.2857,,0.3143,,0.3429,,0.0571,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,165,,164,,119,,40,,,8,,496,,,,2.883,,1,,,0,,,0,,,130,,,0,,,627,,,
,,0.3327,,0.3306,,0.2399,,0.0806,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-201,,12,,7,,0,,0,,,0,,19,,,,3.631,,0,,,0,,,0,,,1,,,0,,,20,,ALLEN N,
,,0.6316,,0.3684,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-501,,63,,83,,55,,14,,,0,,215,,,,2.906,,0,,,0,,,0,,,17,,,0,,,232,,ALLEN N,
,,0.293,,0.386,,0.2558,,0.0651,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-230-502,,75,,83,,34,,11,,,3,,206,,,,3.048,,0,,,0,,,0,,,13,,,0,,,219,,ALLEN N,
,,0.3641,,0.4029,,0.165,,0.0534,,,0.0146,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,150,,173,,89,,25,,,3,,440,,,,3.004,,0,,,0,,,0,,,31,,,0,,,471,,,
,,0.3409,,0.3932,,0.2023,,0.0568,,,0.0068,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-321-500,,195,,0,,0,,0,,,0,,195,,,,4.0,,0,,,0,,,0,,,0,,,0,,,195,,MCELROY T,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,195,,0,,0,,0,,,0,,195,,,,4.0,,0,,,0,,,0,,,0,,,0,,,195,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-322-500,,60,,2,,0,,0,,,0,,62,,,,3.967,,0,,,0,,,0,,,0,,,0,,,62,,WILLIAMS M,
,,0.9677,,0.0323,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
