SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,F      A - F,m,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk
OBIO-610-600,,,11,,3,,,0,,0,,,0,,,14,,,3.785,,False,,,False,,False,,False,,,False,,14,,SVOBODA K,
,,,0.7857,,0.2143,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,11,,3,,,0,,0,,,0,,,14,,,3.785,,False,,,False,,False,,False,,,False,,14,,,
,,,0.7857,,0.2143,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
OBIO-611-600,,,22,,9,,,0,,0,,,0,,,31,,,3.709,,True,,,False,,False,,False,,,False,,32,,BUSCHANG P,
,,,0.7097,,0.2903,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,22,,9,,,0,,0,,,0,,,31,,,3.709,,True,,,False,,False,,False,,,False,,32,,,
,,,0.7097,,0.2903,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
OBIO-630-600,,,16,,2,,,1,,0,,,0,,,19,,,3.714,,False,,,False,,False,,False,,,False,,19,,RUEST L,
,,,0.8421,,0.1053,,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,16,,2,,,1,,0,,,0,,,19,,,3.714,,False,,,False,,False,,False,,,False,,19,,,
,,,0.8421,,0.1053,,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
OBIO-631-600,,,24,,0,,,0,,0,,,0,,,24,,,4.0,,False,,,False,,False,,False,,,False,,24,,RUEST L,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,24,,0,,,0,,0,,,0,,,24,,,4.0,,False,,,False,,False,,False,,,False,,24,,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
OBIO-674-600,,,8,,0,,,0,,0,,,0,,,8,,,4.0,,False,,,False,,False,,False,,,False,,8,,NEWMAN J,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,0,,,0,,0,,,0,,,8,,,4.0,,False,,,False,,False,,False,,,False,,8,,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
OBIO-677-600,,,7,,0,,,0,,0,,,0,,,7,,,4.0,,False,,,False,,False,,False,,,False,,7,,SVOBODA K,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,0,,,0,,0,,,0,,,7,,,4.0,,False,,,False,,False,,False,,,False,,7,,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
OBIO-687-600,,,7,,0,,,0,,0,,,0,,,7,,,4.0,,False,,,False,,False,,False,,,False,,7,,SVOBODA K,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,0,,,0,,0,,,0,,,7,,,4.0,,False,,,False,,False,,False,,,False,,7,,,
,,,1.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,,95,,14,,,1,,0,,,0,,,110,,,3.845,,True,,,False,,False,,False,,,False,,111,,,
,,,0.8636,,0.1273,,,0.0091,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT: SECTION,,"DENTAL HYGIENE
A       B",,,,C       D       F,,,,,,,,TOTAL A - F,,,GPA     I,,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
DDHS-3110-500,,,22,,8,,,0,,0,,,0,,,30,,,3.733,,False,,,False,,False,,False,,,False,,30,,FOX E,
,,,0.7333,,0.2667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,22,,8,,,0,,0,,,0,,,30,,,3.733,,False,,,False,,False,,False,,,False,,30,,,
,,,0.7333,,0.2667,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3120-500,,,19,,13,,,1,,0,,,0,,,33,,,3.545,,False,,,False,,False,,False,,,False,,33,,FOX E,
,,,0.5758,,0.3939,,,0.0303,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,19,,13,,,1,,0,,,0,,,33,,,3.545,,False,,,False,,False,,False,,,False,,33,,,
,,,0.5758,,0.3939,,,0.0303,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3160-500,,,20,,10,,,0,,0,,,0,,,30,,,3.666,,False,,,False,,False,,False,,,False,,30,,WYATT L,
,,,0.6667,,0.3333,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,20,,10,,,0,,0,,,0,,,30,,,3.666,,False,,,False,,False,,False,,,False,,30,,,
,,,0.6667,,0.3333,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3250-500,,,8,,17,,,2,,4,,,2,,,33,,,2.757,,False,,,False,,False,,False,,,False,,33,,LU Y,
,,,0.2424,,0.5152,,,0.0606,,0.1212,,,0.0606,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,17,,,2,,4,,,2,,,33,,,2.757,,False,,,False,,False,,False,,,False,,33,,,
,,,0.2424,,0.5152,,,0.0606,,0.1212,,,0.0606,,,,,,,,,,,,,,,,,,,,,,,
DDHS-3425-500,,,7,,19,,,4,,0,,,0,,,30,,,3.1,,False,,,False,,False,,False,,,False,,30,,COTTER J,
,,,0.2333,,0.6333,,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,19,,,4,,0,,,0,,,30,,,3.1,,False,,,False,,False,,False,,,False,,30,,,
,,,0.2333,,0.6333,,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
