SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,aa,X,cc,TOTAL,ee,INSTRUCTOR,gg,hh
OBIO-660-600,,25,,0,,0,,0,,0,,,25,,4.0,,False,,,False,,False,,,False,,False,,25,,KABANI F,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,0,,0,,0,,0,,,25,,4.0,,False,,,False,,False,,,False,,False,,25,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
OBIO-672-600,,16,,0,,0,,0,,0,,,16,,4.0,,False,,,False,,False,,,False,,False,,16,,WANG Q,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,0,,0,,0,,0,,,16,,4.0,,False,,,False,,False,,,False,,False,,16,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,41,,0,,0,,0,,0,,,41,,4.0,,False,,,False,,False,,,False,,False,,41,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AEGD-600-600,8,,,0,,0,,0,,0,,,8,0.0,,,False,,,False,False,,,False,,,False,,,8,ZANDINEJAD,A,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,0,,0,,0,,,8,Error,,,False,,,False,False,,,False,,,False,,,8,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AEGD-603-600,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,ZANDINEJAD,A,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AEGD-608-600,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,ZANDINEJAD,A,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AEGD-615-600,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,ZANDINEJAD,A,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
AEGD-618-600,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,ZANDINEJAD,A,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,0,,0,,0,,,8,4.0,,,False,,,False,False,,,False,,,False,,,8,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,40,,,0,,0,,0,,0,,,404.0,,,,False,,,False,False,,,False,,,False,,,40,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
