SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
OBIO-610-600,,16,,0,,0,,0,,,0,,,16,,,4.0,,0,,,,False,,,False,,,0,,0,,16,,LIU X,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,0,,0,,0,,,0,,,16,,,4.0,,0,,,,False,,,False,,,0,,0,,16,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-611-600,,18,,12,,2,,0,,,0,,,32,,,3.5,,0,,,,False,,,False,,,0,,0,,32,,BUSCHANG P,,,
,,0.5625,,0.375,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,12,,2,,0,,,0,,,32,,,3.5,,0,,,,False,,,False,,,0,,0,,32,,,,,
,,0.5625,,0.375,,0.0625,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-630-600,,18,,3,,0,,0,,,0,,,21,,,3.863,,0,,,,False,,,False,,,0,,0,,21,,RUEST L,,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,3,,0,,0,,,0,,,21,,,3.863,,0,,,,False,,,False,,,0,,0,,21,,,,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-631-600,,23,,2,,0,,0,,,0,,,25,,,3.931,,0,,,,False,,,False,,,0,,0,,25,,RUEST L,,,
,,0.92,,0.08,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,2,,0,,0,,,0,,,25,,,3.931,,0,,,,False,,,False,,,0,,0,,25,,,,,
,,0.92,,0.08,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-643-600,,4,,1,,0,,0,,,0,,,5,,,3.8,,0,,,,False,,,False,,,0,,0,,5,,FENG J,,,
,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,1,,0,,0,,,0,,,5,,,3.8,,0,,,,False,,,False,,,0,,0,,5,,,,,
,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBIO-674-600,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,NEWMAN J,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
OBIO-687-600,,4,,3,,0,,0,,,0,,7,,,,3.777,,0,,,0,,,0,,,False,,,0,,7,,,SVOBODA K,,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,3,,0,,0,,,0,,7,,,,3.777,,0,,,0,,,0,,,False,,,0,,7,,,,,
