SECTION,A,B,d,C,f,D,h,F,j,A_2,l,-,F_2,GPR,I,q,S,s,U,u,Q,w,X,y,TOTAL  INSTRUCTOR,aa,bb,cc,dd
CEHD-603-600,10,,0,,0,,0,,0,,104.0,,,,,0,,False,,False,,False,,False,,10 MCTIGUE E,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,0,,0,,0,,0,,104.0,,,,,0,,False,,False,,False,,False,,10,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,10,,0,,0,,0,,0,,104.0,,,,,0,,False,,False,,False,,False,,10,,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-606-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,0,,0,,0,,0,,12,,,4.0,,0,,False,,False,,False,,False,,12,WEBB-JOHNSON,G,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
12,,,0,,0,,0,,0,,12,,,4.0,,0,,False,,False,,False,,False,,12,,,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
12,,,1,,0,,0,,0,,13,,,3.923,,0,,True,,False,,False,,False,,14,MULLER R,,
92.31%,,,0.0769,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
12,,,1,,0,,0,,0,,13,,,3.923,,0,,True,,False,,False,,False,,14,,,
92.31%,,,0.0769,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
5,,,0,,0,,0,,0,,5,,,4.0,,0,,False,,False,,False,,False,,5,PARROTT D,,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
5,,,0,,0,,0,,0,,5,,,4.0,,0,,False,,False,,False,,False,,5,,,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
19,,,0,,0,,0,,0,,19,,,4.0,,0,,False,,False,,False,,False,,19,MUSOBA G,,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
19,,,0,,0,,0,,0,,19,,,4.0,,0,,False,,False,,False,,False,,19,,,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
16,,,0,,0,,0,,0,,16,,,4.0,,0,,False,,False,,False,,False,,16,LECHUGA V,,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
16,,,0,,0,,0,,0,,16,,,4.0,,0,,False,,False,,False,,False,,16,,,
100.00%,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
13,,,7,,0,,0,,0,,20,,,3.65,,0,,False,,False,,False,,False,,20,BOWEN D,,
65.00%,,,0.35,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
10,,,2,,0,,0,,0,,12,,,3.833,,0,,False,,False,,False,,False,,12,MULLER R,,
83.33%,,,0.1667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-610-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-611-602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-618-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-620-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-620-701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
