SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPA,p,I,r,S,t,U,v,Q,x,y,X,aa,TOTAL   INSTRUCTOR,cc,dd
CEHD-603-600,5,,6,,0,,0,,0,,,11,,3.454,,0,,,False,,False,,False,,0,,11 GOODSON P,,
,0.4545,,0.5455,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,6,,0,,0,,0,,,11,,3.454,,0,,,False,,False,,False,,0,,11,,
,0.4545,,0.5455,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,5,,6,,0,,0,,0,,,11,,3.454,,0,,,False,,False,,False,,0,,11,,
,0.4545,,0.5455,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,
EDAD-601-600,9,,4,,0,,0,,0,,,13,,3.692,,1,,,False,,False,,False,,0,,14,PONJUAN L,
,0.6923,,0.3077,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,4,,0,,0,,0,,,13,,3.692,,1,,,False,,False,,False,,0,,14,,
,0.6923,,0.3077,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-603-600,10,,6,,0,,0,,0,,,16,,3.625,,0,,,False,,False,,False,,0,,16,PONJUAN L,
,0.625,,0.375,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,6,,0,,0,,0,,,16,,3.625,,0,,,False,,False,,False,,0,,16,,
,0.625,,0.375,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-605-700,14,,0,,2,,0,,0,,,16,,3.75,,0,,,False,,False,,False,,0,,16,MULLER R,
,0.875,,0.0,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,0,,2,,0,,0,,,16,,3.75,,0,,,False,,False,,False,,0,,16,,
,0.875,,0.0,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-609-700,15,,1,,1,,0,,0,,,17,,3.823,,0,,,False,,False,,False,,0,,17,TORRES M,
,0.8824,,0.0588,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,1,,1,,0,,0,,,17,,3.823,,0,,,False,,False,,False,,0,,17,,
,0.8824,,0.0588,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-610-600,14,,0,,0,,0,,0,,,14,,4.0,,0,,,False,,False,,False,,0,,14,BROWN J,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,0,,0,,0,,0,,,14,,4.0,,0,,,False,,False,,False,,0,,14,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-631-600,10,,4,,0,,0,,0,,,14,,3.714,,0,,,False,,False,,False,,0,,14,BAILEY K,
,0.7143,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,4,,0,,0,,0,,,14,,3.714,,0,,,False,,False,,False,,0,,14,,
,0.7143,,0.2857,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,
EDAD-638-700,16,,0,,0,,0,,0,,,16,,4.0,,1,,,False,,False,,False,,0,,17,WEBB-JOHNSON,G
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-638-701,19,,1,,0,,0,,0,,,20,,3.95,,0,,,False,,False,,False,,0,,20,WEBB-JOHNSON,G
,0.95,,0.05,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,35,,1,,0,,0,,0,,,36,,3.972,,1,,,False,,False,,False,,0,,37,,
,0.9722,,0.0278,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-639-601,16,,0,,0,,0,,0,,,16,,4.0,,0,,,False,,False,,False,,0,,16,LECHUGA V,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-639-602,10,,0,,0,,0,,0,,,10,,4.0,,2,,,False,,False,,False,,0,,12,SMITH K,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-639-700,11,,4,,1,,0,,0,,,16,,3.625,,0,,,False,,False,,False,,0,,16,SMITH K,
,0.6875,,0.25,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,37,,4,,1,,0,,0,,,42,,3.857,,2,,,False,,False,,False,,0,,44,,
,0.881,,0.0952,,0.0238,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-651-600,11,,4,,1,,0,,0,,,16,,3.625,,0,,,False,,False,,False,,0,,16,MULLER R,
,0.6875,,0.25,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,4,,1,,0,,0,,,16,,3.625,,0,,,False,,False,,False,,0,,16,,
,0.6875,,0.25,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-653-600,10,,0,,0,,0,,0,,,10,,4.0,,0,,,False,,False,,False,,0,,10,MUSOBA G,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,0,,0,,0,,0,,,10,,4.0,,0,,,False,,False,,False,,0,,10,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
EDAD-655-600,16,,2,,0,,0,,0,,,18,,3.888,,0,,,True,,False,,False,,0,,19,LECHUGA V,
,0.8889,,0.1111,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
