SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL   INSTRUCTOR,ff,gg
CEHD-603-600,,4,,,2,,0,,0,,0,,,6,,3.666,,0,,,False,,False,,,False,,False,,6 GOODSON P,,
,,0.6667,,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,2,,0,,0,,0,,,6,,3.666,,0,,,False,,False,,,False,,False,,6,,
,,0.6667,,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,4,,,2,,0,,0,,0,,,6,,3.666,,0,,,False,,False,,,False,,False,,6,,
,,0.6667,,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-601-600,8,,,0,,,0,,0,,0,,,8,4.0,,,0,,,False,False,,,False,,,False,,8,HAYNES DAVISON,C
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,0,,0,,,8,4.0,,,0,,,False,False,,,False,,,False,,8,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-605-700,9,,,0,,,0,,0,,0,,,9,4.0,,,0,,,False,False,,,False,,,False,,9,MULLER R,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,0,,,0,,0,,0,,,9,4.0,,,0,,,False,False,,,False,,,False,,9,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-606-700,17,,,0,,,1,,0,,0,,,18,3.888,,,0,,,False,False,,,False,,,False,,18,WEBB-JOHNSON G,
,0.9444,,,0.0,,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-606-701,26,,,3,,,0,,0,,0,,,29,3.896,,,3,,,False,False,,,False,,,False,,32,WEBB-JOHNSON G,
,0.8966,,,0.1034,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,43,,,3,,,1,,0,,0,,,47,3.893,,,3,,,False,False,,,False,,,False,,50,,
,0.9149,,,0.0638,,,0.0213,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,13,,,3,,,1,,0,,0,,,17,3.705,,,0,,,False,False,,,False,,,False,,17,MULLER R,
,0.7647,,,0.1765,,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,3,,,1,,0,,0,,,17,3.705,,,0,,,False,False,,,False,,,False,,17,,
,0.7647,,,0.1765,,,0.0588,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-611-602,26,,,0,,,0,,0,,0,,,26,4.0,,,0,,,False,False,,,False,,,False,,26,MUSOBA G,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,26,,,0,,,0,,0,,0,,,26,4.0,,,0,,,False,False,,,False,,,False,,26,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-616-600,15,,,0,,,0,,0,,0,,,15,4.0,,,0,,,False,False,,,False,,,False,,15,BLANSON A,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,15,,,0,,,0,,0,,0,,,15,4.0,,,0,,,False,False,,,False,,,False,,15,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-618-600,17,,,0,,,0,,0,,0,,,17,4.0,,,1,,,False,False,,,False,,,False,,18,LECHUGA V,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,0,,,0,,0,,0,,,17,4.0,,,1,,,False,False,,,False,,,False,,18,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-623-600,13,,,2,,,0,,0,,0,,,15,3.866,,,2,,,False,False,,,False,,,False,,17,LINCOLN Y,
,0.8667,,,0.1333,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,2,,,0,,0,,0,,,15,3.866,,,2,,,False,False,,,False,,,False,,17,,
,0.8667,,,0.1333,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-625-600,12,,,1,,,0,,0,,0,,,13,3.923,,,2,,,False,False,,,False,,,False,,15,TORRES M,
,0.9231,,,0.0769,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,1,,,0,,0,,0,,,13,3.923,,,2,,,False,False,,,False,,,False,,15,,
,0.9231,,,0.0769,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-650-600,14,,,0,,,0,,0,,0,,,14,4.0,,,0,,,False,False,,,False,,,False,,14,BAILEY K,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,0,,,0,,0,,0,,,14,4.0,,,0,,,False,False,,,False,,,False,,14,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-652-600,12,,,2,,,0,,0,,0,,,14,3.857,,,5,,,False,False,,,False,,,False,,19,SMITH K,
,0.8571,,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,2,,,0,,0,,0,,,14,3.857,,,5,,,False,False,,,False,,,False,,19,,
,0.8571,,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-658-600,14,,,0,,,0,,0,,0,,,14,4.0,,,0,,,False,False,,,False,,,False,,14,ROBERTS D,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
