SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL   INSTRUCTOR,ii,jj,kk,ll,mm
CEHD-603-600,,5,,2,,0,,0,,,0,,,7,,,3.714,,0,,,,False,,,False,,,0,,0,,7 GOODSON P,,,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,2,,0,,0,,,0,,,7,,,3.714,,0,,,,False,,,False,,,0,,0,,7,,,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,5,,2,,0,,0,,,0,,,7,,,3.714,,0,,,,False,,,False,,,0,,0,,7,,,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
EDAD-601-600,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,HAYNES DAVISON,,C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,0,,0,,7,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-605-700,,44,,2,,0,,0,,,1,,,47,,,3.872,,0,,,,False,,,False,,,0,,0,,47,,IRBY B,,,
,,0.9362,,0.0426,,0.0,,0.0,,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,44,,2,,0,,0,,,1,,,47,,,3.872,,0,,,,False,,,False,,,0,,0,,47,,,,,
,,0.9362,,0.0426,,0.0,,0.0,,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,
