SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
EDAD-606-700,,44,,0,,0,,0,,,0,,44,,,,4.0,,0,,,0,,,0,,,False,,,0,,44,,,FAHRENWALD C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-606-701,,50,,0,,0,,0,,,0,,50,,,,4.0,,0,,,0,,,0,,,False,,,0,,50,,,FAHRENWALD C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,94,,0,,0,,0,,,0,,94,,,,4.0,,0,,,0,,,0,,,False,,,0,,94,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,,45,,5,,0,,0,,,0,,50,,,,3.9,,0,,,0,,,0,,,False,,,0,,50,,,ASLIN D,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,45,,5,,0,,0,,,0,,50,,,,3.9,,0,,,0,,,0,,,False,,,0,,50,,,,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-609-700,,40,,1,,0,,3,,,0,,44,,,,3.772,,0,,,0,,,0,,,False,,,0,,44,,,POENITZSCH N,
,,0.9091,,0.0227,,0.0,,0.0682,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-609-701,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,False,,,0,,11,,,POENITZSCH N,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,51,,1,,0,,3,,,0,,55,,,,3.818,,0,,,0,,,0,,,False,,,0,,55,,,,
,,0.9273,,0.0182,,0.0,,0.0545,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-615-600,,9,,0,,0,,0,,,0,,9,,,,4.0,,0,,,0,,,0,,,False,,,0,,9,,,SAAVEDRA A,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,0,,0,,0,,,0,,9,,,,4.0,,0,,,0,,,0,,,False,,,0,,9,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-624-700,,38,,1,,1,,0,,,0,,40,,,,3.925,,4,,,0,,,0,,,False,,,0,,44,,,WEBB-JOHNSON G,
,,0.95,,0.025,,0.025,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,38,,1,,1,,0,,,0,,40,,,,3.925,,4,,,0,,,0,,,False,,,0,,44,,,,
,,0.95,,0.025,,0.025,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
EDAD-630-600,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,SAAVEDRA A,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,0,,0,,,0,,10,,,,4.0,,0,,,0,,,0,,,False,,,0,,10,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-635-700,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,False,,,0,,11,,,WEBB-JOHNSON G,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,False,,,0,,11,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-637-700,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,False,,,0,,11,,,LUEVANOS E,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,False,,,0,,11,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EDAD-669-300,,9,,1,,0,,0,,,0,,10,,,,3.9,,0,,,0,,,0,,,False,,,0,,10,,,BAILEY K,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,1,,0,,0,,,0,,10,,,,3.9,,0,,,0,,,0,,,False,,,0,,10,,,,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-203-701,,21,,9,,0,,1,,,1,,32,,,,3.5,,0,,,0,,,0,,,False,,,0,,32,,,MARK C,
,,0.6563,,0.2813,,0.0,,0.0313,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,9,,0,,1,,,1,,32,,,,3.5,,0,,,0,,,0,,,False,,,0,,32,,,,
,,0.6563,,0.2813,,0.0,,0.0313,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,
EHRD-210-700,,22,,4,,2,,1,,,0,,29,,,,3.62,,0,,,0,,,0,,,False,,,0,,29,,,MARK C,
,,0.7586,,0.1379,,0.069,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,4,,2,,1,,,0,,29,,,,3.62,,0,,,0,,,0,,,False,,,0,,29,,,,
,,0.7586,,0.1379,,0.069,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
