SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
EDAD-605-700,,33,,4,,0,,0,,,0,,37,,3.891,,3,,,False,,False,,False,,,False,,40,,IRBY B,
,,0.8919,,0.1081,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,33,,4,,0,,0,,,0,,37,,3.891,,3,,,False,,False,,False,,,False,,40,,,
,,0.8919,,0.1081,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-606-700,,10,,0,,0,,0,,,0,,10,,4.0,,0,,,False,,False,,False,,,False,,10,,FAHRENWALD C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,0,,0,,,0,,10,,4.0,,0,,,False,,False,,False,,,False,,10,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-608-700,,9,,0,,0,,0,,,0,,9,,4.0,,0,,,False,,False,,False,,,False,,9,,POENITZSCH N,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,0,,0,,0,,,0,,9,,4.0,,0,,,False,,False,,False,,,False,,9,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-609-700,,10,,0,,0,,0,,,0,,10,,4.0,,0,,,False,,False,,False,,,False,,10,,POENITZSCH N,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,0,,0,,0,,,0,,10,,4.0,,0,,,False,,False,,False,,,False,,10,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-619-300,,16,,0,,0,,0,,,0,,16,,4.0,,0,,,False,,False,,False,,,False,,16,,WEBB-JOHNSON G,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,0,,0,,0,,,0,,16,,4.0,,0,,,False,,False,,False,,,False,,16,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
EDAD-624-700,,9,,0,,0,,0,,,0,,9,,4.0,,0,,,False,,False,,False,,,False,,9,,FAHRENWALD C,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,0,,0,,0,,,0,,9,,4.0,,0,,,False,,False,,False,,,False,,9,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
EDAD-635-700,,9,,1,,0,,0,,,0,,10,,3.9,,0,,,False,,False,,False,,,False,,10,,SAAVEDRA A,
