SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,TOTAL,ff,INSTRUCTOR,hh,ii,jj,kk
AERO-201-200,,21,,,16,,,1,,0,,0,,,38,,3.526,,False,,,False,,False,,,0,,0,38,,SHRYOCK K,,,,
,,0.5526,,,0.4211,,,0.0263,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-501,,8,,,27,,,12,,3,,2,,,52,,2.692,,False,,,False,,False,,,5,,0,57,,VADALI S,,,,
,,0.1538,,,0.5192,,,0.2308,,0.0577,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-502,,7,,,24,,,8,,0,,0,,,39,,2.974,,False,,,False,,False,,,3,,0,42,,SHRYOCK K,,,,
,,0.1795,,,0.6154,,,0.2051,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,36,,,67,,,21,,3,,2,,,129,,3.023,,False,,,False,,False,,,8,,0,137,,,,,,
,,0.2791,,,0.5194,,,0.1628,,0.0233,,0.0155,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-500,,6,,,24,,,30,,0,,1,,,61,,2.557,,True,,,False,,False,,,5,,0,67,,POLLOCK T,,,,
,,0.0984,,,0.3934,,,0.4918,,0.0,,0.0164,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,24,,,30,,0,,1,,,61,,2.557,,True,,,False,,False,,,5,,0,67,,,,,,
,,0.0984,,,0.3934,,,0.4918,,0.0,,0.0164,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,17,,,32,,,13,,0,,0,,,62,,3.064,,False,,,False,,False,,,3,,0,65,,KARPETIS A,,,,
,,0.2742,,,0.5161,,,0.2097,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-501,,16,,,28,,,15,,3,,1,,,63,,2.873,,False,,,False,,False,,,5,,0,68,,HARA K,,,,
,,0.254,,,0.4444,,,0.2381,,0.0476,,0.0159,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,33,,,60,,,28,,3,,1,,,125,,2.968,,False,,,False,,False,,,8,,0,133,,,,,,
,,0.264,,,0.48,,,0.224,,0.024,,0.008,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-500,,1,,,12,,,11,,0,,1,,,25,,2.48,,False,,,False,,False,,,0,,35,60,,LE GRAVEREND,,J,,
,,0.04,,,0.48,,,0.44,,0.0,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,,12,,,11,,0,,1,,,25,,2.48,,False,,,False,,False,,,0,,35,60,,,,,,
,,0.04,,,0.48,,,0.44,,0.0,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-500,,14,,,5,,,7,,3,,0,,,29,,3.034,,False,,,False,,False,,,2,,0,31,,BORISSOV S,,,,
,,0.4828,,,0.1724,,,0.2414,,0.1034,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BORISSOV S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-501,10,,,13,,,5,,1,,4,,,,33,2.727,,,False,,,False,False,,,0,,,0,33,,,,,,
,0.303,,,0.3939,,,0.1515,,0.0303,,0.1212,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,24,,,18,,,12,,4,,4,,,,62,2.87,,,False,,,False,False,,,2,,,0,64,,,,,,
,0.3871,,,0.2903,,,0.1935,,0.0645,,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-200,6,,,5,,,1,,1,,0,,,,13,3.23,,,False,,,False,False,,,0,,,0,13,,,,,,
,0.4615,,,0.3846,,,0.0769,,0.0769,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-500,15,,,28,,,9,,1,,0,,,,53,3.075,,,False,,,False,False,,,0,,,0,53,,,,,,
,0.283,,,0.5283,,,0.1698,,0.0189,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-501,18,,,20,,,9,,2,,0,,,,49,3.102,,,False,,,False,False,,,0,,,0,49,,,,,,
