SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
AERO-201-500,,5,,30,,5,,0,,,1,,41,,,,2.926,,0,,,0,,,0,,,0,,,0,,41,,,SHRYOCK K,,
,,0.122,,0.7317,,0.122,,0.0,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,30,,5,,0,,,1,,41,,,,2.926,,0,,,0,,,0,,,0,,,0,,41,,,,,
,,0.122,,0.7317,,0.122,,0.0,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-200,,3,,8,,4,,0,,,1,,16,,,,2.75,,0,,,0,,,0,,,0,,,0,,16,,,VADALI S,,
,,0.1875,,0.5,,0.25,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-500,,6,,26,,25,,1,,,1,,59,,,,2.593,,0,,,0,,,0,,,5,,,0,,64,,,VADALI S,,
,,0.1017,,0.4407,,0.4237,,0.0169,,,0.0169,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-501,,3,,19,,12,,1,,,0,,35,,,,2.685,,0,,,0,,,0,,,6,,,0,,41,,,VADALI S,,
,,0.0857,,0.5429,,0.3429,,0.0286,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,53,,41,,2,,,2,,110,,,,2.645,,0,,,0,,,0,,,11,,,0,,121,,,,,
,,0.1091,,0.4818,,0.3727,,0.0182,,,0.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,12,,24,,13,,0,,,1,,50,,,,2.92,,0,,,0,,,0,,,0,,,0,,50,,,KARPETIS A,,
,,0.24,,0.48,,0.26,,0.0,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,24,,13,,0,,,1,,50,,,,2.92,,0,,,0,,,0,,,0,,,0,,50,,,,,
,,0.24,,0.48,,0.26,,0.0,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-500,,9,,29,,13,,0,,,0,,51,,,,2.921,,0,,,0,,,0,,,0,,,0,,51,,,LE GRAVEREND J,,
,,0.1765,,0.5686,,0.2549,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-501,,8,,15,,34,,8,,,1,,66,,,,2.318,,0,,,0,,,0,,,1,,,0,,67,,,KINRA V,,
,,0.1212,,0.2273,,0.5152,,0.1212,,,0.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,44,,47,,8,,,1,,117,,,,2.581,,0,,,0,,,0,,,1,,,0,,118,,,,,
