SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
AERO-220-300,,13,,,12,,,2,,0,,1,,,28,,3.285,,False,,,False,,False,,,True,,False,,29,BORISSOV S,,
,,0.4643,,,0.4286,,,0.0714,,0.0,,0.0357,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,,12,,,2,,0,,1,,,28,,3.285,,False,,,False,,False,,,True,,False,,29,,,
,,0.4643,,,0.4286,,,0.0714,,0.0,,0.0357,,,,,,,,,,,,,,,,,,,,,,
AERO-485-302,,10,,,0,,,0,,0,,0,,,10,,4.0,,False,,,False,,False,,,False,,False,,10,CHAMITOFF G,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,0,,,0,,0,,0,,,10,,4.0,,False,,,False,,False,,,False,,False,,10,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,23,,,12,,,2,,0,,1,,,38,,3.389,,False,,,False,,False,,,True,,False,,39,,,
,,0.6053,,,0.3158,,,0.0526,,0.0,,0.0263,,,,,,,,,,,,,,,,,,,,,,
GIBBS H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMEN-207-700,17,,,2,,,2,,,2,,2,,,25,3.2,,,True,,,False,False,,,0,,,False,,26,,,
,0.68,,,0.08,,,0.08,,,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,2,,,2,,,2,,2,,,25,3.2,,,True,,,False,False,,,0,,,False,,26,,,
,0.68,,,0.08,,,0.08,,,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,
BMEN-211-300,9,,,8,,,3,,,3,,1,,,24,2.875,,,False,,,False,False,,,0,,,False,,24,,,
,0.375,,,0.3333,,,0.125,,,0.125,,0.0417,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,8,,,3,,,3,,1,,,24,2.875,,,False,,,False,False,,,0,,,False,,24,,,
,0.375,,,0.3333,,,0.125,,,0.125,,0.0417,,,,,,,,,,,,,,,,,,,,,,
BMEN-350-700,9,,,9,,,0,,,1,,4,,,23,2.782,,,False,,,False,False,,,5,,,False,,28,,,
,0.3913,,,0.3913,,,0.0,,,0.0435,,0.1739,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,9,,,0,,,1,,4,,,23,2.782,,,False,,,False,False,,,5,,,False,,28,,,
,0.3913,,,0.3913,,,0.0,,,0.0435,,0.1739,,,,,,,,,,,,,,,,,,,,,,
BMEN-448-350,5,,,0,,,0,,,0,,0,,,5,4.0,,,False,,,False,False,,,0,,,False,,5,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,,0,,,0,,,0,,0,,,5,4.0,,,False,,,False,False,,,0,,,False,,5,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BMEN-485-350,3,,,2,,,0,,,0,,0,,,5,3.6,,,False,,,False,False,,,0,,,False,,5,,,
,0.6,,,0.4,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,,,2,,,0,,,0,,0,,,5,3.6,,,False,,,False,False,,,0,,,False,,5,,,
,0.6,,,0.4,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
HUANG S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEH A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORENO M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAITLAND K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,43,,,21,,,5,,,6,,7,,,823.06,,,,True,,,False,False,,,5,,,False,,88,,,
,0.5244,,,0.2561,,,0.061,,,0.0732,,0.0854,,,,,,,,,,,,,,,,,,,,,,
