SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll
AERO-201-200,,10,,3,,1,,0,,,0,,,14,,,3.642,,3,,,,False,,,False,,,0,,False,,17,,SHRYOCK K,,
,,0.7143,,0.2143,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-201,,3,,3,,0,,0,,,0,,,6,,,3.5,,0,,,,False,,,False,,,0,,False,,6,,SHRYOCK K,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-500,,5,,28,,5,,0,,,0,,,38,,,3.0,,0,,,,False,,,False,,,0,,False,,38,,SHRYOCK K,,
,,0.1316,,0.7368,,0.1316,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-501,,5,,16,,4,,0,,,0,,,25,,,3.04,,0,,,,False,,,False,,,1,,False,,26,,SHRYOCK K,,
,,0.2,,0.64,,0.16,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-502,,20,,22,,8,,2,,,0,,,52,,,3.153,,0,,,,False,,,False,,,5,,False,,57,,STRGANAC T,,
,,0.3846,,0.4231,,0.1538,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,43,,72,,18,,2,,,0,,,135,,,3.155,,3,,,,False,,,False,,,6,,False,,144,,,,
,,0.3185,,0.5333,,0.1333,,0.0148,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-500,,2,,2,,21,,9,,,9,,,43,,,1.511,,0,,,,False,,,False,,,8,,False,,51,,VADALI S,,
,,0.0465,,0.0465,,0.4884,,0.2093,,,0.2093,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,2,,21,,9,,,9,,,43,,,1.511,,0,,,,False,,,False,,,8,,False,,51,,,,
,,0.0465,,0.0465,,0.4884,,0.2093,,,0.2093,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-234,,7,,1,,0,,0,,,0,,,8,,,3.875,,0,,,,False,,,False,,,0,,False,,8,,KARPETIS A,,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,12,,23,,13,,5,,,0,,,53,,,2.792,,0,,,,False,,,False,,,4,,False,,57,,HARA K,,
,,0.2264,,0.434,,0.2453,,0.0943,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-501,,12,,23,,12,,1,,,0,,,48,,,2.958,,1,,,,False,,,False,,,1,,False,,50,,KARPETIS A,,
,,0.25,,0.4792,,0.25,,0.0208,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-502,,5,,7,,4,,3,,,1,,,20,,,2.6,,0,,,,False,,,False,,,3,,False,,23,,HARA K,,
,,0.25,,0.35,,0.2,,0.15,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,36,,54,,29,,9,,,1,,,129,,,2.891,,1,,,,False,,,False,,,8,,False,,138,,,,
,,0.2791,,0.4186,,0.2248,,0.0698,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
AERO-214-500,,6,,18,,15,,8,,,4,,51,,,,2.274,,0,,,False,,,False,,,3,,,False,,54,,,NARAGHI M,
,,0.1176,,0.3529,,0.2941,,0.1569,,,0.0784,,,,,,,,,,,,,,,,,,,,,,,,,,
