SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,F      A - F,m,n,o,p,GPA     I,r,s,t,u,S     U     Q,w,x,y,z,aa,bb,X    TOTAL,dd,ee,ff,gg,INSTRUCTOR,ii,jj,kk,ll
AERO-214-150,,,3,,,5,,0,,0,,,0,,8,,,3.375,,0,,,False,,False,,False,,,False,,8,,TALREJA R,,,
,,,0.375,,,0.625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,3,,,5,,0,,0,,,0,,8,,,3.375,,0,,,False,,False,,False,,,False,,8,,,,,
,,,0.375,,,0.625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-150,,,8,,,0,,0,,0,,,0,,8,,,4.0,,0,,,False,,False,,False,,,False,,8,,KARPETIS A,,,
,,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-300,,,5,,,1,,1,,0,,,1,,8,,,3.125,,0,,,False,,False,,False,,,False,,8,,MORTARI D,,,
,,,0.625,,,0.125,,0.125,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,
AERO-220-700,,,6,,,9,,3,,3,,,5,,26,,,2.307,,0,,,False,,False,,False,,,False,,26,,MORTARI D,,,
,,,0.2308,,,0.3462,,0.1154,,0.1154,,,0.1923,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,19,,,10,,4,,3,,,6,,42,,,2.785,,0,,,False,,False,,False,,,False,,42,,,,,
,,,0.4524,,,0.2381,,0.0952,,0.0714,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-150,,,8,,,2,,0,,0,,,0,,10,,,3.8,,0,,,False,,False,,False,,,False,,10,,KARPETIS A,,,
,,,0.8,,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,,2,,0,,0,,,0,,10,,,3.8,,0,,,False,,False,,False,,,False,,10,,,,,
,,,0.8,,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-300,,,2,,,3,,3,,0,,,0,,8,,,2.875,,1,,,False,,False,,False,,,False,,9,,WHITCOMB J,,,
,,,0.25,,,0.375,,0.375,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-399,,,3,,,10,,2,,5,,,0,,20,,,2.55,,1,,,False,,False,,False,,,False,,21,,WHITCOMB J,,,
,,,0.15,,,0.5,,0.1,,0.25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-700,,,1,,,2,,2,,0,,,0,,5,,,2.8,,0,,,False,,False,,False,,,False,,5,,WHITCOMB J,,,
,,,0.2,,,0.4,,0.4,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,6,,,15,,7,,5,,,0,,33,,,2.666,,2,,,False,,False,,False,,,False,,35,,,,,
,,,0.1818,,,0.4545,,0.2121,,0.1515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
KARPETIS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-351-150,,11,,,5,,,0,,0,,,0,,16,,3.687,,,0,,,False,,False,,False,,,False,,16,,,,,
,,0.6875,,,0.3125,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,5,,,0,,0,,,0,,16,,3.687,,,0,,,False,,False,,False,,,False,,16,,,,,
,,0.6875,,,0.3125,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-413-150,,12,,,3,,,0,,0,,,0,,15,,3.8,,,0,,,False,,False,,False,,,False,,15,,,,,
,,0.8,,,0.2,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,,3,,,0,,0,,,0,,15,,3.8,,,0,,,False,,False,,False,,,False,,15,,,,,
,,0.8,,,0.2,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-489-151,,6,,,3,,,0,,0,,,0,,9,,3.666,,,0,,,False,,False,,False,,,False,,9,,,,,
,,0.6667,,,0.3333,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,3,,,0,,0,,,0,,9,,3.666,,,0,,,False,,False,,False,,,False,,9,,,,,
,,0.6667,,,0.3333,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-491-343,,5,,,0,,,0,,0,,,0,,5,,4.0,,,0,,,False,,False,,False,,,False,,5,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,0,,,0,,0,,,0,,5,,4.0,,,0,,,False,,False,,False,,,False,,5,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TALREJA R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALREJA R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMITOFF G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,70,,,43,,,11,,8,,,6,,1383.121,,,,,2,,,False,,False,,False,,,False,,140,,,,,
,,0.5072,,,0.3116,,,0.0797,,0.058,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,
