SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
AERO-201-200,,22,,5,,0,,0,,,0,,,27,,,3.814,,1,,,,False,,,False,,,0,,0,,28,,SHRYOCK K,,,
,,0.8148,,0.1852,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-201,,17,,6,,0,,0,,,0,,,23,,,3.739,,0,,,,False,,,False,,,0,,0,,23,,SHRYOCK K,,,
,,0.7391,,0.2609,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-500,,23,,23,,2,,0,,,2,,,50,,,3.3,,0,,,,False,,,False,,,0,,0,,50,,SHRYOCK K,,,
,,0.46,,0.46,,0.04,,0.0,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-501,,8,,10,,1,,0,,,0,,,19,,,3.368,,0,,,,False,,,False,,,0,,0,,19,,SHRYOCK K,,,
,,0.4211,,0.5263,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-502,,15,,17,,2,,0,,,0,,,34,,,3.382,,0,,,,False,,,False,,,1,,0,,35,,SHRYOCK K,,,
,,0.4412,,0.5,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-503,,4,,12,,3,,1,,,0,,,20,,,2.95,,0,,,,False,,,False,,,0,,0,,20,,DIAZ ARTILES,,A,
,,0.2,,0.6,,0.15,,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,89,,73,,8,,1,,,2,,,173,,,3.421,,1,,,,False,,,False,,,1,,0,,175,,,,,
,,0.5145,,0.422,,0.0462,,0.0058,,,0.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-210-500,,10,,19,,20,,5,,,3,,,57,,,2.491,,0,,,,False,,,False,,,4,,1,,62,,BOYD J,,,
,,0.1754,,0.3333,,0.3509,,0.0877,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,19,,20,,5,,,3,,,57,,,2.491,,0,,,,False,,,False,,,4,,1,,62,,,,,
,,0.1754,,0.3333,,0.3509,,0.0877,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-234,,8,,5,,7,,0,,,0,,,20,,,3.05,,0,,,,False,,,False,,,0,,0,,20,,ANDRIENKO D,,,
,,0.4,,0.25,,0.35,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,8,,15,,9,,0,,,0,,,32,,,2.968,,0,,,,False,,,False,,,1,,0,,33,,ANDRIENKO D,,,
,,0.25,,0.4688,,0.2813,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-501,,7,,12,,14,,2,,,0,,,35,,,2.685,,0,,,,False,,,False,,,5,,0,,40,,ANDRIENKO D,,,
,,0.2,,0.3429,,0.4,,0.0571,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-502,,15,,19,,15,,1,,,3,,,53,,,2.792,,0,,,,False,,,False,,,9,,0,,62,,HARA K,,,
,,0.283,,0.3585,,0.283,,0.0189,,,0.0566,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
AERO-212-503,,6,,12,,4,,1,,,1,,24,,,,2.875,,0,,,0,,,0,,,2,,,0,,26,,,GERAKIS A,,
,,0.25,,0.5,,0.1667,,0.0417,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,44,,63,,49,,4,,,4,,164,,,,2.847,,0,,,0,,,0,,,17,,,0,,181,,,,,
,,0.2683,,0.3841,,0.2988,,0.0244,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-500,,5,,12,,15,,10,,,4,,46,,,,2.086,,0,,,0,,,0,,,1,,,0,,47,,,NARAGHI M,,
,,0.1087,,0.2609,,0.3261,,0.2174,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,12,,15,,10,,,4,,46,,,,2.086,,0,,,0,,,0,,,1,,,0,,47,,,,,
,,0.1087,,0.2609,,0.3261,,0.2174,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-200,,10,,4,,0,,0,,,0,,14,,,,3.714,,0,,,0,,,0,,,0,,,0,,14,,,LIMBACH C,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-500,,23,,31,,2,,0,,,0,,56,,,,3.375,,0,,,0,,,0,,,0,,,0,,56,,,LIMBACH C,,
,,0.4107,,0.5536,,0.0357,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-501,,7,,16,,20,,0,,,1,,44,,,,2.636,,1,,,0,,,0,,,2,,,0,,47,,,TROPINA A,,
,,0.1591,,0.3636,,0.4545,,0.0,,,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,51,,22,,0,,,1,,114,,,,3.131,,1,,,0,,,0,,,2,,,0,,117,,,,,
,,0.3509,,0.4474,,0.193,,0.0,,,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-500,,9,,15,,12,,2,,,0,,38,,,,2.815,,0,,,0,,,0,,,3,,,0,,41,,,POLUDNENKO O,,
,,0.2368,,0.3947,,0.3158,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,15,,12,,2,,,0,,38,,,,2.815,,0,,,0,,,0,,,3,,,0,,41,,,,,
,,0.2368,,0.3947,,0.3158,,0.0526,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-200,,7,,1,,0,,0,,,0,,8,,,,3.875,,0,,,0,,,0,,,0,,,0,,8,,,KINRA V,,
,,0.875,,0.125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,28,,24,,7,,3,,,0,,62,,,,3.241,,0,,,0,,,0,,,2,,,0,,64,,,KINRA V,,
,,0.4516,,0.3871,,0.1129,,0.0484,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
AERO-304-501,,14,,9,,7,,5,,,0,,,35,,,2.914,,0,,,,False,,,False,,,0,,0,,35,,KINRA V,,,
,,0.4,,0.2571,,0.2,,0.1429,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,49,,34,,14,,8,,,0,,,105,,,3.18,,0,,,,False,,,False,,,2,,0,,107,,,,,
,,0.4667,,0.3238,,0.1333,,0.0762,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-306-500,,1,,16,,9,,7,,,4,,,37,,,2.081,,0,,,,False,,,False,,,0,,0,,37,,WHITCOMB J,,,
,,0.027,,0.4324,,0.2432,,0.1892,,,0.1081,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,16,,9,,7,,,4,,,37,,,2.081,,0,,,,False,,,False,,,0,,0,,37,,,,,
,,0.027,,0.4324,,0.2432,,0.1892,,,0.1081,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-500,,10,,8,,15,,1,,,1,,,35,,,2.714,,0,,,,False,,,False,,,1,,0,,36,,CHAKRAVORTY S,,,
,,0.2857,,0.2286,,0.4286,,0.0286,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-310-501,,35,,20,,4,,2,,,1,,,62,,,3.387,,0,,,,False,,,False,,,0,,0,,62,,BHATTACHARYA,,R,
,,0.5645,,0.3226,,0.0645,,0.0323,,,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,45,,28,,19,,3,,,2,,,97,,,3.144,,0,,,,False,,,False,,,1,,0,,98,,,,,
,,0.4639,,0.2887,,0.1959,,0.0309,,,0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-321-500,,4,,20,,43,,4,,,2,,,73,,,2.273,,0,,,,False,,,False,,,0,,0,,73,,VADALI S,,,
,,0.0548,,0.274,,0.589,,0.0548,,,0.0274,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,20,,43,,4,,,2,,,73,,,2.273,,0,,,,False,,,False,,,0,,0,,73,,,,,
,,0.0548,,0.274,,0.589,,0.0548,,,0.0274,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-351-500,,4,,24,,17,,10,,,7,,,62,,,2.129,,1,,,,False,,,False,,,2,,0,,65,,CIZMAS P,,,
,,0.0645,,0.3871,,0.2742,,0.1613,,,0.1129,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,24,,17,,10,,,7,,,62,,,2.129,,1,,,,False,,,False,,,2,,0,,65,,,,,
,,0.0645,,0.3871,,0.2742,,0.1613,,,0.1129,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-401-501,,44,,0,,0,,0,,,0,,,44,,,4.0,,0,,,,False,,,False,,,0,,0,,44,,LUTZ W,,,
