SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
AERO-201-200,,,11,,,13,,,3,,0,,,0,,27,,,3.296,,0,,,False,,False,,0,,,False,,27,,SHRYOCK K,,,
,,,0.4074,,,0.4815,,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-201,,,5,,,18,,,5,,0,,,0,,28,,,3.0,,0,,,False,,False,,0,,,False,,28,,SHRYOCK K,,,
,,,0.1786,,,0.6429,,,0.1786,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-500,,,5,,,29,,,10,,1,,,0,,45,,,2.844,,0,,,False,,False,,0,,,False,,45,,SHRYOCK K,,,
,,,0.1111,,,0.6444,,,0.2222,,0.0222,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-501,,,11,,,12,,,8,,0,,,0,,31,,,3.096,,0,,,False,,False,,1,,,False,,32,,VALASEK J,,,
,,,0.3548,,,0.3871,,,0.2581,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-502,,,6,,,15,,,12,,0,,,0,,33,,,2.818,,0,,,False,,False,,0,,,False,,33,,VALASEK J,,,
,,,0.1818,,,0.4545,,,0.3636,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-503,,,8,,,19,,,3,,0,,,0,,30,,,3.166,,0,,,False,,False,,0,,,False,,30,,VALASEK J,,,
,,,0.2667,,,0.6333,,,0.1,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,46,,,106,,,41,,1,,,0,,194,,,3.015,,0,,,False,,False,,1,,,False,,195,,,,,
,,,0.2371,,,0.5464,,,0.2113,,0.0052,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-200,,,19,,,3,,,1,,0,,,0,,23,,,3.782,,0,,,False,,False,,0,,,False,,23,,MOBLE B,,,
,,,0.8261,,,0.1304,,,0.0435,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-201,,,11,,,10,,,4,,1,,,0,,26,,,3.192,,0,,,False,,False,,1,,,False,,27,,MAJJI M,,,
,,,0.4231,,,0.3846,,,0.1538,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-500,,,15,,,7,,,1,,0,,,0,,23,,,3.608,,0,,,False,,False,,0,,,False,,23,,MOBLE B,,,
,,,0.6522,,,0.3043,,,0.0435,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-501,,,20,,,21,,,3,,0,,,0,,44,,,3.386,,0,,,False,,False,,1,,,False,,45,,MOBLE B,,,
,,,0.4545,,,0.4773,,,0.0682,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-502,,,10,,,5,,,3,,2,,,0,,20,,,3.15,,0,,,False,,False,,1,,,False,,21,,MAJJI M,,,
,,,0.5,,,0.25,,,0.15,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-503,,,6,,,23,,,10,,7,,,0,,46,,,2.608,,0,,,False,,False,,0,,,False,,46,,MAJJI M,,,
,,,0.1304,,,0.5,,,0.2174,,0.1522,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VADALI S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-504,,8,,,14,,,13,,4,,,,1,,40,,2.6,,,0,,,False,,False,,1,,,False,,41,,,,,
,,0.2,,,0.35,,,0.325,,0.1,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,89,,,83,,,35,,14,,,,1,,222,,3.103,,,0,,,False,,False,,4,,,False,,226,,,,,
,,0.4009,,,0.3739,,,0.1577,,0.0631,,,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-234,,4,,,1,,,0,,0,,,,0,,5,,3.8,,,0,,,False,,False,,0,,,False,,5,,,,,
,,0.8,,,0.2,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-500,,10,,,11,,,10,,2,,,,2,,35,,2.714,,,0,,,False,,False,,3,,,False,,38,,,,,
,,0.2857,,,0.3143,,,0.2857,,0.0571,,,,0.0571,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,,12,,,10,,2,,,,2,,40,,2.85,,,0,,,False,,False,,3,,,False,,43,,,,,
,,0.35,,,0.3,,,0.25,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-200,,3,,,1,,,1,,0,,,,0,,5,,3.4,,,0,,,False,,False,,0,,,False,,5,,,,,
,,0.6,,,0.2,,,0.2,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-500,,10,,,11,,,16,,5,,,,1,,43,,2.558,,,0,,,False,,False,,7,,,False,,50,,,,,
,,0.2326,,,0.2558,,,0.3721,,0.1163,,,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-550,,7,,,5,,,0,,0,,,,0,,12,,3.583,,,0,,,False,,False,,0,,,False,,12,,,,,
,,0.5833,,,0.4167,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,,17,,,17,,5,,,,1,,60,,2.833,,,0,,,False,,False,,7,,,False,,67,,,,,
,,0.3333,,,0.2833,,,0.2833,,0.0833,,,,0.0167,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-500,,8,,,1,,,0,,0,,,,0,,9,,3.888,,,0,,,False,,False,,0,,,False,,9,,,,,
,,0.8889,,,0.1111,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,1,,,0,,0,,,,0,,9,,3.888,,,0,,,False,,False,,0,,,False,,9,,,,,
,,0.8889,,,0.1111,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-291-541,,5,,,0,,,0,,0,,,,0,,5,,4.0,,,0,,,False,,False,,0,,,False,,5,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
KARPETIS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARPETIS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARAGHI M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARAGHI M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALREJA R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORTARI D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAZ ARTILES A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,0,,,0,,0,,,,0,,5,,4.0,,,0,,,False,,False,,0,,,False,,5,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-200,,12,,,8,,,3,,0,,,,0,,23,,3.391,,,0,,,False,,False,,0,,,False,,23,,,,,
,,0.5217,,,0.3478,,,0.1304,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-500,,17,,,13,,,8,,1,,,,0,,39,,3.179,,,0,,,False,,False,,0,,,False,,39,,,,,
,,0.4359,,,0.3333,,,0.2051,,0.0256,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-501,,21,,,28,,,9,,2,,,,0,,60,,3.133,,,0,,,False,,False,,1,,,False,,61,,,,,
,,0.35,,,0.4667,,,0.15,,0.0333,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-502,,7,,,14,,,8,,2,,,,2,,33,,2.666,,,1,,,False,,False,,2,,,False,,36,,,,,
,,0.2121,,,0.4242,,,0.2424,,0.0606,,,,0.0606,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,57,,,63,,,28,,5,,,,2,,155,,3.083,,,1,,,False,,False,,3,,,False,,159,,,,,
,,0.3677,,,0.4065,,,0.1806,,0.0323,,,,0.0129,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-500,,9,,,26,,,5,,4,,,,1,,45,,2.844,,,0,,,False,,False,,1,,,False,,46,,,,,
,,0.2,,,0.5778,,,0.1111,,0.0889,,,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,,26,,,5,,4,,,,1,,45,,2.844,,,0,,,False,,False,,1,,,False,,46,,,,,
,,0.2,,,0.5778,,,0.1111,,0.0889,,,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-200,,9,,,3,,,0,,0,,,,0,,12,,3.75,,,0,,,False,,False,,0,,,False,,12,,,,,
,,0.75,,,0.25,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,12,,,24,,,9,,0,,,,1,,46,,3.0,,,0,,,False,,False,,4,,,False,,50,,,,,
,,0.2609,,,0.5217,,,0.1957,,0.0,,,,0.0217,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-501,,3,,,14,,,29,,8,,,,2,,56,,2.142,,,2,,,False,,False,,1,,,False,,59,,,,,
,,0.0536,,,0.25,,,0.5179,,0.1429,,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,,41,,,38,,8,,,,3,,114,,2.657,,,2,,,False,,False,,5,,,False,,121,,,,,
,,0.2105,,,0.3596,,,0.3333,,0.0702,,,,0.0263,,,,,,,,,,,,,,,,,,,,,,,,
GERAKIS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERAKIS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROPINA A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROPINA A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REED H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINRA V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINRA V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENZERGA A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
