SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
AERO-201-200,,10,,11,,3,,1,,,0,,25,,,,3.2,,0,,,0,,,0,,,0,,,0,,25,,,SHRYOCK K,
,,0.4,,0.44,,0.12,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-201,,5,,15,,4,,2,,,0,,26,,,,2.884,,0,,,0,,,0,,,0,,,0,,26,,,SHRYOCK K,
,,0.1923,,0.5769,,0.1538,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-500,,2,,20,,15,,3,,,2,,42,,,,2.404,,1,,,0,,,0,,,2,,,0,,45,,,SHRYOCK K,
,,0.0476,,0.4762,,0.3571,,0.0714,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-502,,4,,11,,12,,2,,,0,,29,,,,2.586,,0,,,0,,,0,,,0,,,0,,29,,,SHRYOCK K,
,,0.1379,,0.3793,,0.4138,,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-503,,3,,12,,9,,2,,,0,,26,,,,2.615,,0,,,0,,,0,,,0,,,0,,26,,,SHRYOCK K,
,,0.1154,,0.4615,,0.3462,,0.0769,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-201-504,,0,,12,,12,,1,,,1,,26,,,,2.346,,0,,,0,,,0,,,1,,,0,,27,,,SHRYOCK K,
,,0.0,,0.4615,,0.4615,,0.0385,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,81,,55,,11,,,3,,174,,,,2.643,,1,,,0,,,0,,,3,,,0,,178,,,,
,,0.1379,,0.4655,,0.3161,,0.0632,,,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-200,,30,,10,,5,,0,,,1,,46,,,,3.478,,0,,,0,,,0,,,0,,,0,,46,,,MOBLE B,
,,0.6522,,0.2174,,0.1087,,0.0,,,0.0217,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-500,,14,,20,,9,,0,,,0,,43,,,,3.116,,0,,,0,,,0,,,3,,,0,,46,,,MOBLE B,
,,0.3256,,0.4651,,0.2093,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-504,,23,,11,,9,,0,,,0,,43,,,,3.325,,0,,,0,,,0,,,1,,,0,,44,,,GUZMAN F,
,,0.5349,,0.2558,,0.2093,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-211-505,,10,,19,,11,,0,,,0,,40,,,,2.975,,0,,,0,,,0,,,1,,,0,,41,,,GUZMAN F,
,,0.25,,0.475,,0.275,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,77,,60,,34,,0,,,1,,172,,,,3.232,,0,,,0,,,0,,,5,,,0,,177,,,,
,,0.4477,,0.3488,,0.1977,,0.0,,,0.0058,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-212-234,,1,,2,,0,,2,,,0,,5,,,,2.4,,0,,,0,,,0,,,0,,,0,,5,,,ANDRIENKO D,
,,0.2,,0.4,,0.0,,0.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
AERO-212-500,,12,,17,,14,,3,,,1,,,47,,,2.765,,0,,,,False,,,False,,,1,,0,,48,,ANDRIENKO D,,
,,0.2553,,0.3617,,0.2979,,0.0638,,,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,19,,14,,5,,,1,,,52,,,2.73,,0,,,,False,,,False,,,1,,0,,53,,,,
,,0.25,,0.3654,,0.2692,,0.0962,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-200,,3,,1,,1,,0,,,0,,,5,,,3.4,,0,,,,False,,,False,,,0,,0,,5,,NARAGHI M,,
,,0.6,,0.2,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-500,,3,,5,,6,,3,,,0,,,17,,,2.47,,0,,,,False,,,False,,,0,,0,,17,,NARAGHI M,,
,,0.1765,,0.2941,,0.3529,,0.1765,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-501,,2,,4,,7,,3,,,1,,,17,,,2.176,,0,,,,False,,,False,,,0,,0,,17,,NARAGHI M,,
,,0.1176,,0.2353,,0.4118,,0.1765,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-214-502,,0,,4,,8,,2,,,1,,,15,,,2.0,,0,,,,False,,,False,,,2,,0,,17,,NARAGHI M,,
,,0.0,,0.2667,,0.5333,,0.1333,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,14,,22,,8,,,2,,,54,,,2.333,,0,,,,False,,,False,,,2,,0,,56,,,,
,,0.1481,,0.2593,,0.4074,,0.1481,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-500,,6,,9,,5,,1,,,0,,,21,,,2.952,,0,,,,False,,,False,,,2,,0,,23,,MORTARI D,,
,,0.2857,,0.4286,,0.2381,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-222-501,,2,,2,,3,,0,,,2,,,9,,,2.222,,0,,,,False,,,False,,,2,,0,,11,,MORTARI D,,
,,0.2222,,0.2222,,0.3333,,0.0,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,11,,8,,1,,,2,,,30,,,2.733,,0,,,,False,,,False,,,4,,0,,34,,,,
,,0.2667,,0.3667,,0.2667,,0.0333,,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-200,,25,,6,,0,,0,,,0,,,31,,,3.806,,0,,,,False,,,False,,,0,,0,,31,,GERAKIS A,,
,,0.8065,,0.1935,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-500,,38,,21,,2,,0,,,0,,,61,,,3.59,,0,,,,False,,,False,,,0,,0,,61,,GERAKIS A,,
,,0.623,,0.3443,,0.0328,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-301-501,,16,,13,,10,,1,,,1,,,41,,,3.024,,0,,,,False,,,False,,,0,,0,,41,,TROPINA A,,
,,0.3902,,0.3171,,0.2439,,0.0244,,,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
AERO-301-502,,11,,7,,6,,0,,,0,,24,,,,3.208,,0,,,0,,,0,,,0,,,0,,24,,,TROPINA A,
,,0.4583,,0.2917,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,90,,47,,18,,1,,,1,,157,,,,3.426,,0,,,0,,,0,,,0,,,0,,157,,,,
,,0.5732,,0.2994,,0.1146,,0.0064,,,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-303-500,,13,,6,,5,,0,,,0,,24,,,,3.333,,2,,,0,,,0,,,0,,,0,,26,,,REED H,
,,0.5417,,0.25,,0.2083,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,6,,5,,0,,,0,,24,,,,3.333,,2,,,0,,,0,,,0,,,0,,26,,,,
,,0.5417,,0.25,,0.2083,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-200,,9,,1,,0,,0,,,0,,10,,,,3.9,,0,,,0,,,0,,,2,,,0,,12,,,KINRA V,
,,0.9,,0.1,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-500,,19,,13,,10,,2,,,4,,48,,,,2.854,,0,,,0,,,0,,,5,,,0,,53,,,KINRA V,
,,0.3958,,0.2708,,0.2083,,0.0417,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
AERO-304-501,,8,,25,,13,,4,,,2,,52,,,,2.634,,0,,,0,,,0,,,7,,,0,,59,,,BENZERGA A,
,,0.1538,,0.4808,,0.25,,0.0769,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,36,,39,,23,,6,,,6,,110,,,,2.845,,0,,,0,,,0,,,14,,,0,,124,,,,
,,0.3273,,0.3545,,0.2091,,0.0545,,,0.0545,,,,,,,,,,,,,,,,,,,,,,,,,,
