SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh
AERO-214-300,,3,,,4,,,2,,3,,2,,,14,,2.214,,False,,,False,,False,,,2,,False,,16,NARAGHI M,
,,0.2143,,,0.2857,,,0.1429,,0.2143,,0.1429,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,,4,,,2,,3,,2,,,14,,2.214,,False,,,False,,False,,,2,,False,,16,,
,,0.2143,,,0.2857,,,0.1429,,0.2143,,0.1429,,,,,,,,,,,,,,,,,,,,,
AERO-304-300,,4,,,4,,,5,,0,,2,,,15,,2.533,,True,,,False,,False,,,1,,False,,17,BOYD J,
,,0.2667,,,0.2667,,,0.3333,,0.0,,0.1333,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,,4,,,5,,0,,2,,,15,,2.533,,True,,,False,,False,,,1,,False,,17,,
,,0.2667,,,0.2667,,,0.3333,,0.0,,0.1333,,,,,,,,,,,,,,,,,,,,,
AERO-351-700,,10,,,10,,,10,,0,,0,,,30,,3.0,,False,,,False,,False,,,1,,False,,31,KARPETIS A,
,,0.3333,,,0.3333,,,0.3333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,10,,,10,,0,,0,,,30,,3.0,,False,,,False,,False,,,1,,False,,31,,
,,0.3333,,,0.3333,,,0.3333,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,17,,,18,,,17,,3,,4,,,59,,2.694,,True,,,False,,False,,,4,,False,,64,,
,,0.2881,,,0.3051,,,0.2881,,0.0508,,0.0678,,,,,,,,,,,,,,,,,,,,,
BMEN-207-700,3,,,2,,,1,,1,,,1,,,8,2.625,,,False,,,False,False,,,1,,,False,,9,HANKS J,
,0.375,,,0.25,,,0.125,,0.125,,,0.125,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,,,2,,,1,,1,,,1,,,8,2.625,,,False,,,False,False,,,1,,,False,,9,,
,0.375,,,0.25,,,0.125,,0.125,,,0.125,,,,,,,,,,,,,,,,,,,,,
BMEN-211-300,7,,,5,,,2,,2,,,0,,,16,3.062,,,False,,,False,False,,,0,,,False,,16,JESSEN S,
,0.4375,,,0.3125,,,0.125,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,5,,,2,,2,,,0,,,16,3.062,,,False,,,False,False,,,0,,,False,,16,,
,0.4375,,,0.3125,,,0.125,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,
BMEN-321-100,8,,,10,,,9,,5,,,0,,,32,2.656,,,False,,,False,False,,,6,,,False,,38,PEAK C,
,0.25,,,0.3125,,,0.2813,,0.1563,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,10,,,9,,5,,,0,,,32,2.656,,,False,,,False,False,,,6,,,False,,38,,
,0.25,,,0.3125,,,0.2813,,0.1563,,,0.0,,,,,,,,,,,,,,,,,,,,,
BMEN-350-300,11,,,4,,,2,,0,,,0,,,17,3.529,,,False,,,False,False,,,0,,,False,,17,SCOTT M,
,0.6471,,,0.2353,,,0.1176,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BMEN-350-700,37,,,2,,,2,,0,,,0,,,41,3.853,,,False,,,False,False,,,0,,,True,,42,PATRICK C,
,0.9024,,,0.0488,,,0.0488,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,48,,,6,,,4,,0,,,0,,,58,3.758,,,False,,,False,False,,,0,,,True,,59,,
,0.8276,,,0.1034,,,0.069,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BMEN-353-100,8,,,0,,,0,,0,,,0,,,8,4.0,,,False,,,False,False,,,0,,,False,,8,BISWAS S,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,0,,,0,,0,,,0,,,8,4.0,,,False,,,False,False,,,0,,,False,,8,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BMEN-452-300,2,,,17,,,4,,1,,,2,,,26,2.615,,,False,,,False,False,,,2,,,False,,28,PATRICK C,
,0.0769,,,0.6538,,,0.1538,,0.0385,,,0.0769,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,2,,,17,,,4,,1,,,2,,,26  2.615,,,,False,,,False,False,,,2,,,False,,28,,
,0.0769,,,0.6538,,,0.1538,,0.0385,,,0.0769,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,76,,,40,,,20,,9,,,3,,,1483.165,,,,False,,,False,False,,,9,,,True,,158,,
,0.5135,,,0.2703,,,0.1351,,0.0608,,,0.0203,,,,,,,,,,,,,,,,,,,,,
