BUSH-631-601,20,c,3,0,0_2,0_3,23,3.87,0_4,0_5,0_6,0_7,0_8,23_2,HUDSON V,q,r,s
,0.8696,,0.1304,0.0,0.0,0.0,,,,,,,,,,,,
BUSH-631-602,18,,2,0,0,0,20,3.9,0,False,False,False,False,20,NIELSEN,,R,
,0.9,,0.1,0.0,0.0,0.0,,,,,,,,,,,,
BUSH-631-603,9,,2,0,0,0,11,3.818,0,False,False,False,False,11,NIELSEN,,R,
,0.8182,,0.1818,0.0,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,47,,7,0,0,0,54,3.87,0,False,False,False,False,54,,,,
,0.8704,,0.1296,0.0,0.0,0.0,,,,,,,,,,,,
BUSH-632-600,22,,0,0,0,0,22,4.0,0,False,False,False,False,22,BULLOCK,,J,
,1.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:      22,,,0,0,0,0,22,4.0,0,False,False,False,False,22,,,,
1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BUSH-635-601           15,,,7,1,0,0,23,3.609,0,False,False,False,False,23,CORTES K,,,
0.6522,,,0.3043,0.0435,0.0,0.0,,,,,,,,,,,,
BUSH-635-602           20,,,1,0,0,0,21,3.952,1,False,False,False,False,22,MARCHBANKS,,,M
0.9524,,,0.0476,0.0,0.0,0.0,,,,,,,,,,,,
BUSH-635-603           11,,,8,2,0,0,21,3.429,0,False,False,False,False,21,LEE Y,,,
0.5238,,,0.381,0.0952,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:      46,,,16,3,0,0,65,3.662,1,False,False,False,False,66,,,,
0.7077,,,0.2462,0.0462,0.0,0.0,,,,,,,,,,,,
DEPARTMENT TOTAL:,115,,23,3,0,0,1413.794,,1,False,False,False,False,142,,,,
,0.8156,,0.1631,0.0213,0.0,0.0,,,,,,,,,,,,
INTA-601-600,,12,4,0,0,0,16,3.75,0,False,False,False,True,17,MUSOMA,H,,
,,0.75,0.25,0.0,0.0,0.0,,,,,,,,,,,,
COURSE TOTAL:,,12,4,0,0,0,16,3.75,0,False,False,False,True,17,,,,
,,0.75,0.25,0.0,0.0,0.0,,,,,,,,,,,,
INTA-603-700,,6,1,0,0,1,8,3.375,0,False,False,False,True,9,FEIL S,,,
,,0.75,0.125,0.0,0.0,0.125,,,,,,,,,,,,
COURSE TOTAL:,,6,1,0,0,1,8,3.375,0,False,False,False,True,9,,,,
,,0.75,0.125,0.0,0.0,0.125,,,,,,,,,,,,
INTA-604-700,,6,6,0,0,1,13,3.231,3,False,False,False,False,16,TALBOT,B,,
,,0.4615,0.4615,0.0,0.0,0.0769,,,,,,,,,,,,
COURSE TOTAL:       6,,,6,0,0,1,13,3.231,3,False,False,False,False,16,,,,
0.4615,,,0.4615,0.0,0.0,0.0769,,,,,,,,,,,,
INTA-605-601            7,,,3,0,0,0,10,3.7,0,False,False,False,False,10,LAYNE C,,,
0.7,,,0.3,0.0,0.0,0.0,,,,,,,,,,,,
INTA-605-602            5,,,4,0,0,0,9,3.556,0,False,False,False,False,9,LAYNE C,,,
0.5556,,,0.4444,0.0,0.0,0.0,,,,,,,,,,,,
INTA-605-603           17,,,6,0,0,1,24,3.583,0,False,False,True,False,25,DONNELLY,,J,
0.7083,,,0.25,0.0,0.0,0.0417,,,,,,,,,,,,
INTA-605-700           15,,,5,1,0,7,28,2.75,0,False,False,False,False,28,LASALA P,,,
0.5357,,,0.1786,0.0357,0.0,0.25,,,,,,,,,,,,
COURSE TOTAL:      44,,,18,1,0,8,71,3.268,0,False,False,True,False,72,,,,
0.6197,,,0.2535,0.0141,0.0,0.1127,,,,,,,,,,,,
INTA-608-600            8,,,3,0,0,0,11,3.727,0,False,False,True,False,12,LENZ E,,,
0.7273,,,0.2727,0.0,0.0,0.0,,,,,,,,,,,,
