INTA-603-700,8,2,0,0_2,0_3,10,3.8,0_4,0_5,0_6,1,0_7,11,FEIL S
,0.8,0.2,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,8,2,0,0,0,10,3.8,False,False,False,True,False,11,
,0.8,0.2,0.0,0.0,0.0,,,,,,,,,
INTA-605-700,9,0,0,0,0,9,4.0,False,False,False,False,False,9,RUSSELL R
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.0,False,False,False,False,False,9,
,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
INTA-617-100,13,1,0,0,0,14,3.928,False,False,False,False,False,14,CASTILLO J
,0.9286,0.0714,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,13,1,0,0,0,14,3.928,False,False,False,False,False,14,
,0.9286,0.0714,0.0,0.0,0.0,,,,,,,,,
INTA-651-700,8,4,0,0,0,12,3.666,False,False,False,False,False,12,RUSSELL R
,0.6667,0.3333,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,8,4,0,0,0,12,3.666,False,False,False,False,False,12,
,0.6667,0.3333,0.0,0.0,0.0,,,,,,,,,
INTA-657-100,11,1,0,0,0,12,3.916,False,False,False,False,False,12,MACNAMEE R
,0.9167,0.0833,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,11,1,0,0,0,12,3.916,False,False,False,False,False,12,
,0.9167,0.0833,0.0,0.0,0.0,,,,,,,,,
INTA-680-700,4,4,0,0,0,8,3.5,False,False,False,False,False,8,SMITH J
,0.5,0.5,0.0,0.0,0.0,,,,,,,,,
COURSE TOTAL:,4,4,0,0,0,8,3.5,False,False,False,False,False,8,
,0.5,0.5,0.0,0.0,0.0,,,,,,,,,
DEPARTMENT TOTAL:,53,12,0,0,0,653.815,,False,False,False,True,False,66,
,0.8154,0.1846,0.0,0.0,0.0,,,,,,,,,
