BUSH-602-600,b,9,d,6,f,0,h,0_2,j,k,1,m,n,16,p,0.0,r,s,0_3,u,v,w,0_4,y,z,0_5,bb,cc,2,ee,ff,gg,0_6,ii,jj,18,ll,RAISOR C,nn,oo
,,0.5625,,0.375,,0.0,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,6,,0,,0,,,1,,,16,,Error,,,0,,,,False,,,False,,,2,,,,False,,,18,,,,
,,0.5625,,0.375,,0.0,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-601,,9,,5,,1,,0,,,1,,,16,,3.312,,,0,,,,False,,,False,,,0,,,,True,,,17,,CARROLL K,,
,,0.5625,,0.3125,,0.0625,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-602,,13,,3,,1,,1,,,1,,,19,,3.368,,,0,,,,False,,,False,,,0,,,,False,,,19,,CARROLL K,,
,,0.6842,,0.1579,,0.0526,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-603,,9,,8,,0,,0,,,0,,,17,,3.529,,,1,,,,False,,,False,,,0,,,,False,,,18,,LAHEY J,,
,,0.5294,,0.4706,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-604,,15,,2,,1,,0,,,0,,,18,,3.777,,,0,,,,False,,,False,,,0,,,,False,,,18,,HANNIBAL B,,
,,0.8333,,0.1111,,0.0556,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-605,,15,,8,,3,,0,,,0,,,26,,3.461,,,0,,,,False,,,False,,,2,,,,False,,,28,,SELLARS E,,
,,0.5769,,0.3077,,0.1154,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-606,,8,,6,,0,,0,,,0,,,14,,3.571,,,0,,,,False,,,False,,,0,,,,False,,,14,,HAMIE C,,
,,0.5714,,0.4286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-607,,12,,4,,0,,0,,,0,,,16,,3.75,,,0,,,,False,,,False,,,0,,,,False,,,16,,NIELSEN R,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-700,,13,,4,,1,,0,,,0,,,18,,3.666,,,1,,,,False,,,False,,,0,,,,False,,,19,,HANNIBAL B,,
,,0.7222,,0.2222,,0.0556,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,94,,40,,7,,1,,,2,,,144,,3.548,,,2,,,,False,,,False,,,2,,,,True,,,149,,,,
,,0.6528,,0.2778,,0.0486,,0.0069,,,0.0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,103,,46,,7,,1,,,3,,,1603.548,,,,,2,,,,False,,,False,,,4,,,,True,,,167,,,,
,,0.6438,,0.2875,,0.0438,,0.0063,,,0.0188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,
INTA-601-601,,9,,8,,0,,0,,,0,,17,,,3.529,,False,,,,False,,,False,,,False,,,,False,,,17,,,SCHUESSLER J,,
,,0.5294,,0.4706,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-601-602,,10,,11,,0,,0,,,0,,21,,,3.476,,False,,,,False,,,False,,,False,,,,False,,,21,,,SCHUESSLER J,,
,,0.4762,,0.5238,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,19,,0,,0,,,0,,38,,,3.5,,False,,,,False,,,False,,,False,,,,False,,,38,,,,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-601,,4,,4,,0,,0,,,0,,8,,,3.5,,False,,,,False,,,False,,,False,,,,False,,,8,,,NAPPER L,,
,,0.5,,0.5,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-602,,5,,3,,0,,0,,,0,,8,,,3.625,,False,,,,False,,,False,,,False,,,,False,,,8,,,NAPPER L,,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-603,,4,,2,,0,,0,,,0,,6,,,3.666,,False,,,,False,,,False,,,False,,,,False,,,6,,,NAPPER L,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,9,,0,,0,,,0,,22,,,3.59,,False,,,,False,,,False,,,False,,,,False,,,22,,,,,
,,0.5909,,0.4091,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-600,,6,,3,,0,,0,,,0,,9,,,3.666,,False,,,,False,,,False,,,False,,,,False,,,9,,,TABAAR M,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,3,,0,,0,,,0,,9,,,3.666,,False,,,,False,,,False,,,False,,,,False,,,9,,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,,6,,11,,0,,0,,,0,,17,,,3.352,,False,,,,False,,,False,,,False,,,,False,,,17,,,CESARIO B,,
