BUSH-602-600,b,21,d,11,f,2,h,0,j,k,1,m,n,35,p,0.0,r,s,0_2,u,v,w,0_3,y,z,0_4,bb,cc,1_2,ee,ff,gg,0_5,ii,jj,36,ll,RAISOR C,nn,oo,pp
,,0.6,,0.3143,,0.0571,,0.0,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,11,,2,,0,,,1,,,35,,Error,,,0,,,,False,,,False,,,1,,,,False,,,36,,,,,
,,0.6,,0.3143,,0.0571,,0.0,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-601,,14,,3,,2,,0,,,0,,,19,,3.631,,,0,,,,False,,,False,,,0,,,,False,,,19,,CORTES K,,,
,,0.7368,,0.1579,,0.1053,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-602,,3,,5,,5,,1,,,0,,,14,,2.714,,,2,,,,False,,,False,,,0,,,,False,,,16,,LAHEY J,,,
,,0.2143,,0.3571,,0.3571,,0.0714,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-603,,16,,3,,0,,0,,,0,,,19,,3.842,,,0,,,,False,,,False,,,0,,,,False,,,19,,CORTES K,,,
,,0.8421,,0.1579,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-604,,10,,5,,0,,0,,,0,,,15,,3.666,,,0,,,,False,,,False,,,1,,,,False,,,16,,LAHEY J,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-605,,9,,15,,0,,0,,,1,,,25,,3.24,,,0,,,,False,,,False,,,1,,,,False,,,26,,VANDE KAMP,G,,
,,0.36,,0.6,,0.0,,0.0,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-606,,12,,5,,3,,0,,,0,,,20,,3.45,,,0,,,,False,,,False,,,0,,,,False,,,20,,POERTNER M,,,
,,0.6,,0.25,,0.15,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
