SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
INTA-603-700,,6,,1,,0,,0,,,0,,7,,,,3.857,,0,,,0,,,0,,,False,,,0,,7,,,RUSSELL R,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,1,,0,,0,,,0,,7,,,,3.857,,0,,,0,,,0,,,False,,,0,,7,,,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-399,,6,,2,,0,,0,,,0,,8,,,,3.75,,0,,,0,,,0,,,False,,,0,,8,,,TALBOT B,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,,6,,5,,0,,0,,,0,,11,,,,3.545,,0,,,0,,,0,,,False,,,0,,11,,,TALBOT B,
,,0.5455,,0.4545,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,7,,0,,0,,,0,,19,,,,3.631,,0,,,0,,,0,,,False,,,0,,19,,,,
,,0.6316,,0.3684,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-617-100,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,False,,,0,,11,,,CASTILLO J,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,False,,,0,,11,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-644-399,,5,,1,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,HAMIE C,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,1,,0,,0,,,0,,6,,,,3.833,,0,,,0,,,0,,,False,,,0,,6,,,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-651-399,,7,,2,,0,,0,,,1,,10,,,,3.4,,0,,,0,,,0,,,False,,,0,,10,,,RUSSELL R,
,,0.7,,0.2,,0.0,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,2,,0,,0,,,1,,10,,,,3.4,,0,,,0,,,0,,,False,,,0,,10,,,,
,,0.7,,0.2,,0.0,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-680-399,,4,,0,,0,,0,,,1,,5,,,,3.2,,0,,,0,,,0,,,False,,,0,,5,,,SMITH J,
,,0.8,,0.0,,0.0,,0.0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
