SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
ATMO-201-501,,83,,69,,13,,0,,,0,,165,,3.424,,False,,,False,,False,,4,,,False,,169,,LOGAN T,
,,0.503,,0.4182,,0.0788,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,30,,22,,9,,4,,,0,,65,,3.2,,True,,,False,,False,,2,,,False,,68,,CONLEE D,
,,0.4615,,0.3385,,0.1385,,0.0615,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,,39,,16,,4,,1,,,0,,60,,3.55,,False,,,False,,False,,1,,,False,,61,,BROOKS S,
,,0.65,,0.2667,,0.0667,,0.0167,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,,41,,21,,5,,0,,,0,,67,,3.537,,False,,,False,,False,,2,,,False,,69,,LOGAN T,
,,0.6119,,0.3134,,0.0746,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-505,,11,,28,,4,,2,,,1,,46,,3.0,,False,,,False,,False,,2,,,False,,48,,SCHADE G,
,,0.2391,,0.6087,,0.087,,0.0435,,,0.0217,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,,73,,81,,13,,0,,,0,,167,,3.359,,False,,,False,,False,,2,,,False,,169,,LOGAN T,
,,0.4371,,0.485,,0.0778,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-507,,10,,10,,8,,0,,,0,,28,,3.071,,False,,,False,,False,,0,,,False,,28,,KORTY R,
,,0.3571,,0.3571,,0.2857,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-201-508,,18,,31,,8,,2,,,0,,59,,3.101,,False,,,False,,False,,1,,,False,,60,,BOWMAN K,
,,0.3051,,0.5254,,0.1356,,0.0339,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,305,,278,,64,,9,,,1,,657,,3.334,,True,,,False,,False,,14,,,False,,672,,,
,,0.4642,,0.4231,,0.0974,,0.0137,,,0.0015,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,18,,3,,0,,0,,,1,,22,,3.681,,False,,,False,,False,,0,,,False,,22,,LOGAN T,
,,0.8182,,0.1364,,0.0,,0.0,,,0.0455,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,,20,,4,,0,,1,,,0,,25,,3.72,,False,,,False,,False,,0,,,False,,25,,LOGAN T,
,,0.8,,0.16,,0.0,,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,14,,6,,3,,0,,,0,,23,,3.478,,False,,,False,,False,,0,,,False,,23,,LOGAN T,
,,0.6087,,0.2609,,0.1304,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-202-506,,15,,4,,2,,0,,,0,,21,,3.619,,False,,,False,,False,,0,,,False,,21,,LOGAN T,
,,0.7143,,0.1905,,0.0952,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
ATMO-202-507,,8,,2,,1,,0,,,1,,12,,3.333,,False,,,False,,False,,0,,,False,,12,,LOGAN T,
,,0.6667,,0.1667,,0.0833,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,
ATMO-202-508,,12,,2,,1,,0,,,0,,15,,3.733,,False,,,False,,False,,0,,,False,,15,,LOGAN T,
,,0.8,,0.1333,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,87,,21,,7,,1,,,2,,118,,3.61,,False,,,False,,False,,0,,,False,,118,,,
,,0.7373,,0.178,,0.0593,,0.0085,,,0.0169,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,,8,,2,,2,,0,,,0,,12,,3.5,,False,,,False,,False,,2,,,False,,14,,CONLEE D,
,,0.6667,,0.1667,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,2,,2,,0,,,0,,12,,3.5,,False,,,False,,False,,2,,,False,,14,,,
,,0.6667,,0.1667,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-251-501,,6,,5,,2,,0,,,0,,13,,3.307,,False,,,False,,False,,1,,,False,,14,,CONLEE D,
,,0.4615,,0.3846,,0.1538,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-251-502,,13,,6,,5,,0,,,0,,24,,3.333,,False,,,False,,False,,0,,,False,,24,,CONLEE D,
,,0.5417,,0.25,,0.2083,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,11,,7,,0,,,0,,37,,3.324,,False,,,False,,False,,1,,,False,,38,,,
,,0.5135,,0.2973,,0.1892,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,,10,,7,,3,,1,,,0,,21,,3.238,,False,,,False,,False,,1,,,False,,22,,SARAVANAN R,
,,0.4762,,0.3333,,0.1429,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,7,,3,,1,,,0,,21,,3.238,,False,,,False,,False,,1,,,False,,22,,,
,,0.4762,,0.3333,,0.1429,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,
