SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,kk,INSTRUCTOR,mm,nn
ATMO-201-501,,39,,41,,13,,0,,,1,,,94,,,3.244,,0,,,,False,,,False,1,,,,,False,,95,,,EPIFANIO C,,
,,0.4149,,0.4362,,0.1383,,0.0,,,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,103,,52,,11,,0,,,0,,,166,,,3.554,,0,,,,False,,,False,6,,,,,False,,172,,,LOGAN T,,
,,0.6205,,0.3133,,0.0663,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,,105,,50,,13,,0,,,0,,,168,,,3.547,,0,,,,False,,,False,3,,,,,False,,171,,,LOGAN T,,
,,0.625,,0.2976,,0.0774,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,,35,,35,,13,,7,,,2,,,92,,,3.021,,0,,,,False,,,False,6,,,,,False,,98,,,CONLEE D,,
,,0.3804,,0.3804,,0.1413,,0.0761,,,0.0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-505,,4,,12,,14,,1,,,3,,,34,,,2.382,,1,,,,False,,,False,0,,,,,False,,35,,,SCHADE G,,
,,0.1176,,0.3529,,0.4118,,0.0294,,,0.0882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,,92,,52,,21,,1,,,0,,,166,,,3.415,,0,,,,False,,,False,5,,,,,False,,171,,,LOGAN T,,
,,0.5542,,0.3133,,0.1265,,0.006,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,378,,242,,85,,9,,,6,,,720,,,3.356,,1,,,,False,,,False,21,,,,,False,,742,,,,,
,,0.525,,0.3361,,0.1181,,0.0125,,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,14,,4,,2,,1,,,1,,,22,,,3.318,,0,,,,False,,,False,0,,,,,False,,22,,,LOGAN T,,
