ATMO-201-501,67,c,d,77,f,21,h,1,j,2,l,m,168,o,3.226,q,r,1_2,t,u,0,w,0_2,y,z,3,bb,cc,dd,0_3,ff,gg,172,LOGAN T,jj,kk,ll,mm
,0.3988,,,0.4583,,0.125,,0.006,,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,20,,,17,,2,,3,,1,,,43,,3.209,,,0,,,False,,False,,,2,,,,False,,,45,CONLEE D,,,,
,0.4651,,,0.3953,,0.0465,,0.0698,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,35,,,33,,24,,0,,0,,,92,,3.119,,,4,,,False,,False,,,2,,,,False,,,98,EPIFANIO,C,,,
,0.3804,,,0.3587,,0.2609,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,16,,,18,,13,,0,,1,,,48,,3.0,,,0,,,False,,False,,,1,,,,False,,,49,SZUNYOGH,I,,,
,0.3333,,,0.375,,0.2708,,0.0,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,63,,,61,,21,,0,,1,,,146,,3.267,,,0,,,False,,False,,,2,,,,False,,,148,LOGAN T,,,,
,0.4315,,,0.4178,,0.1438,,0.0,,0.0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-508,19,,,25,,19,,0,,0,,,63,,3.0,,,0,,,False,,False,,,3,,,,False,,,66,BOWMAN K,,,,
,0.3016,,,0.3968,,0.3016,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-509,78,,,69,,13,,1,,0,,,161,,3.391,,,0,,,False,,False,,,6,,,,False,,,167,LOGAN T,,,,
,0.4845,,,0.4286,,0.0807,,0.0062,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,298,,,300,,113,,5,,5,,,721,,3.221,,,5,,,False,,False,,,19,,,,False,,,745,,,,,
,0.4133,,,0.4161,,0.1567,,0.0069,,0.0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,8,,,7,,3,,0,,0,,,18,,3.277,,,0,,,False,,False,,,0,,,,False,,,18,LOGAN T,,,,
,0.4444,,,0.3889,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,11,,,6,,6,,0,,1,,,24,,3.083,,,0,,,False,,False,,,0,,,,False,,,24,LOGAN T,,,,
,0.4583,,,0.25,,0.25,,0.0,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,18,,,4,,0,,0,,0,,,22,,3.818,,,0,,,False,,False,,,0,,,,False,,,22,LOGAN T,,,,
,0.8182,,,0.1818,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-506,10,,,6,,1,,2,,0,,,19,,3.263,,,0,,,False,,False,,,0,,,,False,,,19,LOGAN T,,,,
,0.5263,,,0.3158,,0.0526,,0.1053,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-507,8,,,7,,0,,0,,0,,,15,,3.533,,,0,,,False,,False,,,2,,,,False,,,17,LOGAN T,,,,
,0.5333,,,0.4667,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,55,,,30,,10,,2,,1,,,98,,3.387,,,0,,,False,,False,,,2,,,,False,,,100,,,,,
,0.5612,,,0.3061,,0.102,,0.0204,,0.0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-203-502,8,,,7,,1,,0,,0,,,16,,3.437,,,2,,,False,,False,,,0,,,,False,,,18,,,,,
,0.5,,,0.4375,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,7,,1,,0,,0,,,16,,3.437,,,2,,,False,,False,,,0,,,,False,,,18,,,,,
,0.5,,,0.4375,,0.0625,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-251-501,6,,,5,,1,,2,,0,,,14,,3.071,,,1,,,False,,False,,,1,,,,False,,,16,,,,,
,0.4286,,,0.3571,,0.0714,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-251-502,7,,,8,,7,,1,,0,,,23,,2.913,,,2,,,False,,False,,,0,,,,False,,,25,,,,,
,0.3043,,,0.3478,,0.3043,,0.0435,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,13,,8,,3,,0,,,37,,2.972,,,3,,,False,,False,,,1,,,,False,,,41,,,,,
,0.3514,,,0.3514,,0.2162,,0.0811,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-321-500,7,,,13,,3,,0,,1,,,24,,3.041,,,0,,,False,,False,,,1,,,,False,,,25,,,,,
,0.2917,,,0.5417,,0.125,,0.0,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,13,,3,,0,,1,,,24,,3.041,,,0,,,False,,False,,,1,,,,False,,,25,,,,,
,0.2917,,,0.5417,,0.125,,0.0,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-335-501,8,,,14,,3,,2,,1,,,28,,2.928,,,0,,,False,,False,,,0,,,,False,,,28,,,,,
