SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,ii,INSTRUCTOR,kk,ll,mm,nn,oo
ATMO-201-501,,,29,,,41,,,14,,1,,,3,,88,,,3.045,,False,,,False,,False,,9,,,False,,97,,,CONLEE D,,,,
,,,0.3295,,,0.4659,,,0.1591,,0.0114,,,0.0341,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,,11,,,23,,,7,,0,,,1,,42,,,3.023,,False,,,False,,False,,1,,,False,,43,,,EPIFANIO C,,,,
,,,0.2619,,,0.5476,,,0.1667,,0.0,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,,,28,,,28,,,12,,1,,,0,,69,,,3.202,,False,,,False,,False,,2,,,False,,71,,,EPIFANIO C,,,,
,,,0.4058,,,0.4058,,,0.1739,,0.0145,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,,,31,,,24,,,13,,3,,,1,,72,,,3.125,,False,,,False,,False,,3,,,False,,75,,,SCHUMACHER C,,,,
,,,0.4306,,,0.3333,,,0.1806,,0.0417,,,0.0139,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,,,73,,,85,,,8,,0,,,1,,167,,,3.371,,False,,,False,,False,,2,,,False,,169,,,LOGAN T,,,,
,,,0.4371,,,0.509,,,0.0479,,0.0,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-507,,,43,,,10,,,5,,1,,,0,,59,,,3.61,,False,,,False,,False,,2,,,False,,61,,,SANGER N,,,,
,,,0.7288,,,0.1695,,,0.0847,,0.0169,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,215,,,211,,,59,,6,,,6,,497,,,3.253,,False,,,False,,False,,19,,,False,,516,,,,,,,
