SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,gg,INSTRUCTOR,ii,jj,kk
ATMO-201-501,,49,,,37,,,10,,1,,0,,,97,,3.381,,False,,,False,,False,,,0,,False,,97,,SANGER N,,,
,,0.5052,,,0.3814,,,0.1031,,0.0103,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-502,,66,,,35,,,13,,7,,1,,,122,,3.295,,False,,,False,,False,,,0,,False,,122,,SANGER N,,,
,,0.541,,,0.2869,,,0.1066,,0.0574,,0.0082,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-503,,18,,,17,,,14,,0,,1,,,50,,3.02,,False,,,False,,False,,,0,,False,,50,,CONLEE D,,,
,,0.36,,,0.34,,,0.28,,0.0,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-504,,25,,,23,,,13,,1,,1,,,63,,3.111,,False,,,False,,False,,,0,,False,,63,,SCHUMACHER,C,,
,,0.3968,,,0.3651,,,0.2063,,0.0159,,0.0159,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-506,,88,,,25,,,0,,0,,0,,,113,,3.778,,False,,,False,,False,,,1,,False,,114,,LOGAN T,,,
,,0.7788,,,0.2212,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-201-599,,180,,,65,,,13,,0,,0,,,258,,3.647,,False,,,False,,False,,,0,,False,,258,,EPIFANIO C,,,
,,0.6977,,,0.2519,,,0.0504,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,426,,,202,,,63,,9,,3,,,703,,3.477,,False,,,False,,False,,,1,,False,,704,,,,,
,,0.606,,,0.2873,,,0.0896,,0.0128,,0.0043,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-501,,17,,,3,,,0,,2,,1,,,23,,3.434,,False,,,False,,False,,,0,,False,,23,,LOGAN T,,,
,,0.7391,,,0.1304,,,0.0,,0.087,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-502,,15,,,5,,,0,,1,,1,,,22,,3.454,,False,,,False,,False,,,1,,False,,23,,LOGAN T,,,
,,0.6818,,,0.2273,,,0.0,,0.0455,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,
ATMO-202-504,,17,,,6,,,0,,0,,0,,,23,,3.739,,False,,,False,,False,,,0,,False,,23,,LOGAN T,,,
,,0.7391,,,0.2609,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
