SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL   INSTRUCTOR,gg,hh,ii
CAEN-101-401,,11,,,14,,,2,,0,,0,,,27,,3.333,,0,,,False,,False,,,False,,False,,27 UDOETUK M,,,
,,0.4074,,,0.5185,,,0.0741,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,,14,,,2,,0,,0,,,27,,3.333,,0,,,False,,False,,,False,,False,,27,,,
,,0.4074,,,0.5185,,,0.0741,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,11,,,14,,,2,,0,,0,,,27,,3.333,,0,,,False,,False,,,False,,False,,27,,,
,,0.4074,,,0.5185,,,0.0741,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PEARL F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-401,8,,,11,,,5,,,0,,0,,,24,3.125,,,0,,,False,False,,,1,,,False,,,25,,
,0.3333,,,0.4583,,,0.2083,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,8,,,11,,,5,,,0,,0,,,24,3.125,,,0,,,False,False,,,1,,,False,,,25,,
,0.3333,,,0.4583,,,0.2083,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-401,40,,,3,,,1,,,0,,0,,,44,3.886,,,0,,,False,False,,,1,,,True,,,46,,
,0.9091,,,0.0682,,,0.0227,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-402,14,,,16,,,2,,,0,,6,,,38,2.842,,,0,,,False,False,,,2,,,False,,,40,,
,0.3684,,,0.4211,,,0.0526,,,0.0,,0.1579,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,54,,,19,,,3,,,0,,6,,,82,3.402,,,0,,,False,False,,,3,,,True,,,86,,
,0.6585,,,0.2317,,,0.0366,,,0.0,,0.0732,,,,,,,,,,,,,,,,,,,,,,
ANTH-316-401,19,,,20,,,5,,,0,,1,,,45,3.244,,,0,,,False,False,,,1,,,False,,,46,,
,0.4222,,,0.4444,,,0.1111,,,0.0,,0.0222,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,19,,,20,,,5,,,0,,1,,,45,3.244,,,0,,,False,False,,,1,,,False,,,46,,
,0.4222,,,0.4444,,,0.1111,,,0.0,,0.0222,,,,,,,,,,,,,,,,,,,,,,
ARTS-150-401,35,,,2,,,1,,,0,,0,,,38,3.894,,,0,,,False,False,,,1,,,False,,,39,,
,0.9211,,,0.0526,,,0.0263,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,35,,,2,,,1,,,0,,0,,,38,3.894,,,0,,,False,False,,,1,,,False,,,39,,
,0.9211,,,0.0526,,,0.0263,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COMM-203-401,24,,,0,,,0,,,0,,0,,,24,4.0,,,0,,,False,False,,,0,,,False,,,24,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COMM-203-402,23,,,0,,,0,,,1,,0,,,24,3.875,,,0,,,False,False,,,0,,,False,,,24,,
,0.9583,,,0.0,,,0.0,,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,,,
COMM-203-403,5,,,10,,,4,,,0,,1,,,20,2.9,,,0,,,False,False,,,1,,,False,,,21,,
,0.25,,,0.5,,,0.2,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,
PEARL F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FURTH B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARK S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRESS L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDON E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDON E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISER V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,52,,,10,,,4,,,1,,1,,,68,3.632,,,0,,,False,False,,,1,,,False,,,69,,
,0.7647,,,0.1471,,,0.0588,,,0.0147,,0.0147,,,,,,,,,,,,,,,,,,,,,,
COMM-365-401,7,,,5,,,1,,,0,,1,,,14,3.214,,,0,,,False,False,,,2,,,False,,,16,,
,0.5,,,0.3571,,,0.0714,,,0.0,,0.0714,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,5,,,1,,,0,,1,,,14,3.214,,,0,,,False,False,,,2,,,False,,,16,,
,0.5,,,0.3571,,,0.0714,,,0.0,,0.0714,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-401,5,,,5,,,1,,,1,,0,,,12,3.166,,,0,,,False,False,,,0,,,False,,,12,,
