SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm,nn,oo
ANTH-202-401,,,16,,,10,,,5,,0,,,0,,31,,,3.354,,False,,,False,,False,,1,,,False,,32,,,PEARL F,,,,
,,,0.5161,,,0.3226,,,0.1613,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,16,,,10,,,5,,0,,,0,,31,,,3.354,,False,,,False,,False,,1,,,False,,32,,,,,,,
,,,0.5161,,,0.3226,,,0.1613,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-401,,,30,,,11,,,0,,0,,,0,,41,,,3.731,,False,,,False,,False,,0,,,False,,41,,,PEARL F,,,,
,,,0.7317,,,0.2683,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-402,,,18,,,11,,,3,,0,,,4,,36,,,3.083,,False,,,False,,False,,2,,,False,,38,,,FURTH B,,,,
,,,0.5,,,0.3056,,,0.0833,,0.0,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-499,,,11,,,8,,,2,,0,,,3,,24,,,3.0,,False,,,False,,False,,2,,,False,,26,,,FURTH B,,,,
,,,0.4583,,,0.3333,,,0.0833,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,59,,,30,,,5,,0,,,7,,101,,,3.326,,False,,,False,,False,,4,,,False,,105,,,,,,,
,,,0.5842,,,0.297,,,0.0495,,0.0,,,0.0693,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-318-401,,,3,,,8,,,9,,2,,,0,,22,,,2.545,,False,,,False,,False,,3,,,False,,25,,,OERTLING T,,,,
,,,0.1364,,,0.3636,,,0.4091,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,3,,,8,,,9,,2,,,0,,22,,,2.545,,False,,,False,,False,,3,,,False,,25,,,,,,,
,,,0.1364,,,0.3636,,,0.4091,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-351-401,,,12,,,9,,,1,,2,,,0,,24,,,3.291,,False,,,False,,False,,0,,,False,,24,,,MARK S,,,,
,,,0.5,,,0.375,,,0.0417,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,12,,,9,,,1,,2,,,0,,24,,,3.291,,False,,,False,,False,,0,,,False,,24,,,,,,,
,,,0.5,,,0.375,,,0.0417,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAS-371-401,,,7,,,8,,,3,,2,,,0,,20,,,3.0,,False,,,False,,False,,0,,,False,,20,,,MARK S,,,,
,,,0.35,,,0.4,,,0.15,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,,8,,,3,,2,,,0,,20,,,3.0,,False,,,False,,False,,0,,,False,,20,,,,,,,
,,,0.35,,,0.4,,,0.15,,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
VISER V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-401,,6,,,10,,,1,,,1,,,2,,20,,2.85,,,False,,,False,,False,,0,,,False,,20,,,,,,,
,,0.3,,,0.5,,,0.05,,,0.05,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-402,,23,,,0,,,0,,,0,,,0,,23,,4.0,,,False,,,False,,False,,0,,,False,,23,,,,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM-203-403,,22,,,2,,,0,,,0,,,0,,24,,3.916,,,False,,,False,,False,,0,,,False,,24,,,,,,,
,,0.9167,,,0.0833,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,51,,,12,,,1,,,1,,,2,,67,,3.626,,,False,,,False,,False,,0,,,False,,67,,,,,,,
,,0.7612,,,0.1791,,,0.0149,,,0.0149,,,0.0299,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-401,,4,,,6,,,1,,,0,,,0,,11,,3.272,,,False,,,False,,False,,0,,,False,,11,,,,,,,
,,0.3636,,,0.5455,,,0.0909,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-402,,5,,,5,,,1,,,0,,,1,,12,,3.083,,,False,,,False,,False,,0,,,False,,12,,,,,,,
,,0.4167,,,0.4167,,,0.0833,,,0.0,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-250-403,,6,,,3,,,0,,,0,,,0,,9,,3.666,,,False,,,False,,False,,0,,,False,,9,,,,,,,
,,0.6667,,,0.3333,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,,14,,,2,,,0,,,1,,32,,3.312,,,False,,,False,,False,,0,,,False,,32,,,,,,,
,,0.4688,,,0.4375,,,0.0625,,,0.0,,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-251-401,,8,,,4,,,0,,,0,,,0,,12,,3.666,,,False,,,False,,False,,0,,,False,,12,,,,,,,
,,0.6667,,,0.3333,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVE-251-402,,7,,,4,,,0,,,0,,,0,,11,,3.636,,,True,,,False,,False,,0,,,False,,12,,,,,,,
,,0.6364,,,0.3636,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
