SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPR,p,I,r,s,S,u,v,U,x,y,Q,aa,bb,X,dd,ee,TOTAL,gg,INSTRUCTOR,ii,jj,kk
ANTH-201-100,6,,7,,3,,1,,0,,,17,,3.059,,,False,,,False,,,False,,,False,,,False,,17,,WINKING J,,,
,0.3529,,0.4118,,0.1765,,0.0588,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-200,35,,7,,3,,0,,2,,,47,,3.553,,,False,,,False,,,False,,,False,,,False,,47,,BERGSTROM K,,,
,0.7447,,0.1489,,0.0638,,0.0,,0.0426,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,41,,14,,6,,1,,2,,,64,,3.422,,,False,,,False,,,False,,,False,,,False,,64,,,,,
,0.6406,,0.2188,,0.0938,,0.0156,,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-101,4,,7,,1,,0,,0,,,12,,3.25,,,False,,,False,,,False,,,False,,,False,,12,,VIEIRA DE CASTRO,L,,
,0.3333,,0.5833,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-102,22,,4,,0,,0,,0,,,26,,3.846,,,False,,,False,,,False,,,False,,,False,,26,,LYNCH D,,,
,0.8462,,0.1538,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-201,22,,35,,11,,1,,0,,,69,,3.13,,,False,,,False,,,False,,,False,,,False,,69,,FIELDS L,,,
,0.3188,,0.5072,,0.1594,,0.0145,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-203,46,,20,,0,,0,,0,,,66,,3.697,,,False,,,False,,,False,,,False,,,False,,66,,FARRAR J,,,
,0.697,,0.303,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,94,,66,,12,,1,,0,,,173,,3.462,,,False,,,False,,,False,,,False,,,False,,173,,,,,
,0.5434,,0.3815,,0.0694,,0.0058,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-299,3,,4,,8,,5,,2,,,22,,2.046,,,False,,,False,,,False,,,True,,,False,,23,,GURSKY-DOYEN S,,,
,0.1364,,0.1818,,0.3636,,0.2273,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       3,,4,,8,,5,,2,,22,,,2.045,,False,,,False,,,False,,,True,,,False,,,23,,,,,,
0.1364,,0.1818,,0.3636,,0.2273,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-324-100            6,,5,,1,,0,,0,,12,,,3.417,,False,,,False,,,False,,,False,,,False,,,12,,CARDOSO DE CARDOSO,,,,
0.5,,0.4167,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       6,,5,,1,,0,,0,,12,,,3.417,,False,,,False,,,False,,,False,,,False,,,12,,,,,,
0.5,,0.4167,,0.0833,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-330-163            1,,,2,,1,,0,,1,,5,,,2.4,,False,,,False,,,False,,,False,,,False,,,5,,GRAF K,,,
0.2,,,0.4,,0.2,,0.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       1,,,2,,1,,0,,1,,5,,,2.4,,False,,,False,,,False,,,False,,,False,,,5,,,,,
0.2,,,0.4,,0.2,,0.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-484-303,5,0,,0,,0,,0,,5,,,4.0,,False,,,False,,,False,,,False,,,False,,,5 MARINI F,,,,,,
,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,0,,0,,0,,0,,5,,,4.0,,False,,,False,,,False,,,False,,,False,,,5,,,,,,
,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,150,91,,28,,7,,5,,281,,,3.331,,False,,,False,,,False,,,True,,,False,,,282,,,,,,
,0.5338,0.3238,,0.0996,,0.0249,,0.0178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILM-251-200            4,,,2,,1,,0,,0,,7,,,3.429,,True,,,False,,,False,,,False,,,False,,,8,,GARRITANO C,,,
0.5714,,,0.2857,,0.1429,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:       4,,,2,,1,,0,,0,,7,,,3.429,,True,,,False,,,False,,,False,,,False,,,8,,,,,
0.5714,,,0.2857,,0.1429,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGST-374-200,2,2,,1,,0,,0,,5,,,3.2,,False,,,False,,,False,,,False,,,False,,,5 SNIDER J,,,,,,
,0.4,0.4,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,2,2,,1,,0,,0,,5,,,3.2,,False,,,False,,,False,,,False,,,False,,,5,,,,,,
,0.4,0.4,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,6,4,,2,,0,,0,,12,,,3.333,,True,,,False,,,False,,,False,,,False,,,13,,,,,,
,0.5,0.3333,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
