SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
ANTH-201-200,,21,,0,,2,,0,,,0,,23,,3.826,,False,,,False,,False,,0,,,False,,23,,CARLSON D,
,,0.913,,0.0,,0.087,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-201-501,,21,,51,,25,,9,,,5,,111,,2.666,,False,,,False,,False,,12,,,True,,124,,ALVARD M,
,,0.1892,,0.4595,,0.2252,,0.0811,,,0.045,,,,,,,,,,,,,,,,,,,,,
ANTH-201-502,,31,,13,,5,,4,,,5,,58,,3.051,,False,,,False,,False,,1,,,False,,59,,DOZIER C,
,,0.5345,,0.2241,,0.0862,,0.069,,,0.0862,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,,21,,59,,28,,4,,,2,,114,,2.815,,False,,,False,,False,,13,,,False,,127,,BRYANT V,
,,0.1842,,0.5175,,0.2456,,0.0351,,,0.0175,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,94,,123,,60,,17,,,12,,306,,2.882,,False,,,False,,False,,26,,,True,,333,,,
,,0.3072,,0.402,,0.1961,,0.0556,,,0.0392,,,,,,,,,,,,,,,,,,,,,
ANTH-202-501,,4,,31,,36,,10,,,3,,84,,2.273,,False,,,False,,False,,6,,,False,,90,,THOMS A,
,,0.0476,,0.369,,0.4286,,0.119,,,0.0357,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,31,,36,,10,,,3,,84,,2.273,,False,,,False,,False,,6,,,False,,90,,,
,,0.0476,,0.369,,0.4286,,0.119,,,0.0357,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,7,,29,,19,,7,,,4,,66,,2.424,,False,,,False,,False,,12,,,False,,78,,GRAF K,
,,0.1061,,0.4394,,0.2879,,0.1061,,,0.0606,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,29,,19,,7,,,4,,66,,2.424,,False,,,False,,False,,12,,,False,,78,,,
,,0.1061,,0.4394,,0.2879,,0.1061,,,0.0606,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,71,,43,,7,,3,,,0,,124,,3.467,,False,,,False,,False,,9,,,False,,133,,VIEIRA DE CASTRO L,
,,0.5726,,0.3468,,0.0565,,0.0242,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,4,,6,,3,,0,,,2,,15,,2.666,,False,,,False,,False,,0,,,False,,15,,LYNCH D,
,,0.2667,,0.4,,0.2,,0.0,,,0.1333,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,104,,62,,25,,5,,,2,,198,,3.318,,False,,,False,,False,,1,,,False,,199,,LYNCH D,
,,0.5253,,0.3131,,0.1263,,0.0253,,,0.0101,,,,,,,,,,,,,,,,,,,,,
ANTH-205-504,,12,,10,,5,,1,,,0,,28,,3.178,,False,,,False,,False,,0,,,False,,28,,WINKING J,
,,0.4286,,0.3571,,0.1786,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,GPA     I,,,,S     U     Q,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,
ANTH-205-505,,41,,34,,13,,3,,,0,,91,,3.241,,False,,,False,,False,,0,,,False,,91,,KENNEDY C,
,,0.4505,,0.3736,,0.1429,,0.033,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-205-506,,77,,16,,4,,1,,,1,,99,,3.686,,False,,,False,,False,,0,,,False,,99,,SMITH M,
,,0.7778,,0.1616,,0.0404,,0.0101,,,0.0101,,,,,,,,,,,,,,,,,,,,,
ANTH-205-507,,40,,10,,3,,0,,,0,,53,,3.698,,False,,,False,,False,,0,,,False,,53,,PAREDES SALCEDO R,
,,0.7547,,0.1887,,0.0566,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-205-508,,33,,16,,1,,2,,,1,,53,,3.471,,False,,,False,,False,,1,,,False,,54,,BORD A,
,,0.6226,,0.3019,,0.0189,,0.0377,,,0.0189,,,,,,,,,,,,,,,,,,,,,
ANTH-205-509,,75,,9,,0,,1,,,0,,85,,3.858,,False,,,False,,False,,0,,,False,,85,,PERROTTI A,
,,0.8824,,0.1059,,0.0,,0.0118,,,0.0,,,,,,,,,,,,,,,,,,,,,
ANTH-205-599,,19,,47,,40,,16,,,6,,128,,2.445,,False,,,False,,False,,24,,,False,,152,,BRYANT V,
,,0.1484,,0.3672,,0.3125,,0.125,,,0.0469,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,476,,253,,101,,32,,,12,,874,,3.314,,False,,,False,,False,,35,,,False,,909,,,
,,0.5446,,0.2895,,0.1156,,0.0366,,,0.0137,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,16,,53,,37,,9,,,9,,124,,2.467,,False,,,False,,False,,8,,,False,,132,,CASTOR N,
,,0.129,,0.4274,,0.2984,,0.0726,,,0.0726,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,5,,15,,6,,1,,,2,,29,,2.689,,False,,,False,,False,,0,,,False,,29,,WINKING J,
,,0.1724,,0.5172,,0.2069,,0.0345,,,0.069,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,21,,68,,43,,10,,,11,,153,,2.509,,False,,,False,,False,,8,,,False,,161,,,
,,0.1373,,0.4444,,0.281,,0.0654,,,0.0719,,,,,,,,,,,,,,,,,,,,,
ANTH-225-500,,9,,13,,20,,10,,,1,,53,,2.358,,False,,,False,,False,,6,,,False,,59,,DE RUITER D,
,,0.1698,,0.2453,,0.3774,,0.1887,,,0.0189,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,13,,20,,10,,,1,,53,,2.358,,False,,,False,,False,,6,,,False,,59,,,
,,0.1698,,0.2453,,0.3774,,0.1887,,,0.0189,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,7,,4,,1,,0,,,0,,12,,3.5,,False,,,False,,False,,0,,,False,,12,,HODGES S,
,,0.5833,,0.3333,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
