SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,hh,TOTAL,jj,INSTRUCTOR,ll,mm
ANTH-201-501,,8,,22,,20,,5,,,4,,,59,,,2.423,,0,,,,True,,,False,6,,,,,False,,66,,ALVARD M,,
,,0.1356,,0.3729,,0.339,,0.0847,,,0.0678,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,,14,,44,,34,,6,,,4,,,102,,,2.568,,0,,,,False,,,False,15,,,,,False,,117,,BRYANT V,,
,,0.1373,,0.4314,,0.3333,,0.0588,,,0.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,66,,54,,11,,,8,,,161,,,2.515,,0,,,,True,,,False,21,,,,,False,,183,,,,
,,0.1366,,0.4099,,0.3354,,0.0683,,,0.0497,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-500,,8,,11,,18,,5,,,0,,,42,,,2.523,,0,,,,False,,,False,0,,,,,False,,42,,WATERS M,,
,,0.1905,,0.2619,,0.4286,,0.119,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,11,,18,,5,,,0,,,42,,,2.523,,0,,,,False,,,False,0,,,,,False,,42,,,,
,,0.1905,,0.2619,,0.4286,,0.119,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,5,,6,,6,,1,,,1,,,19,,,2.684,,0,,,,False,,,False,1,,,,,False,,20,,GRAF K,,
,,0.2632,,0.3158,,0.3158,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,6,,6,,1,,,1,,,19,,,2.684,,0,,,,False,,,False,1,,,,,False,,20,,,,
,,0.2632,,0.3158,,0.3158,,0.0526,,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,68,,53,,10,,1,,,0,,,132,,,3.424,,0,,,,False,,,False,2,,,,,False,,134,,VIEIRA DE CASTRO,L,
,,0.5152,,0.4015,,0.0758,,0.0076,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,62,,37,,17,,3,,,1,,,120,,,3.3,,1,,,,False,,,False,3,,,,,False,,124,,LYNCH D,,
,,0.5167,,0.3083,,0.1417,,0.025,,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,63,,39,,17,,3,,,0,,,122,,,3.327,,1,,,,False,,,False,0,,,,,False,,123,,LYNCH D,,
,,0.5164,,0.3197,,0.1393,,0.0246,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-504,,87,,22,,7,,2,,,3,,,121,,,3.553,,0,,,,False,,,False,1,,,,,False,,122,,SMITH M,,
,,0.719,,0.1818,,0.0579,,0.0165,,,0.0248,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-506,,21,,17,,12,,2,,,0,,,52,,,3.096,,0,,,,False,,,False,2,,,,,False,,54,,BORD A,,
,,0.4038,,0.3269,,0.2308,,0.0385,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-507,,60,,11,,5,,2,,,1,,,79,,,3.607,,0,,,,False,,,False,1,,,,,False,,80,,DOZIER C,,
,,0.7595,,0.1392,,0.0633,,0.0253,,,0.0127,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,
ANTH-205-508,,6,,15,,6,,1,,,0,,28,,,,2.928,,0,,,False,,,False,,,1,,,False,,,29,,BURKE A,,
,,0.2143,,0.5357,,0.2143,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-599,,16,,51,,48,,13,,,8,,136,,,,2.397,,0,,,False,,,False,,,29,,,False,,,165,,BRYANT V,,
,,0.1176,,0.375,,0.3529,,0.0956,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,383,,245,,122,,27,,,13,,790,,,,3.212,,2,,,False,,,False,,,39,,,False,,,831,,,,
,,0.4848,,0.3101,,0.1544,,0.0342,,,0.0165,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,30,,23,,3,,2,,,0,,58,,,,3.338,,0,,,False,,,True,,,0,,,False,,,59,,KENNEDY C,,
,,0.5172,,0.3966,,0.0517,,0.0345,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,21,,4,,4,,0,,,0,,29,,,,3.586,,0,,,False,,,False,,,0,,,False,,,29,,DEMPSEY A,,
,,0.7241,,0.1379,,0.1379,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,51,,27,,7,,2,,,0,,87,,,,3.42,,0,,,False,,,True,,,0,,,False,,,88,,,,
,,0.5862,,0.3103,,0.0805,,0.023,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-501,,7,,10,,8,,4,,,1,,30,,,,2.6,,3,,,False,,,False,,,1,,,False,,,34,,ATHREYA S,,
,,0.2333,,0.3333,,0.2667,,0.1333,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-599,,5,,6,,11,,3,,,1,,26,,,,2.423,,1,,,False,,,False,,,2,,,False,,,29,,GURSKY S,,
,,0.1923,,0.2308,,0.4231,,0.1154,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,16,,19,,7,,,2,,56,,,,2.517,,4,,,False,,,False,,,3,,,False,,,63,,,,
,,0.2143,,0.2857,,0.3393,,0.125,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,7,,2,,0,,0,,,0,,9,,,,3.777,,0,,,False,,,False,,,0,,,False,,,9,,HODGES S,,
,,0.7778,,0.2222,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,11,,3,,1,,0,,,0,,15,,,,3.666,,1,,,False,,,False,,,0,,,False,,,16,,ACHORN A,,
,,0.7333,,0.2,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,5,,1,,0,,,0,,24,,,,3.708,,1,,,False,,,False,,,0,,,False,,,25,,,,
,,0.75,,0.2083,,0.0417,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,,INSTRUCTOR,,,
ANTH-229-500,,5,,8,,7,,0,,,1,,21,,,,2.761,,0,,,False,,,False,,,0,,,False,,,21,,GREEN T,,
,,0.2381,,0.381,,0.3333,,0.0,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,8,,7,,0,,,1,,21,,,,2.761,,0,,,False,,,False,,,0,,,False,,,21,,,,
,,0.2381,,0.381,,0.3333,,0.0,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-301-500,,2,,3,,2,,1,,,0,,8,,,,2.75,,0,,,False,,,False,,,1,,,False,,,9,,THOMS A,,
,,0.25,,0.375,,0.25,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,3,,2,,1,,,0,,8,,,,2.75,,0,,,False,,,False,,,1,,,False,,,9,,,,
,,0.25,,0.375,,0.25,,0.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-305-900,,4,,15,,3,,0,,,1,,23,,,,2.913,,0,,,False,,,False,,,1,,,False,,,24,,LINDERHOLM A,,
,,0.1739,,0.6522,,0.1304,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,15,,3,,0,,,1,,23,,,,2.913,,0,,,False,,,False,,,1,,,False,,,24,,,,
,,0.1739,,0.6522,,0.1304,,0.0,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-312-500,,5,,8,,4,,3,,,1,,21,,,,2.619,,0,,,False,,,False,,,1,,,False,,,22,,DE RUITER D,,
,,0.2381,,0.381,,0.1905,,0.1429,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,8,,4,,3,,,1,,21,,,,2.619,,0,,,False,,,False,,,1,,,False,,,22,,,,
,,0.2381,,0.381,,0.1905,,0.1429,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-316-501,,22,,10,,19,,6,,,0,,57,,,,2.842,,0,,,False,,,False,,,2,,,False,,,59,,PULAK C,,
,,0.386,,0.1754,,0.3333,,0.1053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,22,,10,,19,,6,,,0,,57,,,,2.842,,0,,,False,,,False,,,2,,,False,,,59,,,,
,,0.386,,0.1754,,0.3333,,0.1053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-317-500,,10,,17,,23,,7,,,0,,57,,,,2.526,,0,,,False,,,False,,,5,,,False,,,62,,WACHSMANN S,,
,,0.1754,,0.2982,,0.4035,,0.1228,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,17,,23,,7,,,0,,57,,,,2.526,,0,,,False,,,False,,,5,,,False,,,62,,,,
,,0.1754,,0.2982,,0.4035,,0.1228,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
