SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,v,S     U     Q,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
ANTH-201-500,,,3,,,3,,,6,,0,,,0,,12,,,2.75,,True,,,False,,False,,0,,,False,,13,,ALVARD M,,
,,,0.25,,,0.25,,,0.5,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-501,,,9,,,38,,,38,,1,,,1,,87,,,2.609,,False,,,False,,False,,0,,,False,,87,,GURSKY S,,
,,,0.1034,,,0.4368,,,0.4368,,0.0115,,,0.0115,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,,,10,,,25,,,18,,2,,,2,,57,,,2.684,,False,,,False,,False,,1,,,False,,58,,BRYANT V,,
,,,0.1754,,,0.4386,,,0.3158,,0.0351,,,0.0351,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,22,,,66,,,62,,3,,,3,,156,,,2.647,,True,,,False,,False,,1,,,False,,158,,,,
,,,0.141,,,0.4231,,,0.3974,,0.0192,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-500,,,7,,,14,,,11,,1,,,2,,35,,,2.657,,True,,,False,,False,,2,,,False,,38,,THOMS A,,
,,,0.2,,,0.4,,,0.3143,,0.0286,,,0.0571,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,,,14,,,11,,1,,,2,,35,,,2.657,,True,,,False,,False,,2,,,False,,38,,,,
,,,0.2,,,0.4,,,0.3143,,0.0286,,,0.0571,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,,15,,,19,,,5,,0,,,4,,43,,,2.953,,False,,,False,,False,,1,,,False,,44,,GRAF K,,
,,,0.3488,,,0.4419,,,0.1163,,0.0,,,0.093,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,15,,,19,,,5,,0,,,4,,43,,,2.953,,False,,,False,,False,,1,,,False,,44,,,,
,,,0.3488,,,0.4419,,,0.1163,,0.0,,,0.093,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-500,,,31,,,21,,,4,,2,,,5,,63,,,3.126,,False,,,False,,False,,1,,,False,,64,,GAUTHIER-BERUBE M,,
,,,0.4921,,,0.3333,,,0.0635,,0.0317,,,0.0794,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,,69,,,42,,,12,,0,,,1,,124,,,3.435,,False,,,False,,False,,0,,,False,,124,,VIEIRA DE CASTRO L,,
,,,0.5565,,,0.3387,,,0.0968,,0.0,,,0.0081,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,,103,,,18,,,2,,0,,,0,,123,,,3.821,,False,,,False,,False,,1,,,False,,124,,LYNCH D,,
,,,0.8374,,,0.1463,,,0.0163,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,,100,,,18,,,1,,0,,,0,,119,,,3.831,,False,,,False,,False,,0,,,False,,119,,LYNCH D,,
,,,0.8403,,,0.1513,,,0.0084,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-505,,,59,,,2,,,3,,1,,,0,,65,,,3.83,,False,,,False,,False,,0,,,False,,65,,GALLOSO R,,
,,,0.9077,,,0.0308,,,0.0462,,0.0154,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
WHITE J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-506,,16,,,15,,,2,,,2,,,0,,35,,3.285,,,False,,,False,,False,,0,,,False,,35,,,,
,,0.4571,,,0.4286,,,0.0571,,,0.0571,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-507,,19,,,6,,,7,,,1,,,2,,35,,3.114,,,False,,,False,,False,,1,,,False,,36,,,,
,,0.5429,,,0.1714,,,0.2,,,0.0286,,,0.0571,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-599,,32,,,36,,,24,,,3,,,2,,97,,2.958,,,False,,,False,,False,,1,,,False,,98,,,,
,,0.3299,,,0.3711,,,0.2474,,,0.0309,,,0.0206,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,429,,,158,,,55,,,9,,,10,,661,,3.493,,,False,,,False,,False,,4,,,False,,665,,,,
,,0.649,,,0.239,,,0.0832,,,0.0136,,,0.0151,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,23,,,8,,,1,,,1,,,1,,34,,3.5,,,False,,,False,,False,,0,,,False,,34,,,,
,,0.6765,,,0.2353,,,0.0294,,,0.0294,,,0.0294,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,72,,,17,,,1,,,2,,,1,,93,,3.688,,,False,,,False,,False,,0,,,False,,93,,,,
,,0.7742,,,0.1828,,,0.0108,,,0.0215,,,0.0108,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,95,,,25,,,2,,,3,,,2,,127,,3.637,,,False,,,False,,False,,0,,,False,,127,,,,
,,0.748,,,0.1969,,,0.0157,,,0.0236,,,0.0157,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-501,,21,,,12,,,6,,,2,,,1,,42,,3.19,,,False,,,False,,False,,0,,,False,,42,,,,
,,0.5,,,0.2857,,,0.1429,,,0.0476,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-599,,6,,,18,,,8,,,2,,,1,,35,,2.742,,,False,,,False,,False,,0,,,False,,35,,,,
,,0.1714,,,0.5143,,,0.2286,,,0.0571,,,0.0286,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,,30,,,14,,,4,,,2,,77,,2.987,,,False,,,False,,False,,0,,,False,,77,,,,
,,0.3506,,,0.3896,,,0.1818,,,0.0519,,,0.026,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,15,,,0,,,0,,,0,,,0,,15,,4.0,,,False,,,False,,False,,1,,,False,,16,,,,
,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,17,,,1,,,1,,,0,,,0,,19,,3.842,,,False,,,False,,False,,0,,,False,,19,,,,
,,0.8947,,,0.0526,,,0.0526,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
MCDONOUGH K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRYANT V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRATT J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATHENY R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDERSON M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GURSKY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZZO V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDARILLA M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,,1,,,1,,,0,,,0,,34,,3.911,,,False,,,False,,False,,1,,,False,,35,,,,
,,0.9412,,,0.0294,,,0.0294,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-301-900,,5,,,8,,,4,,,1,,,3,,21,,2.523,,,False,,,False,,False,,2,,,False,,23,,,,
,,0.2381,,,0.381,,,0.1905,,,0.0476,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,8,,,4,,,1,,,3,,21,,2.523,,,False,,,False,,False,,2,,,False,,23,,,,
,,0.2381,,,0.381,,,0.1905,,,0.0476,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,
ANTH-305-900,,8,,,7,,,1,,,0,,,1,,17,,3.235,,,False,,,False,,False,,0,,,False,,17,,,,
,,0.4706,,,0.4118,,,0.0588,,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,7,,,1,,,0,,,1,,17,,3.235,,,False,,,False,,False,,0,,,False,,17,,,,
,,0.4706,,,0.4118,,,0.0588,,,0.0,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,
ANTH-312-500,,5,,,5,,,1,,,1,,,0,,12,,3.166,,,False,,,False,,False,,0,,,False,,12,,,,
,,0.4167,,,0.4167,,,0.0833,,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,,5,,,1,,,1,,,0,,12,,3.166,,,False,,,False,,False,,0,,,False,,12,,,,
,,0.4167,,,0.4167,,,0.0833,,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-313-500,,6,,,3,,,1,,,1,,,0,,11,,3.272,,,False,,,False,,False,,0,,,False,,11,,,,
,,0.5455,,,0.2727,,,0.0909,,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,3,,,1,,,1,,,0,,11,,3.272,,,False,,,False,,False,,0,,,False,,11,,,,
,,0.5455,,,0.2727,,,0.0909,,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ANTH-316-501,,29,,,21,,,9,,,1,,,1,,61,,3.245,,,False,,,False,,False,,0,,,False,,61,,,,
,,0.4754,,,0.3443,,,0.1475,,,0.0164,,,0.0164,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,29,,,21,,,9,,,1,,,1,,61,,3.245,,,False,,,False,,False,,0,,,False,,61,,,,
,,0.4754,,,0.3443,,,0.1475,,,0.0164,,,0.0164,,,,,,,,,,,,,,,,,,,,,,,
ANTH-317-500,,16,,,5,,,1,,,1,,,0,,23,,3.565,,,False,,,False,,False,,1,,,False,,24,,,,
,,0.6957,,,0.2174,,,0.0435,,,0.0435,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
THOMS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDERHOLM A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDERSON M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOSTAL C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEIS R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACHSMANN S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
