SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
ANTH-201-501,,25,,52,,26,,8,,,5,,116,,,,2.724,,0,,,0,,,0,,,8,,,0,,124,,,ALVARD M,
,,0.2155,,0.4483,,0.2241,,0.069,,,0.0431,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-502,,38,,14,,3,,0,,,2,,57,,,,3.508,,0,,,0,,,0,,,0,,,0,,57,,,GURSKY S,
,,0.6667,,0.2456,,0.0526,,0.0,,,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-503,,14,,6,,1,,1,,,0,,22,,,,3.5,,0,,,0,,,0,,,1,,,0,,23,,,ANDERSON M,
,,0.6364,,0.2727,,0.0455,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,,8,,24,,15,,0,,,1,,48,,,,2.791,,0,,,0,,,0,,,1,,,0,,49,,,WHITE J,
,,0.1667,,0.5,,0.3125,,0.0,,,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-G01,,0,,8,,12,,5,,,0,,25,,,,2.12,,0,,,0,,,0,,,1,,,0,,26,,,ALVARD M,
,,0.0,,0.32,,0.48,,0.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,85,,104,,57,,14,,,8,,268,,,,2.91,,0,,,0,,,0,,,11,,,0,,279,,,,
,,0.3172,,0.3881,,0.2127,,0.0522,,,0.0299,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-501,,18,,19,,16,,2,,,3,,58,,,,2.81,,0,,,0,,,0,,,2,,,0,,60,,,THOMS A,
,,0.3103,,0.3276,,0.2759,,0.0345,,,0.0517,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,19,,16,,2,,,3,,58,,,,2.81,,0,,,0,,,0,,,2,,,0,,60,,,,
,,0.3103,,0.3276,,0.2759,,0.0345,,,0.0517,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,39,,47,,9,,4,,,1,,100,,,,3.19,,0,,,0,,,0,,,2,,,1,,103,,,GRAF K,
,,0.39,,0.47,,0.09,,0.04,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,39,,47,,9,,4,,,1,,100,,,,3.19,,0,,,0,,,0,,,2,,,1,,103,,,,
,,0.39,,0.47,,0.09,,0.04,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,52,,18,,0,,0,,,0,,70,,,,3.742,,0,,,0,,,0,,,0,,,0,,70,,,VIEIRA DE CASTRO L,
,,0.7429,,0.2571,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
