SECTION,b,A,d,B,f,C,h,D,j,F,l,m,A_2,- F,p,GPA,r,s,I,u,S,w,x,U,z,Q,bb,cc,dd,X,ff,gg,TOTAL,INSTRUCTOR,jj,kk,ll,mm
FORS-610-700,,6,,1,,1,,1,,0,,,,9,,3.333,,,0,,,,False,,False,,,False,,0,,,9,CHARLES L,,,,
,,0.6667,,0.1111,,0.1111,,0.1111,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,1,,1,,1,,0,,,,9,,3.333,,,0,,,,False,,False,,,False,,0,,,9,,,,,
,,0.6667,,0.1111,,0.1111,,0.1111,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORS-615-700,,6,,0,,0,,1,,0,,,,7,,3.571,,,0,,,,False,,False,,,False,,0,,,7,DOWNING N,,,,
,,0.8571,,0.0,,0.0,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,1,,0,,,,7,,3.571,,,0,,,,False,,False,,,False,,0,,,7,,,,,
,,0.8571,,0.0,,0.0,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-305-598,,47,,2,,0,,0,,0,,,,49,,3.959,,,0,,,,False,,False,,,False,,0,,,49,BONNER R,,,,
,,0.9592,,0.0408,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-305-599,,22,,0,,0,,0,,0,,,,22,,4.0,,,0,,,,False,,False,,,False,,0,,,22,BONNER R,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,69,,2,,0,,0,,0,,,,71,,3.971,,,0,,,,False,,False,,,False,,0,,,71,,,,,
,,0.9718,,0.0282,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-500,,33,,14,,1,,0,,0,,,,48,,3.666,,,0,,,,False,,False,,,False,,0,,,48,BRUCE R,,,,
,,0.6875,,0.2917,,0.0208,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
