SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
NURS-305-700,,53,,1,,0,,0,,,0,,54,,3.981,,False,,,False,,False,,False,,,False,,54,,PULLIUM C,
,,0.9815,,0.0185,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,53,,1,,0,,0,,,0,,54,,3.981,,False,,,False,,False,,False,,,False,,54,,,
,,0.9815,,0.0185,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-315-300,,15,,6,,0,,0,,,0,,21,,3.714,,True,,,False,,False,,False,,,False,,22,,SEABACK W,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-315-301,,10,,10,,1,,0,,,0,,21,,3.428,,False,,,False,,False,,False,,,False,,21,,SEABACK W,
,,0.4762,,0.4762,,0.0476,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,16,,1,,0,,,0,,42,,3.571,,True,,,False,,False,,False,,,False,,43,,,
,,0.5952,,0.381,,0.0238,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-320-300,,5,,15,,3,,0,,,0,,23,,3.086,,False,,,False,,False,,False,,,False,,23,,BOSENBARK M,
,,0.2174,,0.6522,,0.1304,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-320-301,,3,,14,,4,,0,,,0,,21,,2.952,,False,,,False,,False,,False,,,False,,21,,BOSENBARK M,
,,0.1429,,0.6667,,0.1905,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,29,,7,,0,,,0,,44,,3.022,,False,,,False,,False,,False,,,False,,44,,,
,,0.1818,,0.6591,,0.1591,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
NURS-411-900,,48,,1,,0,,0,,,0,,49,,3.979,,False,,,False,,False,,False,,,False,,49,,DORMIRE S,
,,0.9796,,0.0204,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
