SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
NURS-306-500,,31,,34,,3,,0,,,0,,,68,,,3.411,,0,,,,False,,,False,,,0,,0,,68,,ROSEN C,,,
,,0.4559,,0.5,,0.0441,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-306-501,,14,,21,,0,,0,,,0,,,35,,,3.4,,0,,,,False,,,False,,,0,,0,,35,,GRUBEN D,,,
,,0.4,,0.6,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,45,,55,,3,,0,,,0,,,103,,,3.407,,0,,,,False,,,False,,,0,,0,,103,,,,,
,,0.4369,,0.534,,0.0291,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-307-500,,65,,3,,0,,0,,,0,,,68,,,3.955,,0,,,,False,,,False,,,0,,0,,68,,ROSEN C,,,
,,0.9559,,0.0441,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-307-501,,34,,1,,0,,0,,,0,,,35,,,3.971,,0,,,,False,,,False,,,0,,0,,35,,GRUBEN D,,,
,,0.9714,,0.0286,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,99,,4,,0,,0,,,0,,,103,,,3.961,,0,,,,False,,,False,,,0,,0,,103,,,,,
,,0.9612,,0.0388,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-501,,30,,5,,0,,0,,,0,,,35,,,3.857,,0,,,,False,,,False,,,0,,0,,35,,BRUCE R,,,
,,0.8571,,0.1429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-312-502,,58,,12,,0,,0,,,0,,,70,,,3.828,,0,,,,False,,,False,,,0,,0,,70,,BRUCE R,,,
,,0.8286,,0.1714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,88,,17,,0,,0,,,0,,,105,,,3.838,,0,,,,False,,,False,,,0,,0,,105,,,,,
,,0.8381,,0.1619,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-315-500,,14,,13,,0,,0,,,0,,,27,,,3.518,,0,,,,False,,,False,,,0,,0,,27,,SEABACK W,,,
,,0.5185,,0.4815,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,13,,0,,0,,,0,,,27,,,3.518,,0,,,,False,,,False,,,0,,0,,27,,,,,
,,0.5185,,0.4815,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-316-500,,43,,24,,2,,0,,,0,,,69,,,3.594,,0,,,,True,,,False,,,0,,0,,70,,PARROTT T,,,
,,0.6232,,0.3478,,0.029,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
NURS-316-501,,23,,12,,0,,0,,,0,,,35,,,3.657,,0,,,,False,,,False,,,0,,0,,35,,MAULDIN B,,,
,,0.6571,,0.3429,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,66,,36,,2,,0,,,0,,,104,,,3.615,,0,,,,True,,,False,,,0,,0,,105,,,,,
,,0.6346,,0.3462,,0.0192,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-500,,2,,24,,2,,0,,,0,,,28,,,3.0,,1,,,,False,,,False,,,0,,0,,29,,BOSENBARK M,,,
,,0.0714,,0.8571,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,2,,24,,2,,0,,,0,,,28,,,3.0,,1,,,,False,,,False,,,0,,0,,29,,,,,
,,0.0714,,0.8571,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-500,,17,,37,,1,,0,,,0,,,55,,,3.29,,0,,,,False,,,False,,,0,,0,,55,,WHITE-COREY,,S,
,,0.3091,,0.6727,,0.0182,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-501,,9,,15,,0,,0,,,0,,,24,,,3.375,,0,,,,False,,,False,,,0,,0,,24,,WELLS-BEEDE,,E,
,,0.375,,0.625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,52,,1,,0,,,0,,,79,,,3.316,,0,,,,False,,,False,,,0,,0,,79,,,,,
,,0.3291,,0.6582,,0.0127,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-500,,36,,19,,1,,0,,,0,,,56,,,3.625,,0,,,,False,,,False,,,0,,0,,56,,DECKER W,,,
,,0.6429,,0.3393,,0.0179,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-412-501,,8,,15,,1,,0,,,0,,,24,,,3.291,,0,,,,False,,,False,,,0,,0,,24,,BRUCE R,,,
,,0.3333,,0.625,,0.0417,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,44,,34,,2,,0,,,0,,,80,,,3.525,,0,,,,False,,,False,,,0,,0,,80,,,,,
,,0.55,,0.425,,0.025,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-413-500,,16,,11,,0,,0,,,0,,,27,,,3.592,,0,,,,False,,,False,,,0,,0,,27,,PITTMAN A,,,
,,0.5926,,0.4074,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,11,,0,,0,,,0,,,27,,,3.592,,0,,,,False,,,False,,,0,,0,,27,,,,,
,,0.5926,,0.4074,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
NURS-420-500,,14,,37,,2,,0,,,0,,53,,,,3.226,,1,,,0,,,0,,,False,,,0,,54,,,MUFICH M,,
,,0.2642,,0.6981,,0.0377,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-420-501,,13,,28,,7,,0,,,0,,48,,,,3.125,,0,,,0,,,0,,,False,,,0,,48,,,VELA C,,
,,0.2708,,0.5833,,0.1458,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,27,,65,,9,,0,,,0,,101,,,,3.178,,1,,,0,,,0,,,False,,,0,,102,,,,,
,,0.2673,,0.6436,,0.0891,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-421-500,,45,,7,,0,,0,,,0,,52,,,,3.865,,0,,,0,,,0,,,False,,,0,,52,,,VAN S,,
,,0.8654,,0.1346,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-421-501,,23,,1,,0,,0,,,0,,24,,,,3.958,,0,,,0,,,0,,,False,,,0,,24,,,DROSTE L,,
