SECTION,A,c,B,e,C,g,D,i,F,k,A_2,m,-,F_2,GPR,q,I,S,t,U,v,Q,x,X,z,TOTAL,bb,INSTRUCTOR,dd,ee,ff
PHEO-613-697,,5,,0,,0,,0,,0,,5,,,,4.0,False,,False,,False,,False,,False,,5,,MARTIN,S,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
PHEO-613-699           17,,,0,,1,,0,,0,,18,,,,3.889,,False,False,,False,,True,,False,,19 MARTIN,,,,S,
94.44%,,,0.0,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      22,,,0,,1,,0,,0,,23,,,,3.913,,False,False,,False,,True,,False,,24,,,,,
95.65%,,,0.0,,0.0435,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-689-699,,4,1,,0,,0,,0,,5,,,,3.8,,False,False,,False,,False,,False,,5 RENE A,,,,,
,,0.8,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,1,,0,,0,,0,,5,,,,3.8,,False,False,,False,,False,,False,,5,,,,,
,,0.8,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,26,1,,1,,0,,0,,28,,,,3.893,,False,False,,False,,True,,False,,29,,,,,
,,0.9286,0.0357,,0.0357,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEB-602-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,2,,3,,0,,0,,10,,,3.2,,False,,False,,False,,False,,False,,10,WANG S,,,
50.00%,,,,0.2,,0.3,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
5,,,,2,,3,,0,,0,,10,,,3.2,,False,,False,,False,,False,,False,,10,,,,
50.00%,,,,0.2,,0.3,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
14,,,,6,,5,,2,,0,,27,,,3.185,,False,,False,,False,,True,,False,,28,GARCIA T,,,
51.85%,,,,0.2222,,0.1852,,0.0741,,0.0,,,,,,,,,,,,,,,,,,,,,
14,,,,6,,5,,2,,0,,27,,,3.185,,False,,False,,False,,True,,False,,28,,,,
51.85%,,,,0.2222,,0.1852,,0.0741,,0.0,,,,,,,,,,,,,,,,,,,,,
26,,,,5,,1,,0,,0,,32,,,3.781,,False,,False,,False,,False,,False,,32,PEREZ-PATRON M,,,
81.25%,,,,0.1563,,0.0313,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
7,,,,1,,0,,0,,0,,8,,,3.875,,False,,False,,False,,False,,False,,8,PEREZ-PATRON M,,,
87.50%,,,,0.125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
33,,,,6,,1,,0,,0,,40,,,3.8,,False,,False,,False,,False,,False,,40,,,,
82.50%,,,,0.15,,0.025,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-603-698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-612-699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-612-700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,52,,14,,9,,2,,0,,773.506,,,,,False,,False,,False,,True,,False,,78,,,,
,,0.6753,,0.1818,,0.1169,,0.026,,0.0,,,,,,,,,,,,,,,,,,,,,
