SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPA,p,I,r,S,t,U,v,Q,x,y,X,aa,TOTAL,INSTRUCTOR
PHEO-613-699,7,,2,,0,,0,,0,,,9,,3.777,,0,,,False,,False,,True,,0,,10,MARTIN S
,0.7778,,0.2222,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,2,,0,,0,,0,,,9,,3.777,,0,,,False,,False,,True,,0,,10,
,0.7778,,0.2222,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
PHEO-689-199,6,,0,,0,,0,,0,,,6,,4.0,,0,,,False,,False,,False,,0,,6,RENE A
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,0,,0,,0,,0,,,6,,4.0,,0,,,False,,False,,False,,0,,6,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,13,,2,,0,,0,,0,,,15,,3.866,,0,,,False,,False,,True,,0,,16,
,0.8667,,0.1333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR
PHEB-612-699,37,,3,,1,,0,,0,,,41,,3.878,,0,,,False,,False,,False,,0,,41,PEREZ-PATRON M
,0.9024,,0.0732,,0.0244,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
PHEB-612-700,9,,4,,3,,0,,0,,,16,,3.375,,0,,,False,,False,,False,,0,,16,PEREZ-PATRON M
,0.5625,,0.25,,0.1875,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,46,,7,,4,,0,,0,,,57,,3.736,,0,,,False,,False,,False,,0,,57,
,0.807,,0.1228,,0.0702,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,46,,7,,4,,0,,0,,,57,,3.736,,0,,,False,,False,,False,,0,,57,
,0.807,,0.1228,,0.0702,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
