SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
PHEO-600-600,,9,,2,,0,,0,,,0,,11,,,,3.818,,0,,,0,,,0,,,0,,,0,,11,,,BENDEN M,
,,0.8182,,0.1818,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-600-699,,10,,11,,4,,0,,,0,,25,,,,3.24,,1,,,0,,,0,,,0,,,0,,26,,,BENDEN M,
,,0.4,,0.44,,0.16,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-600-700,,6,,4,,1,,0,,,0,,11,,,,3.454,,0,,,0,,,0,,,0,,,0,,11,,,BENDEN M,
,,0.5455,,0.3636,,0.0909,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,17,,5,,0,,,0,,47,,,,3.425,,1,,,0,,,0,,,0,,,0,,48,,,,
,,0.5319,,0.3617,,0.1064,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-605-600,,19,,1,,0,,0,,,0,,20,,,,3.95,,0,,,0,,,0,,,0,,,0,,20,,,MCDONALD T,
,,0.95,,0.05,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,1,,0,,0,,,0,,20,,,,3.95,,0,,,0,,,0,,,0,,,0,,20,,,,
,,0.95,,0.05,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-613-700,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,1,,,0,,12,,,CARRILLO G,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,0,,0,,0,,,0,,11,,,,4.0,,0,,,0,,,0,,,1,,,0,,12,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-618-600,,11,,7,,0,,0,,,0,,18,,,,3.611,,0,,,0,,,0,,,0,,,0,,18,,,PICKENS A,
,,0.6111,,0.3889,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,7,,0,,0,,,0,,18,,,,3.611,,0,,,0,,,0,,,0,,,0,,18,,,,
,,0.6111,,0.3889,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-630-600,,19,,7,,0,,0,,,0,,26,,,,3.73,,0,,,0,,,0,,,0,,,0,,26,,,JOHNSON N,
,,0.7308,,0.2692,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,7,,0,,0,,,0,,26,,,,3.73,,0,,,0,,,0,,,0,,,0,,26,,,,
,,0.7308,,0.2692,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
PHEO-676-699,,6,,0,,0,,0,,,0,,,6,,,4.0,,0,,,,False,,,False,,,0,,0,,6,,SHARMA V,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,0,,,0,,,6,,,4.0,,0,,,,False,,,False,,,0,,0,,6,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-678-600,,9,,3,,0,,0,,,0,,,12,,,3.75,,0,,,,False,,,False,,,0,,0,,12,,BENDEN M,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,3,,0,,0,,,0,,,12,,,3.75,,0,,,,False,,,False,,,0,,0,,12,,,,
,,0.75,,0.25,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-682-600,,5,,3,,0,,0,,,0,,,8,,,3.625,,0,,,,False,,,False,,,0,,0,,8,,BENDEN M,,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,3,,0,,0,,,0,,,8,,,3.625,,0,,,,False,,,False,,,0,,0,,8,,,,
,,0.625,,0.375,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,105,,38,,5,,0,,,0,,,148,,,3.675,,1,,,,False,,,False,,,1,,0,,150,,,,
,,0.7095,,0.2568,,0.0338,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
PHEB-600-699,,4,,2,,0,,0,,,0,,6,,,,3.666,,0,,,0,,,0,,,0,,,0,,6,,,ZANWAR P,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,2,,0,,0,,,0,,6,,,,3.666,,0,,,0,,,0,,,0,,,0,,6,,,,
,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-602-600,,8,,16,,7,,0,,,0,,31,,,,3.032,,0,,,0,,,0,,,0,,,0,,31,,,HAN G,
,,0.2581,,0.5161,,0.2258,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-602-699,,3,,2,,1,,0,,,0,,6,,,,3.333,,0,,,0,,,0,,,1,,,0,,7,,,HAN G,
,,0.5,,0.3333,,0.1667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-602-700,,6,,6,,5,,0,,,0,,17,,,,3.058,,0,,,0,,,0,,,0,,,0,,17,,,HAN G,
,,0.3529,,0.3529,,0.2941,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,17,,24,,13,,0,,,0,,54,,,,3.074,,0,,,0,,,0,,,1,,,0,,55,,,,
,,0.3148,,0.4444,,0.2407,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-609-600,,20,,9,,2,,0,,,0,,31,,,,3.58,,0,,,0,,,0,,,1,,,0,,32,,,ZHAO H,
,,0.6452,,0.2903,,0.0645,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-609-700,,13,,5,,0,,0,,,0,,18,,,,3.722,,1,,,0,,,0,,,1,,,0,,20,,,ZHENG Q,
,,0.7222,,0.2778,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,33,,14,,2,,0,,,0,,49,,,,3.632,,1,,,0,,,0,,,2,,,0,,52,,,,
,,0.6735,,0.2857,,0.0408,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-615-600,,10,,4,,0,,0,,,0,,14,,,,3.714,,0,,,0,,,0,,,0,,,0,,14,,,CLENDENIN M,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,4,,0,,0,,,0,,14,,,,3.714,,0,,,0,,,0,,,0,,,0,,14,,,,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-620-600,,2,,6,,0,,0,,,0,,8,,,,3.25,,0,,,0,,,0,,,0,,,0,,8,,,TAYLOR N,
,,0.25,,0.75,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
