PHEO-610-600,14,c,d,2,f,0,h,0_2,j,0_3,l,m,16,o,3.875,q,r,0_4,t,u,0_5,w,0_6,y,z,0_7,bb,cc,dd,0_8,ff,gg,16_2,ii,CIZMAS L,kk
,0.875,,,0.125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,2,,0,,0,,0,,,16,,3.875,,,False,,,False,,False,,,False,,,,False,,,16,,,
,0.875,,,0.125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-612-698,14,,,0,,0,,0,,0,,,14,,4.0,,,True,,,False,,False,,,False,,,,False,,,15,,CARRILLO G,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-612-699,4,,,1,,0,,0,,0,,,5,,3.8,,,False,,,False,,False,,,False,,,,False,,,5,,CARRILLO G,
,0.8,,,0.2,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,1,,0,,0,,0,,,19,,3.947,,,True,,,False,,False,,,False,,,,False,,,20,,,
,0.9474,,,0.0526,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-640-600,7,,,11,,1,,0,,0,,,19,,3.315,,,False,,,False,,False,,,False,,,,False,,,19,,PICKENS A,
,0.3684,,,0.5789,,0.0526,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,11,,1,,0,,0,,,19,,3.315,,,False,,,False,,False,,,False,,,,False,,,19,,,
,0.3684,,,0.5789,,0.0526,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-645-600,9,,,0,,1,,0,,0,,,10,,3.8,,,False,,,False,,False,,,False,,,,False,,,10,,BENDEN M,
,0.9,,,0.0,,0.1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,0,,1,,0,,0,,,10,,3.8,,,False,,,False,,False,,,False,,,,False,,,10,,,
,0.9,,,0.0,,0.1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-650-699,26,,,0,,0,,0,,0,,,26,,4.0,,,False,,,False,,False,,,False,,,,False,,,26,,RENE A,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,26,,,0,,0,,0,,0,,,26,,4.0,,,False,,,False,,False,,,False,,,,False,,,26,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-655-600,13,,,3,,0,,0,,0,,,16,,3.812,,,False,,,False,,False,,,False,,,,False,,,16,,PERES C,
,0.8125,,,0.1875,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,3,,0,,0,,0,,,16,,3.812,,,False,,,False,,False,,,False,,,,False,,,16,,,
,0.8125,,,0.1875,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-675-600,9,,,0,,0,,0,,0,,,9,,4.0,,,False,,,False,,False,,,False,,,,False,,,9,,SHARMA V,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,0,,0,,0,,0,,,9,,4.0,,,False,,,False,,False,,,False,,,,False,,,9,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-679-600,18,,,0,,0,,0,,0,,,18,,4.0,,,False,,,False,,False,,,False,,,,False,,,18,,BENDEN M,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,18,,,0,,0,,0,,0,,,18,,4.0,,,False,,,False,,False,,,False,,,,False,,,18,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,114,,,17,,2,,0,,0,,,133,,3.842,,,True,,,False,,False,,,False,,,,False,,,134,,,
,0.8571,,,0.1278,,0.015,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,
PHEB-602-701,,4,,2,,0,,0,,0,,,6,,3.666,,0,,,,False,,,False,,,False,,1,,,7,,ZHENG Q,,
,,0.6667,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,2,,0,,0,,0,,,6,,3.666,,0,,,,False,,,False,,,False,,1,,,7,,,,
,,0.6667,,0.3333,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEB-603-700,,8,,9,,0,,0,,0,,,17,,3.47,,0,,,,False,,,False,,,False,,0,,,17,,ZHAO H,,
,,0.4706,,0.5294,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,9,,0,,0,,0,,,17,,3.47,,0,,,,False,,,False,,,False,,0,,,17,,,,
,,0.4706,,0.5294,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
