SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL,INSTRUCTOR,gg,hh
PHEO-612-698,,10,,,1,,0,,0,,0,,,11,,3.909,,0,,,False,,False,,,False,,False,,11,CARRILLO G,,
,,0.9091,,,0.0909,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,,1,,0,,0,,0,,,11,,3.909,,0,,,False,,False,,,False,,False,,11,,,
,,0.9091,,,0.0909,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-630-600,,6,,,1,,1,,0,,0,,,8,,3.625,,0,,,False,,False,,,False,,False,,8,JOHNSON N,,
,,0.75,,,0.125,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,1,,1,,0,,0,,,8,,3.625,,0,,,False,,False,,,False,,False,,8,,,
,,0.75,,,0.125,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-639-601,,19,,,1,,0,,0,,0,,,20,,3.95,,1,,,False,,False,,,False,,False,,21,CIZMAS L,,
,,0.95,,,0.05,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,,1,,0,,0,,0,,,20,,3.95,,1,,,False,,False,,,False,,False,,21,,,
,,0.95,,,0.05,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-640-600,,7,,,8,,2,,0,,0,,,17,,3.294,,0,,,False,,False,,,False,,False,,17,PICKENS A,,
,,0.4118,,,0.4706,,0.1176,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,8,,2,,0,,0,,,17,,3.294,,0,,,False,,False,,,False,,False,,17,,,
,,0.4118,,,0.4706,,0.1176,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-645-600,,15,,,2,,1,,0,,0,,,18,,3.777,,0,,,False,,False,,,False,,False,,18,BENDEN M,,
,,0.8333,,,0.1111,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,,2,,1,,0,,0,,,18,,3.777,,0,,,False,,False,,,False,,False,,18,,,
,,0.8333,,,0.1111,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-650-699,,13,,,0,,0,,0,,0,,,13,,4.0,,0,,,False,,False,,,False,,False,,13,RENE A,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,,0,,0,,0,,0,,,13,,4.0,,0,,,False,,False,,,False,,False,,13,,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PERES C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHEO-655-600,13,,,4,,,1,,0,,0,,,18,3.666,,,1,,,False,False,,,False,,,False,,19,,,
,0.7222,,,0.2222,,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,4,,,1,,0,,0,,,18,3.666,,,1,,,False,False,,,False,,,False,,19,,,
,0.7222,,,0.2222,,,0.0556,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-675-600,6,,,1,,,0,,0,,0,,,7,3.857,,,0,,,False,False,,,False,,,False,,7,,,
,0.8571,,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,1,,,0,,0,,0,,,7,3.857,,,0,,,False,False,,,False,,,False,,7,,,
,0.8571,,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-679-600,17,,,1,,,0,,0,,0,,,18,3.944,,,0,,,False,False,,,False,,,False,,18,,,
,0.9444,,,0.0556,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,17,,,1,,,0,,0,,0,,,18,3.944,,,0,,,False,False,,,False,,,False,,18,,,
,0.9444,,,0.0556,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PHEO-682-600,5,,,2,,,0,,0,,0,,,7,3.714,,,0,,,False,False,,,False,,,False,,7,,,
,0.7143,,,0.2857,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,,2,,,0,,0,,0,,,7,3.714,,,0,,,False,False,,,False,,,False,,7,,,
,0.7143,,,0.2857,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
SHARMA V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENDEN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENDEN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,111,,,21,,,5,,0,,0,,,1373.773,,,,2,,,False,False,,,False,,,False,,139,,,
,0.8102,,,0.1533,,,0.0365,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
