SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL,ff,INSTRUCTOR,hh,ii
PHEB-622-399,,9,,,4,,0,,0,,0,,,13,,3.692,,False,,,False,,False,,,False,,False,,13,,REGAN A,,
,,0.6923,,,0.3077,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEB-622-700,,9,,,7,,0,,0,,0,,,16,,3.562,,False,,,False,,False,,,False,,False,,16,,REGAN A,,
,,0.5625,,,0.4375,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,18,,,11,,0,,0,,0,,,29,,3.62,,False,,,False,,False,,,False,,False,,29,,,,
,,0.6207,,,0.3793,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEB-689-399,,24,,,0,,0,,0,,0,,,24,,4.0,,False,,,False,,False,,,False,,False,,24,,ROH T,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHEB-689-700,,22,,,0,,0,,0,,0,,,22,,4.0,,False,,,False,,False,,,False,,False,,22,,ROH T,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,46,,,0,,0,,0,,0,,,46,,4.0,,False,,,False,,False,,,False,,False,,46,,,,
,,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,64,,,11,,0,,0,,0,,,75,,3.853,,False,,,False,,False,,,False,,False,,75,,,,
,,0.8533,,,0.1467,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHPM-617-600,14,,,0,,,0,,0,,0,,,14,4.0,,,False,,,False,False,,,False,,,False,,,14,ROBISON Z,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,0,,,0,,0,,0,,,14,4.0,,,False,,,False,False,,,False,,,False,,,14,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHPM-623-600,12,,,2,,,0,,0,,0,,,14,3.857,,,False,,,False,False,,,False,,,False,,,14,FISH J,,
,0.8571,,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,2,,,0,,0,,0,,,14,3.857,,,False,,,False,False,,,False,,,False,,,14,,,
,0.8571,,,0.1429,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHPM-678-300,6,,,0,,,0,,0,,0,,,6,4.0,,,False,,,False,False,,,False,,,False,,,6,TOMASZEWSKI,L,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,0,,,0,,0,,0,,,6,4.0,,,False,,,False,False,,,False,,,False,,,6,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHPM-680-600,10,,,0,,,0,,0,,0,,,10,4.0,,,False,,,False,False,,,False,,,False,,,10,DICKEY N,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,0,,,0,,0,,0,,,10,4.0,,,False,,,False,False,,,False,,,False,,,10,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
PHPM-689-399,12,,,0,,,0,,0,,0,,,12,4.0,,,False,,,False,False,,,False,,,False,,,12,TOMASZEWSKI,L,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,12,,,0,,,0,,0,,0,,,12,4.0,,,False,,,False,False,,,False,,,False,,,12,,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,54,,,2,,,0,,0,,0,,,563.961,,,,False,,,False,False,,,False,,,False,,,56,,,
,0.9643,,,0.0357,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
