"DEPARTMENT:
SECTION","AP-UNDERGRAD
A",c,d,e,"STUDIES
B",g,C,D,j,F,l,TOTAL A - F,n,GPR,p,q,I,s,t,S,v,w,U,y,Q,aa,bb,cc,X,ee,ff,TOTAL,INSTRUCTOR,ii,jj
UGST-181-500,4,,,,3,,0,0,,0,,,,73.571,,,0,,,,False,,,False,,,False,,0,,,7,SMALL N,,
,0.5714,,,,0.4286,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE,TOTAL:       4,,,,3,,0,0,,0,,,,73.571,,,0,,,,False,,,False,,,False,,0,,,7,,,
,0.5714,,,,0.4286,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT,TOTAL:       4,,,,3,,0,0,,0,,,,73.571,,,0,,,,False,,,False,,,False,,0,,,7,,,
,0.5714,,,,0.4286,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE,TOTAL:       4,,,,3,,0,0,,0,,,,73.571,,,0,,,,False,,,False,,,False,,0,,,7,,,
,0.5714,,,,0.4286,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHEN-204-500
COURSE TOTAL:
CHEN-205-500
COURSE TOTAL:
CHEN-313-500
COURSE TOTAL:
CHEN-323-500
COURSE TOTAL:
CHEN-426-500
COURSE TOTAL:
CHEN-433-501
CHEN-433-502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,2,,0,0,,0,,5,,,,3.6,0,,,0,,,False,,,0,,,0,,,5,,MARKATOS N,
,,,0.6,,0.4,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,2,,0,0,,0,,5,,,,3.6,0,,,0,,,False,,,0,,,0,,,5,,,
,,,0.6,,0.4,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,7,,4,2,,1,,19,,,,2.684,0,,,0,,,False,,,1,,,0,,,20,,CASTIER M,
,,,0.2632,,0.3684,,0.2105,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,7,,4,2,,1,,19,,,,2.684,0,,,0,,,False,,,1,,,0,,,20,,,
,,,0.2632,,0.3684,,0.2105,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,13,,2,0,,1,,25,,,,3.16,0,,,0,,,False,,,0,,,0,,,25,,SALAMA G,
,,,0.36,,0.52,,0.08,0.0,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,13,,2,0,,1,,25,,,,3.16,0,,,0,,,False,,,0,,,0,,,25,,,
,,,0.36,,0.52,,0.08,0.0,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,6,,5,0,,0,,17,,,,3.059,0,,,0,,,False,,,0,,,0,,,17,,NOUNOU M,
,,,0.3529,,0.3529,,0.2941,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,6,,5,0,,0,,17,,,,3.059,0,,,0,,,False,,,0,,,0,,,17,,,
,,,0.3529,,0.3529,,0.2941,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,10,,0,0,,0,,16,,,,3.375,0,,,0,,,False,,,0,,,0,,,16,,LINKE P,
,,,0.375,,0.625,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,10,,0,0,,0,,16,,,,3.375,0,,,0,,,False,,,0,,,0,,,16,,,
,,,0.375,,0.625,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,4,,1,0,,0,,6,,,,3.0,0,,,0,,,False,,,0,,,0,,,6,,SALAMA G,
,,,0.1667,,0.6667,,0.1667,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,6,,0,0,,0,,10,,,,3.4,0,,,0,,,False,,,0,,,0,,,10,,SALAMA G,
,,,0.4,,0.6,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,D,,F,,A,- F,,,GPR,I,,,S,,U,,,,Q,,,X,,,TOTAL  INSTRUCTOR,,,
COURSE TOTAL:,,,5,,10,,1,0,,0,,,16,,,3.25,,False,,,False,,,False,,0,,,,False,,16,,,
,,,0.3125,,0.625,,0.0625,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,,34,,48,,12,2,,2,,,98,,,3.122,,False,,,False,,,False,,1,,,,False,,99,,,
,,,0.3469,,0.4898,,0.1224,0.0204,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE TOTAL:,,,34,,48,,12,2,,2,,,98,,,3.122,,False,,,False,,,False,,1,,,,False,,99,,,
,,,0.3469,,0.4898,,0.1224,0.0204,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,
