CHEN-204-500,6,c,7,e,f,1,h,0,j,0_2,l,m,14,o,3.357,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,14_2,ii,MARKATOS N,kk,ll,mm
,0.4286,,0.5,,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,7,,,1,,0,,0,,,14,,3.357,,,False,,,False,,False,,,False,,,,False,,,14,,,,,
,0.4286,,0.5,,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-304-500,6,,6,,,1,,0,,0,,,13,,3.384,,,False,,,False,,False,,,False,,,,False,,,13,,KAKOSIMOS K,,,
,0.4615,,0.4615,,,0.0769,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,6,,,1,,0,,0,,,13,,3.384,,,False,,,False,,False,,,False,,,,False,,,13,,,,,
,0.4615,,0.4615,,,0.0769,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-320-500,5,,6,,,1,,1,,0,,,13,,3.153,,,False,,,False,,False,,,False,,,,False,,,13,,MARKATOS N,,,
,0.3846,,0.4615,,,0.0769,,0.0769,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,6,,,1,,1,,0,,,13,,3.153,,,False,,,False,,False,,,False,,,,False,,,13,,,,,
,0.3846,,0.4615,,,0.0769,,0.0769,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-354-500,4,,7,,,2,,1,,0,,,14,,3.0,,,False,,,False,,False,,,False,,,,False,,,14,,ABDEL-WAHAB,A,,
,0.2857,,0.5,,,0.1429,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,7,,,2,,1,,0,,,14,,3.0,,,False,,,False,,False,,,False,,,,False,,,14,,,,,
,0.2857,,0.5,,,0.1429,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-414-900,6,,6,,,0,,0,,0,,,12,,3.5,,,False,,,False,,False,,,False,,,,False,,,12,,SALAMA G,,,
,0.5,,0.5,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
