SECTION,b,A,d,B,f,C,h,D,j,k,F,m,A_2,- F,p,q,GPA,s,I,u,v,S,x,y,U,aa,Q,cc,dd,ee,X,gg,TOTAL,ii,INSTRUCTOR,kk,ll,mm
CHEN-204-500,,6,,12,,3,,0,,,2,,,23,,,2.869,,0,,,,False,,,False,,,0,,False,,23,,SALAMA G,,,
,,0.2609,,0.5217,,0.1304,,0.0,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,12,,3,,0,,,2,,,23,,,2.869,,0,,,,False,,,False,,,0,,False,,23,,,,,
,,0.2609,,0.5217,,0.1304,,0.0,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-304-500,,7,,7,,1,,1,,,0,,,16,,,3.25,,0,,,,False,,,False,,,0,,False,,16,,KAKOSIMOS K,,,
,,0.4375,,0.4375,,0.0625,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,7,,1,,1,,,0,,,16,,,3.25,,0,,,,False,,,False,,,0,,False,,16,,,,,
,,0.4375,,0.4375,,0.0625,,0.0625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-320-500,,6,,6,,4,,0,,,0,,,16,,,3.125,,0,,,,False,,,False,,,1,,False,,17,,MARKATOS N,,,
,,0.375,,0.375,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,6,,4,,0,,,0,,,16,,,3.125,,0,,,,False,,,False,,,1,,False,,17,,,,,
,,0.375,,0.375,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-324-500,,3,,5,,7,,0,,,0,,,15,,,2.733,,1,,,,False,,,False,,,0,,False,,16,,ABDALLA A,,,
,,0.2,,0.3333,,0.4667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,5,,7,,0,,,0,,,15,,,2.733,,1,,,,False,,,False,,,0,,False,,16,,,,,
,,0.2,,0.3333,,0.4667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-354-500,,4,,9,,3,,0,,,0,,,16,,,3.062,,0,,,,False,,,False,,,1,,False,,17,,ABDEL-WAHAB,,A,
,,0.25,,0.5625,,0.1875,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,9,,3,,0,,,0,,,16,,,3.062,,0,,,,False,,,False,,,1,,False,,17,,,,,
,,0.25,,0.5625,,0.1875,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-364-500,,4,,10,,1,,0,,,0,,,15,,,3.2,,1,,,,False,,,False,,,0,,False,,16,,ELBASHIR N,,,
,,0.2667,,0.6667,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,10,,1,,0,,,0,,,15,,,3.2,,1,,,,False,,,False,,,0,,False,,16,,,,,
,,0.2667,,0.6667,,0.0667,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
CHEN-425-500,,5,,8,,2,,0,,,0,,15,,,,3.2,,0,,,False,,,False,,,0,,,False,,15,,,LINKE P,,
,,0.3333,,0.5333,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,8,,2,,0,,,0,,15,,,,3.2,,0,,,False,,,False,,,0,,,False,,15,,,,,
,,0.3333,,0.5333,,0.1333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-432-500,,1,,3,,2,,0,,,0,,6,,,,2.833,,0,,,False,,,False,,,0,,,False,,6,,,SALAMA G,,
,,0.1667,,0.5,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,1,,3,,2,,0,,,0,,6,,,,2.833,,0,,,False,,,False,,,0,,,False,,6,,,,,
,,0.1667,,0.5,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-455-500,,8,,6,,1,,0,,,1,,16,,,,3.25,,0,,,False,,,False,,,0,,,False,,16,,,OLEWSKI T,,
,,0.5,,0.375,,0.0625,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,6,,1,,0,,,1,,16,,,,3.25,,0,,,False,,,False,,,0,,,False,,16,,,,,
,,0.5,,0.375,,0.0625,,0.0,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-481-500,,13,,1,,0,,0,,,0,,14,,,,3.928,,0,,,False,,,False,,,0,,,False,,14,,,VECHOT L,,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,13,,1,,0,,0,,,0,,14,,,,3.928,,0,,,False,,,False,,,0,,,False,,14,,,,,
,,0.9286,,0.0714,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-601-600,,15,,2,,0,,0,,,0,,17,,,,3.882,,0,,,False,,,False,,,0,,,False,,17,,,ELSAID K,,
,,0.8824,,0.1176,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,2,,0,,0,,,0,,17,,,,3.882,,0,,,False,,,False,,,0,,,False,,17,,,,,
,,0.8824,,0.1176,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-604-600,,7,,9,,0,,0,,,0,,16,,,,3.437,,1,,,False,,,False,,,0,,,False,,17,,,NOUNOU M,,
,,0.4375,,0.5625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,9,,0,,0,,,0,,16,,,,3.437,,1,,,False,,,False,,,0,,,False,,17,,,,,
,,0.4375,,0.5625,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,,
CHEN-629-600,,10,,6,,1,,0,,,0,,17,,,,3.529,,1,,,False,,,False,,,1,,,False,,19,,,ECONOMOU I,,
,,0.5882,,0.3529,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,,6,,1,,0,,,0,,17,,,,3.529,,1,,,False,,,False,,,1,,,False,,19,,,,,
,,0.5882,,0.3529,,0.0588,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,89,,84,,25,,1,,,3,,202,,,,3.193,,4,,,False,,,False,,,3,,,False,,209,,,,,
,,0.4406,,0.4158,,0.1238,,0.005,,,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,
